state,year,establishments,employment
AK,2017,21279.0,262075.0
AK,2018,21293.0,261053.0
AK,2019,21399.0,264971.0
AK,2020,21184.0,266063.0
AK,2021,21641.0,251093.0
AK,2022,22082.0,257462.0
AK,2023,22178.0,263691.0
AK,2024,22178.0,263691.0
AL,2017,100419.0,1690061.0
AL,2018,100267.0,1730817.0
AL,2019,100731.0,1758609.0
AL,2020,100955.0,1777495.0
AL,2021,103514.0,1719114.0
AL,2022,105071.0,1777657.0
AL,2023,105720.0,1822666.0
AL,2024,105720.0,1822666.0
AR,2017,66786.0,1030593.0
AR,2018,66975.0,1043210.0
AR,2019,67243.0,1053453.0
AR,2020,67586.0,1055534.0
AR,2021,68572.0,1029703.0
AR,2022,69634.0,1089044.0
AR,2023,70452.0,1120356.0
AR,2024,70452.0,1120356.0
AZ,2017,143306.0,2448538.0
AZ,2018,144867.0,2549128.0
AZ,2019,147163.0,2614641.0
AZ,2020,149829.0,2644781.0
AZ,2021,154759.0,2601482.0
AZ,2022,159857.0,2787701.0
AZ,2023,162845.0,2890429.0
AZ,2024,162845.0,2890429.0
CA,2017,941377.0,14896625.0
CA,2018,954632.0,15223664.0
CA,2019,966224.0,15516824.0
CA,2020,981369.0,15710859.0
CA,2021,998582.0,14835360.0
CA,2022,1023181.0,16032440.0
CA,2023,1029689.0,16405436.0
CA,2024,1029689.0,16405436.0
CO,2017,169842.0,2371694.0
CO,2018,172548.0,2423817.0
CO,2019,174258.0,2473192.0
CO,2020,175965.0,2510726.0
CO,2021,179827.0,2416632.0
CO,2022,181963.0,2481196.0
CO,2023,182486.0,2566040.0
CO,2024,182486.0,2566040.0
CT,2017,89574.0,1536858.0
CT,2018,89054.0,1528867.0
CT,2019,88916.0,1538341.0
CT,2020,88060.0,1551590.0
CT,2021,88509.0,1442204.0
CT,2022,89293.0,1508634.0
CT,2023,89234.0,1536698.0
CT,2024,89234.0,1536698.0
DC,2017,23585.0,527004.0
DC,2018,23751.0,539557.0
DC,2019,23993.0,528826.0
DC,2020,24083.0,543174.0
DC,2021,24089.0,483307.0
DC,2022,23874.0,527355.0
DC,2023,23801.0,558653.0
DC,2024,23801.0,558653.0
DE,2017,25452.0,400714.0
DE,2018,25771.0,405809.0
DE,2019,26142.0,413410.0
DE,2020,27472.0,422044.0
DE,2021,28553.0,408714.0
DE,2022,29195.0,424303.0
DE,2023,29706.0,457635.0
DE,2024,29706.0,457635.0
FL,2017,557308.0,8385577.0
FL,2018,566894.0,8669611.0
FL,2019,574512.0,8860042.0
FL,2020,591046.0,9084079.0
FL,2021,616961.0,8877389.0
FL,2022,633353.0,9628867.0
FL,2023,645575.0,9988508.0
FL,2024,645575.0,9988508.0
GA,2017,233500.0,3888928.0
GA,2018,235847.0,3975657.0
GA,2019,239034.0,4040559.0
GA,2020,244668.0,4107151.0
GA,2021,253729.0,4034309.0
GA,2022,258377.0,4249362.0
GA,2023,261320.0,4405730.0
GA,2024,261320.0,4405730.0
HI,2017,32800.0,544056.0
HI,2018,32952.0,551681.0
HI,2019,32889.0,553206.0
HI,2020,32627.0,549375.0
HI,2021,32488.0,469179.0
HI,2022,32863.0,507390.0
HI,2023,32911.0,520043.0
HI,2024,32911.0,520043.0
IA,2017,82685.0,1353681.0
IA,2018,82894.0,1364250.0
