state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,qcew_establishments,qcew_employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,new_401k_per_1000_qcew_establishments,esrp_rate_per_1000_qcew_estabs,with_employees_rate_per_1000_qcew_estabs,first_treatment_year,treated,event_time,cohort
AK,2017,70,68,81,21279.0,262075.0,19803.0,246852.0,3.2896282720052636,3.8065698576060902,3.195638892805113,3.534817956875221,4.09028935009847,3.4338231581073573,inf,0,,0
AK,2018,67,65,86,21293.0,261053.0,19889.0,246319.0,3.14657399145259,4.038886018879444,3.0526464096181845,3.36869626426668,4.323998189954246,3.2681381668258838,inf,0,,0
AK,2019,76,74,86,21399.0,264971.0,20162.0,249300.0,3.5515678302724427,4.018879386887238,3.4581055189494836,3.7694673147505204,4.265449856165063,3.6702708064676126,inf,0,,0
AK,2020,66,62,89,21184.0,266063.0,20586.0,225077.0,3.115558912386707,4.201283987915407,2.9267371601208456,3.2060623724861554,4.323326532594968,3.0117555620324494,inf,0,,0
AK,2021,115,98,136,21641.0,251093.0,21446.0,232510.0,5.313987338847558,6.284367635506678,4.5284413844092235,5.362305325002332,6.341508906089714,4.569616711741117,inf,0,,0
AK,2022,92,78,97,22082.0,257462.0,22327.0,241031.0,4.166289285390816,4.392718050901187,3.5322887419617786,4.120571505352264,4.344515608904017,3.4935280154073545,inf,0,,0
AK,2023,135,119,140,22178.0,263691.0,23098.0,248671.0,6.0871133555776,6.312561998376769,5.365677698620255,5.844661875487056,6.061130833838428,5.151961208762663,inf,0,,0
AK,2024,125,71,130,22178.0,263691.0,23333.0,253788.0,5.636216069979259,5.861664712778429,3.2013707277482193,5.357219388848413,5.571508164402348,3.042900612865898,inf,0,,0
AL,2017,274,266,325,100419.0,1690061.0,118573.0,1574772.0,2.728567303000428,3.236439319252333,2.6489011043726785,2.310812748264782,2.74092752987611,2.2433437629139856,inf,0,,0
AL,2018,364,349,416,100267.0,1730817.0,120979.0,1598129.0,3.6303070800961432,4.1489223772527355,3.480706513608665,3.0087866489225403,3.4386133130543315,2.884798188115293,inf,0,,0
AL,2019,371,348,581,100731.0,1758609.0,123160.0,1622460.0,3.683076709255343,5.767837110720632,3.4547458081424787,3.012341669373173,4.717440727508931,2.825592724910685,inf,0,,0
AL,2020,333,313,569,100955.0,1777495.0,125809.0,1547125.0,3.298499331385271,5.636174533207865,3.1003912634342035,2.646869460849383,4.522728898568465,2.48789832205963,inf,0,,0
AL,2021,473,433,536,103514.0,1719114.0,133320.0,1602985.0,4.569430221998957,5.17804354966478,4.183009061576212,3.5478547854785476,4.02040204020402,3.247824782478248,inf,0,,0
AL,2022,470,400,507,105071.0,1777657.0,142581.0,1660156.0,4.473165764102369,4.825308600850853,3.8069495864701013,3.2963718868572953,3.5558735034822315,2.8054228824317406,inf,0,,0
AL,2023,459,390,501,105720.0,1822666.0,150014.0,1700160.0,4.341657207718502,4.738933030646992,3.688989784335982,3.059714426653512,3.339688295759063,2.5997573559801084,inf,0,,0
AL,2024,493,373,531,105720.0,1822666.0,154400.0,1717475.0,4.663261445327279,5.022701475595913,3.528187665531593,3.1930051813471505,3.4391191709844557,2.4158031088082903,inf,0,,0
AR,2017,191,179,211,66786.0,1030593.0,85102.0,1004075.0,2.859880813344114,3.1593447728565867,2.6802024376366305,2.2443655848276185,2.4793776879509295,2.1033583229536323,inf,0,,0
AR,2018,208,202,230,66975.0,1043210.0,86265.0,1014114.0,3.1056364315042924,3.4341172079134004,3.0160507652108994,2.4111748681388745,2.6662029791920245,2.3416217469425606,inf,0,,0
AR,2019,165,151,184,67243.0,1053453.0,87680.0,1022053.0,2.4537870112874205,2.736344303496275,2.2455869012387906,1.8818430656934308,2.0985401459854014,1.7221715328467153,inf,0,,0
AR,2020,220,200,250,67586.0,1055534.0,89149.0,982047.0,3.2551120054449147,3.698990915278312,2.9591927322226494,2.4677786626883083,2.8042939348730775,2.2434351478984618,inf,0,,0
AR,2021,247,222,261,68572.0,1029703.0,91571.0,1012377.0,3.602053316222365,3.8062182815143206,3.2374730210581575,2.6973605180679474,2.8502473490515556,2.4243483198829323,inf,0,,0
AR,2022,271,242,292,69634.0,1089044.0,94817.0,1056644.0,3.891777005485826,4.193353821409081,3.475313783496568,2.858137253867977,3.079616524462913,2.552284927808304,inf,0,,0
AR,2023,218,188,243,70452.0,1120356.0,98261.0,1082358.0,3.0943053426446374,3.4491568727644353,2.66848350650088,2.2185811257772663,2.4730055668067696,1.913271796541863,inf,0,,0
AR,2024,269,195,293,70452.0,1120356.0,99464.0,1097701.0,3.8182024640890253,4.158859933004031,2.7678419349344234,2.7044960990911284,2.945789431352047,1.960508324619963,inf,0,,0
AZ,2017,945,902,1071,143306.0,2448538.0,154868.0,2360211.0,6.594280769821221,7.473518205797385,6.294223549607135,6.101970710540589,6.915566805279334,5.824314900431335,inf,0,,0
AZ,2018,1058,1019,1174,144867.0,2549128.0,156748.0,2436592.0,7.303250567762154,8.10398503454893,7.034038117721773,6.749687396330415,7.489728736570802,6.500880394008218,inf,0,,0
AZ,2019,1040,984,1147,147163.0,2614641.0,162113.0,2513038.0,7.066993741633427,7.794078674666866,6.686463309391627,6.415278231850623,7.0753116653198695,6.069840173212512,inf,0,,0
AZ,2020,1170,1094,1302,149829.0,2644781.0,167158.0,2436814.0,7.808902148449232,8.689906493402479,7.3016572225670595,6.999365869416959,7.789037916222974,6.544706206104404,inf,0,,0
AZ,2021,1343,1260,1469,154759.0,2601482.0,181475.0,2553627.0,8.67800903340032,9.492178160882405,8.14169127482085,7.400468384074942,8.094778895164623,6.943105110896817,inf,0,,0
AZ,2022,1445,1293,1544,159857.0,2787701.0,203253.0,2689673.0,9.039328900204557,9.658632402709921,8.08847907817612,7.109366159417081,7.596443840927317,6.361529719118537,inf,0,,0
AZ,2023,1392,1224,1483,162845.0,2890429.0,217884.0,2765676.0,8.54800577236022,9.10681936811078,7.516349903282262,6.388720603623947,6.806374033889593,5.617668116979677,inf,0,,0
AZ,2024,1383,1001,1483,162845.0,2890429.0,222682.0,2814912.0,8.492738493659614,9.10681936811078,6.146949553256164,6.21065016480901,6.659721037174087,4.4951994323744175,inf,0,,0
CA,2017,7478,7203,8539,941377.0,14896625.0,1479872.0,14558652.0,7.943682499147526,9.070754862292153,7.651557240085535,5.053139731003762,5.7700936297193275,4.867312848678805,2018.0,0,-1.0,2018
CA,2018,8098,7867,8996,954632.0,15223664.0,1517847.0,14876010.0,8.482849935891526,9.42352655264018,8.240871875235694,5.335188592789655,5.92681607566507,5.1829993405132395,2018.0,1,0.0,2018
