state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,susb_firms_all,susb_estabs_all,susb_firms_0_4,susb_estabs_0_4,susb_firms_5_9,susb_estabs_5_9,susb_firms_10_19,susb_estabs_10_19,susb_firms_20_99,susb_estabs_20_99,susb_firms_100_499,susb_estabs_100_499,susb_firms_500plus,susb_estabs_500plus,susb_firms_5plus,susb_estabs_5plus,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,new_401k_per_1000_firms,new_401k_per_1000_firms_5plus,new_401k_with_employees_per_1000_firms,new_401k_with_employees_per_1000_firms_5plus,esrp_rate_per_1000_firms,first_treatment_year,treated,event_time,cohort
AK,2017,70,68,81,21279.0,262075.0,17147.0,21279.0,10302.0,10331.0,2917.0,2958.0,1737.0,1885.0,1225.0,1913.0,321.0,1101.0,645.0,3091.0,6845.0,10948.0,3.2896282720052636,3.8065698576060902,3.195638892805113,4.082346766198169,10.226442658875092,3.965708287163935,9.934258582907232,4.723858400886453,inf,0,,0
AK,2018,67,65,86,21293.0,261053.0,17242.0,21293.0,10364.0,10402.0,2897.0,2942.0,1790.0,1957.0,1222.0,1829.0,317.0,1086.0,652.0,3077.0,6878.0,10891.0,3.14657399145259,4.038886018879444,3.0526464096181845,3.8858601090360745,9.741203838325093,3.7698642848857444,9.450421634195989,4.987820438464215,inf,0,,0
AK,2019,76,74,86,21399.0,264971.0,17365.0,21399.0,10398.0,10435.0,2965.0,3022.0,1744.0,1872.0,1274.0,1914.0,310.0,1087.0,674.0,3069.0,6967.0,10964.0,3.5515678302724427,4.018879386887238,3.4581055189494836,4.376619637201267,10.908568967991961,4.261445436222287,10.621501363571122,4.952490642096171,inf,0,,0
AK,2020,66,62,89,21184.0,266063.0,17169.0,21184.0,10228.0,10263.0,2939.0,2995.0,1734.0,1883.0,1271.0,1854.0,316.0,1084.0,681.0,3105.0,6941.0,10921.0,3.115558912386707,4.201283987915407,2.9267371601208456,3.8441376900227153,9.508716323296355,3.611159648203157,8.932430485520818,5.183761430485176,inf,0,,0
AK,2021,115,98,136,21641.0,251093.0,17690.0,21641.0,10715.0,10755.0,3002.0,3059.0,1762.0,1934.0,1222.0,1813.0,289.0,1007.0,700.0,3073.0,6975.0,10886.0,5.313987338847558,6.284367635506678,4.5284413844092235,6.500847936687394,16.48745519713262,5.539853024307519,14.050179211469533,7.687959299039004,inf,0,,0
AK,2022,92,78,97,22082.0,257462.0,18047.0,22082.0,10924.0,10972.0,2947.0,2994.0,1857.0,2014.0,1325.0,1974.0,290.0,1037.0,704.0,3091.0,7123.0,11110.0,4.166289285390816,4.392718050901187,3.5322887419617786,5.097800188396963,12.915906219289626,4.322047985814817,10.950442229397726,5.374854546462015,inf,0,,0
AK,2023,135,119,140,22178.0,263691.0,18047.0,22082.0,10924.0,10972.0,2947.0,2994.0,1857.0,2014.0,1325.0,1974.0,290.0,1037.0,704.0,3091.0,7123.0,11110.0,6.0871133555776,6.312561998376769,5.365677698620255,7.480467667756414,18.9526884739576,6.593893721948246,16.706443914081145,7.757522025821466,inf,0,,0
AK,2024,125,71,130,22178.0,263691.0,18047.0,22082.0,10924.0,10972.0,2947.0,2994.0,1857.0,2014.0,1325.0,1974.0,290.0,1037.0,704.0,3091.0,7123.0,11110.0,5.636216069979259,5.861664712778429,3.2013707277482193,6.926358951626309,17.548785624034817,3.9341718845237437,9.967710234451776,7.203413309691362,inf,0,,0
AL,2017,274,266,325,100419.0,1690061.0,74288.0,100419.0,40018.0,40074.0,13577.0,13721.0,8311.0,8718.0,7693.0,10532.0,2125.0,5927.0,2564.0,21447.0,34270.0,60345.0,2.728567303000428,3.236439319252333,2.6489011043726785,3.6883480508292052,7.99533119346367,3.5806590566444108,7.761890866647214,4.374865388757269,inf,0,,0
AL,2018,364,349,416,100267.0,1730817.0,74545.0,100267.0,40178.0,40247.0,13390.0,13535.0,8571.0,9033.0,7718.0,10271.0,2072.0,5592.0,2616.0,21589.0,34367.0,60020.0,3.6303070800961432,4.1489223772527355,3.480706513608665,4.882956603393923,10.591555852998516,4.681735864243075,10.155090639276048,5.580521832450198,inf,0,,0
AL,2019,371,348,581,100731.0,1758609.0,74669.0,100731.0,40111.0,40187.0,13439.0,13591.0,8548.0,8956.0,7750.0,10172.0,2149.0,5810.0,2672.0,22015.0,34558.0,60544.0,3.683076709255343,5.767837110720632,3.4547458081424787,4.968594731414643,10.735574975403669,4.6605686429441935,10.070027200648186,7.781006843536139,inf,0,,0
