"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02000","0","10","50","0","2022","A","",24304,313959,20506548518,9099453882,199347449,1256,65316,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",813,3.5,8814,2.9,1379702563,7.2,783324491,9.4,35371626,21.6,51,4.2,2635,4.2
"02000","1","10","51","0","2022","A","",529,15003,1345700178,0,0,1725,89697,"",4.12,2.50,2.59,0.00,0.00,1.04,1.04,"",-29,-5.2,-55,-0.4,35721756,2.7,0,0.0,0,0.0,52,3.1,2699,3.1
"02000","1","102","52","0","2022","A","",529,15003,1345700178,0,0,1725,89697,"",4.13,2.55,2.64,0.00,0.00,1.04,1.04,"",-29,-5.2,-55,-0.4,35721756,2.7,0,0.0,0,0.0,52,3.1,2699,3.1
"02000","1","1021","53","0","2022","A","",222,2414,167415221,0,0,1334,69361,"",3.48,1.73,1.85,0.00,0.00,1.07,1.07,"",0,0.0,41,1.7,8373913,5.3,0,0.0,0,0.0,45,3.5,2335,3.5
"02000","1","1022","53","0","2022","A","",1,5,214827,0,0,787,40919,"",3.27,0.37,0.19,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,8087,3.9,0,0.0,0,0.0,17,2.2,905,2.3
"02000","1","1023","53","0","2022","A","",4,29,2894377,0,0,1914,99520,"",2.39,1.11,0.91,0.00,0.00,0.82,0.82,"",0,0.0,1,3.6,157477,5.8,0,0.0,0,0.0,51,2.7,2639,2.7
"02000","1","1024","53","0","2022","A","",29,698,75495221,0,0,2079,108095,"",9.57,4.84,5.88,0.00,0.00,1.22,1.22,"",-1,-3.3,-2,-0.3,-635287,-0.8,0,0.0,0,0.0,-12,-0.6,-663,-0.6
"02000","1","1025","53","0","2022","A","",16,774,54582240,0,0,1357,70542,"",5.36,0.87,0.70,0.00,0.00,0.81,0.81,"",0,0.0,11,1.4,2820683,5.4,0,0.0,0,0.0,52,4.0,2665,3.9
"02000","1","1026","53","0","2022","A","",49,1115,72757176,0,0,1255,65273,"",15.89,11.91,14.48,0.00,0.00,1.22,1.22,"",-3,-5.8,-22,-1.9,1102088,1.5,0,0.0,0,0.0,43,3.5,2247,3.6
"02000","1","1027","53","0","2022","A","",4,96,9675850,0,0,1937,100703,"",12.00,9.52,16.69,0.00,0.00,1.75,1.75,"",0,0.0,-5,-5.0,3098,0.0,0,0.0,0,0.0,97,5.3,5012,5.2
"02000","1","1028","53","0","2022","A","",204,9872,962665266,0,0,1875,97517,"",3.86,2.99,3.03,0.00,0.00,1.01,1.01,"",-26,-11.3,-79,-0.8,23891697,2.5,0,0.0,0,0.0,61,3.4,3174,3.4
"02000","1","44-45","54","0","2022","A","",16,601,15749391,0,0,504,26209,"",10.64,7.00,5.31,0.00,0.00,0.76,0.76,"",0,0.0,-8,-1.3,-235245,-1.5,0,0.0,0,0.0,-1,-0.2,-35,-0.1
"02000","1","441","55","0","2022","A","",2,5,166950,0,0,642,33390,"",24.31,21.72,23.17,0.00,0.00,1.07,1.07,"",0,0.0,-2,-28.6,-53140,-24.1,0,0.0,0,0.0,-9,-1.4,-470,-1.4
"02000","1","4413","56","0","2022","A","",2,5,166950,0,0,642,33390,"",24.31,21.72,23.17,0.00,0.00,1.07,1.07,"",0,0.0,-2,-28.6,-53140,-24.1,0,0.0,0,0.0,-9,-1.4,-470,-1.4
"02000","1","44133","57","0","2022","A","",2,5,166950,0,0,642,33390,"",24.31,21.72,23.17,0.00,0.00,1.07,1.07,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0
