"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2024","A","",160887,2105674,130644817070,17554073127,89349231,1193,62044,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4418,2.8,29889,1.4,6545101020,5.3,-83727320,-0.5,-23329961,-20.7,43,3.7,2260,3.8
"01000","1","10","51","0","2024","A","",1269,58132,5856068155,0,0,1937,100738,"",1.55,1.43,1.72,0.00,0.00,1.20,1.20,"",6,0.5,1221,2.1,317386867,5.7,0,0.0,0,0.0,65,3.5,3417,3.5
"01000","1","101","52","0","2024","A","",1,1,58103,0,0,1490,77471,"",0.46,0.00,0.00,0.00,0.00,0.93,0.93,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","1013","53","0","2024","A","",1,1,58103,0,0,1490,77471,"",0.90,0.00,0.00,0.00,0.00,0.93,0.93,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","102","52","0","2024","A","",1268,58131,5856010052,0,0,1937,100738,"",1.56,1.45,1.75,0.00,0.00,1.20,1.20,"",5,0.4,1220,2.1,317328764,5.7,0,0.0,0,0.0,65,3.5,3417,3.5
"01000","1","1021","53","0","2024","A","",618,11871,914520182,0,0,1481,77038,"",1.50,1.31,1.71,0.00,0.00,1.31,1.31,"",-2,-0.3,59,0.5,52952162,6.1,0,0.0,0,0.0,78,5.6,4098,5.6
"01000","1","1022","53","0","2024","A","",2,10,380506,0,0,744,38696,"",1.00,0.11,0.05,0.00,0.00,0.48,0.48,"",0,0.0,0,0.0,-3643,-0.9,0,0.0,0,0.0,35,4.9,1818,4.9
"01000","1","1023","53","0","2024","A","",20,155,17142085,0,0,2122,110357,"",1.81,0.87,0.77,0.00,0.00,0.89,0.89,"",0,0.0,9,6.2,1925879,12.7,0,0.0,0,0.0,123,6.2,6433,6.2
"01000","1","1024","53","0","2024","A","",44,1904,174235031,0,0,1759,91490,"",2.16,1.93,2.11,0.00,0.00,1.10,1.10,"",1,2.3,-15,-0.8,-24156204,-12.2,0,0.0,0,0.0,-229,-11.5,-11911,-11.5
"01000","1","1025","53","0","2024","A","",43,7660,699155047,0,0,1755,91269,"",2.20,1.23,1.29,0.00,0.00,1.05,1.05,"",2,4.9,297,4.0,44268129,6.8,0,0.0,0,0.0,44,2.6,2322,2.6
"01000","1","1026","53","0","2024","A","",36,584,21964273,0,0,723,37578,"",1.89,0.88,0.64,0.00,0.00,0.73,0.73,"",1,2.9,9,1.6,1722916,8.5,0,0.0,0,0.0,46,6.8,2365,6.7
"01000","1","1027","53","0","2024","A","",3,591,93727214,0,0,3052,158680,"",1.35,8.70,24.00,0.00,0.00,2.76,2.76,"",-1,-25.0,43,7.8,11810077,14.4,0,0.0,0,0.0,175,6.1,9060,6.1
"01000","1","1028","53","0","2024","A","",502,35355,3934885714,0,0,2140,111297,"",1.52,1.55,1.85,0.00,0.00,1.19,1.19,"",4,0.8,816,2.4,228809448,6.2,0,0.0,0,0.0,77,3.7,3996,3.7
"01000","1","22","54","0","2024","A","",20,1515,269049064,0,0,3414,177551,"",7.24,11.44,15.62,0.00,0.00,1.37,1.36,"",0,0.0,8,0.5,30568351,12.8,0,0.0,0,0.0,370,12.2,19276,12.2
"01000","1","221","55","0","2024","A","",20,1515,269049064,0,0,3414,177551,"",7.24,11.44,15.62,0.00,0.00,1.37,1.36,"",0,0.0,8,0.5,30568351,12.8,0,0.0,0,0.0,370,12.2,19276,12.2
"01000","1","2211","56","0","2024","A","",20,1515,269049064,0,0,3414,177551,"",7.42,12.42,16.55,0.00,0.00,1.33,1.33,"",0,0.0,8,0.5,30568351,12.8,0,0.0,0,0.0,370,12.2,19276,12.2
"01000","1","22111","57","0","2024","A","",7,1425,255574988,0,0,3449,179351,"",6.40,17.40,22.79,0.00,0.00,1.31,1.31,"",0,0.0,7,0.5,29693238,13.1,0,0.0,0,0.0,386,12.6,20055,12.6
"01000","1","221111","58","0","2024","A","",3,46,6874967,0,0,2843,147849,"",3.31,1.95,2.44,0.00,0.00,1.24,1.24,"",0,0.0,1,2.2,345417,5.3,0,0.0,0,0.0,63,2.3,3283,2.3
"01000","1","221112","58","0","2024","A","",2,33,5427773,0,0,3195,166156,"",13.63,2.47,2.98,0.00,0.00,1.22,1.22,"",0,0.0,2,6.5,445783,8.9,0,0.0,0,0.0,96,3.1,5013,3.1
"01000","1","221113","58","0","2024","A","",2,1346,243272248,0,0,3476,180760,"",37.47,29.97,36.98,0.00,0.00,1.23,1.23,"",0,0.0,4,0.3,28902038,13.5,0,0.0,0,0.0,404,13.2,21011,13.2
"01000","1","22112","57","0","2024","A","",13,90,13474076,0,0,2868,149160,"",8.12,2.25,2.68,0.00,0.00,1.19,1.19,"",0,0.0,1,1.1,875113,6.9,0,0.0,0,0.0,138,5.1,7200,5.1
"01000","1","221121","58","0","2024","A","",5,70,10851087,0,0,2967,154281,"",4.31,2.25,2.80,0.00,0.00,1.24,1.24,"",0,0.0,2,2.9,1084603,11.1,0,0.0,0,0.0,191,6.9,9949,6.9
"01000","1","221122","58","0","2024","A","",8,20,2622989,0,0,2522,131149,"",18.17,2.25,2.25,0.00,0.00,1.00,1.00,"",0,0.0,-1,-4.8,-209490,-7.4,0,0.0,0,0.0,-62,-2.4,-3198,-2.4
"01000","1","31-33","54","0","2024","A","",1,1,58103,0,0,1490,77471,"",0.90,0.00,0.00,0.00,0.00,0.93,0.93,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","323","55","0","2024","A","",1,1,58103,0,0,1490,77471,"",1.59,0.03,0.01,0.00,0.00,0.74,0.74,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","3231","56","0","2024","A","",1,1,58103,0,0,1490,77471,"",1.59,0.03,0.01,0.00,0.00,0.74,0.74,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","32311","57","0","2024","A","",1,1,58103,0,0,1490,77471,"",1.59,0.03,0.01,0.00,0.00,0.74,0.74,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","323111","58","0","2024","A","",0,0,37514,0,0,2164,112542,"",0.00,0.00,0.02,0.00,0.00,1.01,1.01,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","323117","58","0","2024","A","",0,0,20589,0,0,950,49414,"",0.00,0.00,0.01,0.00,0.00,0.49,0.49,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","1","44-45","54","0","2024","A","",13,1145,25673971,0,0,431,22426,"",1.36,2.11,1.46,0.00,0.00,0.69,0.69,"",-1,-7.1,101,9.7,489352,1.9,0,0.0,0,0.0,-33,-7.1,-1689,-7.0
"01000","1","445","55","0","2024","A","",4,190,9278344,0,0,940,48898,"",1.47,1.39,1.60,0.00,0.00,1.15,1.15,"",0,0.0,3,1.6,1129851,13.9,0,0.0,0,0.0,101,12.0,5265,12.1
"01000","1","4451","56","0","2024","A","",4,190,9278344,0,0,940,48898,"",1.47,1.39,1.60,0.00,0.00,1.15,1.15,"",0,0.0,3,1.6,1129851,13.9,0,0.0,0,0.0,101,12.0,5265,12.1
"01000","1","44511","57","0","2024","A","",4,190,9278344,0,0,940,48898,"",1.72,1.48,1.67,0.00,0.00,1.13,1.13,"",0,0.0,3,1.6,1129851,13.9,0,0.0,0,0.0,101,12.0,5265,12.1
"01000","1","445110","58","0","2024","A","",4,190,9278344,0,0,940,48898,"",1.72,1.48,1.67,0.00,0.00,1.13,1.13,"",0,0.0,3,1.6,1129851,13.9,0,0.0,0,0.0,101,12.0,5265,12.1
"01000","1","455","55","0","2024","A","",6,952,16248329,0,0,328,17077,"",1.55,2.76,1.54,0.00,0.00,0.56,0.56,"",0,0.0,98,11.5,-671515,-4.0,0,0.0,0,0.0,-53,-13.9,-2737,-13.8
"01000","1","4551","56","0","2024","A","",6,952,16248329,0,0,328,17077,"",2.10,4.19,2.33,0.00,0.00,0.56,0.56,"",0,0.0,98,11.5,-671515,-4.0,0,0.0,0,0.0,-53,-13.9,-2737,-13.8
"01000","1","45511","57","0","2024","A","",6,952,16248329,0,0,328,17077,"",2.10,4.19,2.33,0.00,0.00,0.56,0.56,"",0,0.0,98,11.5,-671515,-4.0,0,0.0,0,0.0,-53,-13.9,-2737,-13.8
"01000","1","455110","58","0","2024","A","",6,952,16248329,0,0,328,17077,"",2.10,4.19,2.33,0.00,0.00,0.56,0.56,"",0,0.0,98,11.5,-671515,-4.0,0,0.0,0,0.0,-53,-13.9,-2737,-13.8
"01000","1","459","55","0","2024","A","",3,4,147298,0,0,791,41106,"",3.41,0.25,0.64,0.00,0.00,2.86,2.86,"",0,0.0,0,0.0,31016,26.7,0,0.0,0,0.0,181,29.7,9393,29.6
"01000","1","4591","56","0","2024","A","",3,4,147298,0,0,791,41106,"",4.78,1.62,2.45,0.00,0.00,1.70,1.70,"",0,0.0,0,0.0,31016,26.7,0,0.0,0,0.0,181,29.7,9393,29.6
"01000","1","45911","57","0","2024","A","",3,4,147298,0,0,791,41106,"",5.00,1.64,2.50,0.00,0.00,1.71,1.70,"",0,0.0,0,0.0,31016,26.7,0,0.0,0,0.0,181,29.7,9393,29.6
"01000","1","459110","58","0","2024","A","",3,4,147298,0,0,791,41106,"",5.00,1.64,2.50,0.00,0.00,1.71,1.70,"",0,0.0,0,0.0,31016,26.7,0,0.0,0,0.0,181,29.7,9393,29.6
