"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"04000","0","10","50","0","2017","A","",157531,2747638,137782584614,20556618042,470273824,964,50146,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5321,3.5,67573,2.5,7737005659,5.9,842515920,4.3,12039158,2.6,31,3.3,1623,3.3
"04000","1","10","51","0","2017","A","",797,55742,4127215712,0,0,1424,74041,"",0.83,1.04,1.06,0.00,0.00,1.02,1.02,"",-3,-0.4,483,0.9,106132587,2.6,0,0.0,0,0.0,25,1.8,1272,1.7
"04000","1","102","52","0","2017","A","",797,55742,4127215712,0,0,1424,74041,"",0.83,1.06,1.08,0.00,0.00,1.02,1.02,"",-3,-0.4,483,0.9,106132587,2.6,0,0.0,0,0.0,25,1.8,1272,1.7
"04000","1","1021","53","0","2017","A","",275,11133,617893683,0,0,1067,55502,"",0.57,0.85,0.87,0.00,0.00,1.03,1.02,"",-3,-1.1,142,1.3,2181190,0.4,0,0.0,0,0.0,-10,-0.9,-520,-0.9
"04000","1","1022","53","0","2017","A","",2,9,353074,0,0,769,39971,"",1.01,0.07,0.04,0.00,0.00,0.57,0.57,"",-1,-33.3,0,0.0,55602,18.7,0,0.0,0,0.0,121,18.7,6295,18.7
"04000","1","1023","53","0","2017","A","",13,126,12631035,0,0,1925,100114,"",1.01,0.51,0.50,0.00,0.00,0.98,0.98,"",2,18.2,1,0.8,208798,1.7,0,0.0,0,0.0,7,0.4,404,0.4
"04000","1","1024","53","0","2017","A","",21,137,11291676,0,0,1590,82672,"",0.90,0.11,0.11,0.00,0.00,1.03,1.03,"",-1,-4.5,1,0.7,168165,1.5,0,0.0,0,0.0,20,1.3,1032,1.3
"04000","1","1025","53","0","2017","A","",38,9508,727120976,0,0,1471,76473,"",1.73,1.22,1.30,0.00,0.00,1.07,1.07,"",-3,-7.3,240,2.6,41104064,6.0,0,0.0,0,0.0,48,3.4,2454,3.3
"04000","1","1026","53","0","2017","A","",52,1540,74389374,0,0,929,48310,"",2.10,1.64,1.86,0.00,0.00,1.13,1.13,"",-1,-1.9,-20,-1.3,3822601,5.4,0,0.0,0,0.0,59,6.8,3087,6.8
"04000","1","1027","53","0","2017","A","",10,1339,68927246,0,0,990,51483,"",3.67,15.31,16.30,0.00,0.00,1.06,1.06,"",0,0.0,-4,-0.3,-446036,-0.6,0,0.0,0,0.0,-3,-0.3,-160,-0.3
"04000","1","1028","53","0","2017","A","",386,31951,2614608648,0,0,1574,81832,"",1.00,1.10,1.10,0.00,0.00,1.00,1.00,"",2,0.5,125,0.4,59038203,2.3,0,0.0,0,0.0,30,1.9,1535,1.9
"04000","1","22","54","0","2017","A","",1,108,7943156,0,0,1414,73548,"",0.39,0.48,0.32,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04000","1","221","55","0","2017","A","",1,108,7943156,0,0,1414,73548,"",0.39,0.48,0.32,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04000","1","2213","56","0","2017","A","",1,108,7943156,0,0,1414,73548,"",8.92,7.09,6.69,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04000","1","22131","57","0","2017","A","",1,108,7943156,0,0,1414,73548,"",8.92,7.09,6.69,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04000","1","221310","58","0","2017","A","",1,108,7943156,0,0,1414,73548,"",8.92,7.09,6.69,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"04000","1","44-45","54","0","2017","A","",13,1273,33415545,0,0,505,26248,"",1.21,1.49,1.29,0.00,0.00,0.87,0.87,"",0,0.0,14,1.1,1442328,4.5,0,0.0,0,0.0,17,3.5,861,3.4
"04000","1","441","55","0","2017","A","",2,4,105218,0,0,506,26305,"",3.05,1.72,2.06,0.00,0.00,1.19,1.19,"",0,0.0,1,33.3,20819,24.7,0,0.0,0,0.0,7,1.4,336,1.3
"04000","1","4413","56","0","2017","A","",2,4,105218,0,0,506,26305,"",3.05,1.72,2.06,0.00,0.00,1.19,1.19,"",0,0.0,1,33.3,20819,24.7,0,0.0,0,0.0,7,1.4,336,1.3
"04000","1","44131","57","0","2017","A","",2,4,105218,0,0,506,26305,"",3.05,1.72,2.06,0.00,0.00,1.19,1.19,"",0,0.0,1,33.3,20819,24.7,0,0.0,0,0.0,7,1.4,336,1.3
"04000","1","441310","58","0","2017","A","",2,4,105218,0,0,506,26305,"",3.05,1.72,2.06,0.00,0.00,1.19,1.19,"",0,0.0,1,33.3,20819,24.7,0,0.0,0,0.0,7,1.4,336,1.3
"04000","1","442","55","0","2017","A","",1,3,77583,0,0,484,25162,"",1.14,0.69,0.85,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,8203,11.8,0,0.0,0,0.0,39,8.8,2035,8.8
"04000","1","4422","56","0","2017","A","",1,3,77583,0,0,484,25162,"",1.16,0.81,0.96,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,8203,11.8,0,0.0,0,0.0,39,8.8,2035,8.8
"04000","1","44229","57","0","2017","A","",1,3,77583,0,0,484,25162,"",1.16,0.81,0.96,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,8203,11.8,0,0.0,0,0.0,39,8.8,2035,8.8
"04000","1","442299","58","0","2017","A","",1,3,77583,0,0,484,25162,"",1.16,0.81,0.96,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,8203,11.8,0,0.0,0,0.0,39,8.8,2035,8.8
"04000","1","445","55","0","2017","A","",3,259,9458834,0,0,702,36521,"",0.95,1.13,1.08,0.00,0.00,0.96,0.96,"",0,0.0,-8,-3.0,587154,6.6,0,0.0,0,0.0,63,9.9,3304,9.9
"04000","1","4451","56","0","2017","A","",3,259,9458834,0,0,702,36521,"",0.96,1.13,1.08,0.00,0.00,0.95,0.95,"",0,0.0,-8,-3.0,587154,6.6,0,0.0,0,0.0,63,9.9,3304,9.9
"04000","1","44511","57","0","2017","A","",3,259,9458834,0,0,702,36521,"",1.11,1.21,1.13,0.00,0.00,0.93,0.93,"",0,0.0,-8,-3.0,587154,6.6,0,0.0,0,0.0,63,9.9,3304,9.9
"04000","1","445110","58","0","2017","A","",3,259,9458834,0,0,702,36521,"",1.11,1.21,1.13,0.00,0.00,0.93,0.93,"",0,0.0,-8,-3.0,587154,6.6,0,0.0,0,0.0,63,9.9,3304,9.9
"04000","1","451","55","0","2017","A","",1,1,24684,0,0,475,24684,"",1.64,0.62,0.87,0.00,0.00,1.40,1.39,"",-1,-50.0,0,0.0,-3641,-12.9,0,0.0,0,0.0,39,8.9,2024,8.9
"04000","1","4511","56","0","2017","A","",1,1,24684,0,0,475,24684,"",1.69,0.64,0.99,0.00,0.00,1.54,1.54,"",-1,-50.0,0,0.0,-3641,-12.9,0,0.0,0,0.0,39,8.9,2024,8.9
"04000","1","45111","57","0","2017","A","",1,1,24684,0,0,475,24684,"",1.78,0.66,1.02,0.00,0.00,1.54,1.54,"",-1,-50.0,0,0.0,-3641,-12.9,0,0.0,0,0.0,39,8.9,2024,8.9
"04000","1","451110","58","0","2017","A","",1,1,24684,0,0,475,24684,"",1.78,0.66,1.02,0.00,0.00,1.54,1.54,"",-1,-50.0,0,0.0,-3641,-12.9,0,0.0,0,0.0,39,8.9,2024,8.9
"04000","1","452","55","0","2017","A","",5,1005,23728002,0,0,454,23600,"",1.08,1.66,1.42,0.00,0.00,0.86,0.86,"",0,0.0,20,2.0,808569,3.5,0,0.0,0,0.0,6,1.3,328,1.4
"04000","1","4522","56","0","2017","A","",4,999,23616993,0,0,454,23631,"",1.19,2.39,2.07,0.00,0.00,0.86,0.86,"N",4,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","45221","57","0","2017","A","",4,999,23616993,0,0,454,23631,"",1.19,2.39,2.07,0.00,0.00,0.86,0.86,"N",4,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","452210","58","0","2017","A","",4,999,23616993,0,0,454,23631,"",1.19,2.39,2.07,0.00,0.00,0.86,0.86,"N",4,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","4523","56","0","2017","A","",1,6,111009,0,0,356,18502,"",0.79,0.03,0.02,0.00,0.00,0.66,0.66,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","45231","57","0","2017","A","",1,6,111009,0,0,356,18502,"",0.79,0.03,0.02,0.00,0.00,0.66,0.66,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","452319","58","0","2017","A","",1,6,111009,0,0,356,18502,"",1.45,0.08,0.07,0.00,0.00,0.90,0.90,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","453","55","0","2017","A","",1,1,21224,0,0,700,36384,"",2.97,0.48,0.45,0.00,0.00,1.60,1.60,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","4539","56","0","2017","A","",1,1,21224,0,0,700,36384,"",3.47,0.50,0.48,0.00,0.00,1.62,1.62,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","45399","57","0","2017","A","",1,1,21224,0,0,700,36384,"",3.47,0.50,0.48,0.00,0.00,1.62,1.62,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","453998","58","0","2017","A","",1,1,21224,0,0,700,36384,"",3.47,0.50,0.48,0.00,0.00,1.62,1.62,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","1","48-49","54","0","2017","A","",262,9752,576534982,0,0,1137,59122,"",0.56,0.81,0.88,0.00,0.00,1.08,1.08,"",-2,-0.8,129,1.3,738862,0.1,0,0.0,0,0.0,-14,-1.2,-713,-1.2
"04000","1","488","55","0","2017","A","",4,141,14870975,0,0,2022,105157,"",1.50,0.64,0.55,0.00,0.00,0.86,0.86,"",0,0.0,-10,-6.6,-432020,-2.8,0,0.0,0,0.0,71,3.6,3701,3.6
"04000","1","4881","56","0","2017","A","",4,141,14870975,0,0,2022,105157,"",1.50,0.64,0.55,0.00,0.00,0.86,0.86,"",0,0.0,-10,-6.6,-432020,-2.8,0,0.0,0,0.0,71,3.6,3701,3.6
"04000","1","48811","57","0","2017","A","",4,141,14870975,0,0,2022,105157,"",1.50,0.64,0.55,0.00,0.00,0.86,0.86,"",0,0.0,-10,-6.6,-432020,-2.8,0,0.0,0,0.0,71,3.6,3701,3.6
"04000","1","488111","58","0","2017","A","",4,141,14870975,0,0,2022,105157,"",1.50,0.64,0.55,0.00,0.00,0.86,0.86,"",0,0.0,-10,-6.6,-432020,-2.8,0,0.0,0,0.0,71,3.6,3701,3.6
"04000","1","491","55","0","2017","A","",258,9610,561664007,0,0,1124,58444,"",0.56,0.82,0.89,0.00,0.00,1.09,1.09,"",-2,-0.8,138,1.5,1170882,0.2,0,0.0,0,0.0,-14,-1.2,-728,-1.2
"04000","1","4911","56","0","2017","A","",258,9610,561664007,0,0,1124,58444,"",0.56,0.82,0.89,0.00,0.00,1.09,1.09,"",-2,-0.8,138,1.5,1170882,0.2,0,0.0,0,0.0,-14,-1.2,-728,-1.2
"04000","1","49111","57","0","2017","A","",258,9610,561664007,0,0,1124,58444,"",0.56,0.82,0.89,0.00,0.00,1.09,1.09,"",-2,-0.8,138,1.5,1170882,0.2,0,0.0,0,0.0,-14,-1.2,-728,-1.2
"04000","1","491110","58","0","2017","A","",258,9610,561664007,0,0,1124,58444,"",0.56,0.82,0.89,0.00,0.00,1.09,1.09,"",-2,-0.8,138,1.5,1170882,0.2,0,0.0,0,0.0,-14,-1.2,-728,-1.2
"04000","1","51","54","0","2017","A","",2,9,353074,0,0,769,39971,"",1.01,0.07,0.04,0.00,0.00,0.57,0.57,"",-1,-33.3,0,0.0,55602,18.7,0,0.0,0,0.0,121,18.7,6295,18.7
"04000","1","512","55","0","2017","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",-1,-100.0,-1,-100.0,-5509,-100.0,0,0.0,0,0.0,-127,-100.0,-6611,-100.0
