"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06000","0","10","50","0","2024","A","",1850051,18183696,1675532109291,138361469610,4454672450,1772,92145,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",98621,5.6,180803,1.0,100460031704,6.4,-628351475,-0.5,171929967,4.0,90,5.4,4655,5.3
"06000","1","10","51","0","2024","A","",3399,254262,26833027275,0,0,2029,105533,"",0.36,0.72,0.61,0.00,0.00,0.85,0.85,"",92,2.8,3366,1.3,1483041440,5.9,0,0.0,0,0.0,86,4.4,4495,4.4
"06000","1","101","52","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.04,0.00,0.00,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","1013","53","0","2024","A","",1,2,305993,0,0,3363,174853,"",0.08,0.00,0.00,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,-30329,-9.0,0,0.0,0,0.0,-518,-13.3,-26940,-13.4
"06000","1","102","52","0","2024","A","",3398,254260,26832721282,0,0,2029,105532,"",0.36,0.74,0.62,0.00,0.00,0.85,0.85,"",92,2.8,3366,1.3,1483071769,5.9,0,0.0,0,0.0,86,4.4,4495,4.4
"06000","1","1021","53","0","2024","A","",1664,64996,4618422874,0,0,1366,71057,"",0.35,0.83,0.67,0.00,0.00,0.81,0.81,"",49,3.0,-310,-0.5,32788418,0.7,0,0.0,0,0.0,16,1.2,839,1.2
"06000","1","1022","53","0","2024","A","",8,52,3622451,0,0,1329,69109,"",0.35,0.07,0.04,0.00,0.00,0.58,0.58,"",0,0.0,6,13.0,811651,28.9,0,0.0,0,0.0,141,11.9,7333,11.9
"06000","1","1023","53","0","2024","A","",40,614,106842771,0,0,3349,174129,"",0.31,0.40,0.38,0.00,0.00,0.95,0.95,"",1,2.6,24,4.1,11111287,11.6,0,0.0,0,0.0,228,7.3,11849,7.3
"06000","1","1024","53","0","2024","A","",114,7460,781930508,0,0,2016,104820,"",0.49,0.87,0.74,0.00,0.00,0.85,0.85,"",15,15.2,125,1.7,-1241119,-0.2,0,0.0,0,0.0,-37,-1.8,-1947,-1.8
"06000","1","1025","53","0","2024","A","",85,35174,4586743972,0,0,2508,130402,"",0.38,0.66,0.66,0.00,0.00,1.01,1.01,"",0,0.0,386,1.1,284479728,6.6,0,0.0,0,0.0,130,5.5,6732,5.4
