"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08000","0","10","50","0","2023","A","",258519,2882674,222294757134,56998486614,874279938,1483,77114,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13057,5.3,67699,2.4,12769161406,6.1,8008203365,16.3,43699095,5.3,52,3.6,2682,3.6
"08000","1","10","51","0","2023","A","",1263,55211,5570960579,0,0,1940,100903,"",0.95,1.00,0.97,0.00,0.00,0.97,0.97,"",19,1.5,1866,3.5,491271480,9.7,0,0.0,0,0.0,109,6.0,5680,6.0
"08000","1","101","52","0","2023","A","",5,368,32945566,0,0,1723,89607,"",1.53,0.37,0.32,0.00,0.00,0.86,0.86,"",1,25.0,11,3.1,2158179,7.0,0,0.0,0,0.0,66,4.0,3468,4.0
"08000","1","1013","53","0","2023","A","",5,368,32945566,0,0,1723,89607,"",3.10,0.40,0.34,0.00,0.00,0.85,0.85,"",1,25.0,11,3.1,2158179,7.0,0,0.0,0,0.0,66,4.0,3468,4.0
"08000","1","102","52","0","2023","A","",1258,54844,5538015013,0,0,1942,100978,"",0.94,1.01,0.98,0.00,0.00,0.97,0.97,"",18,1.5,1856,3.5,489113301,9.7,0,0.0,0,0.0,110,6.0,5694,6.0
"08000","1","1021","53","0","2023","A","",441,10136,760296930,0,0,1443,75010,"",0.66,0.80,0.80,0.00,0.00,1.00,0.99,"",0,0.0,29,0.3,21666938,2.9,0,0.0,0,0.0,38,2.7,1925,2.6
"08000","1","1022","53","0","2023","A","",7,53,3190916,0,0,1163,60491,"",2.16,0.43,0.26,0.00,0.00,0.60,0.60,"",1,16.7,-4,-7.0,27506,0.9,0,0.0,0,0.0,93,8.7,4830,8.7
"08000","1","1023","53","0","2023","A","",17,129,17088544,0,0,2546,132384,"",0.95,0.54,0.47,0.00,0.00,0.88,0.88,"",1,6.2,5,4.0,1762400,11.5,0,0.0,0,0.0,161,6.8,8369,6.7
"08000","1","1024","53","0","2023","A","",32,689,85606387,0,0,2388,124187,"",1.02,0.52,0.59,0.00,0.00,1.14,1.14,"",1,3.2,31,4.7,8736533,11.4,0,0.0,0,0.0,140,6.2,7275,6.2
"08000","1","1025","53","0","2023","A","",38,10822,1083184849,0,0,1925,100094,"",1.22,1.30,1.20,0.00,0.00,0.93,0.93,"",1,2.7,741,7.4,152790255,16.4,0,0.0,0,0.0,150,8.5,7798,8.4
