"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"09000","0","10","50","0","2021","A","",131105,1591093,123849880032,20751443253,635304586,1497,77840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6153,4.9,45755,3.0,7459800329,6.4,1096658079,5.6,3543359,0.6,49,3.4,2523,3.3
"09000","1","10","51","0","2021","A","",578,18250,1502339461,0,0,1583,82320,"",0.79,0.57,0.46,0.00,0.00,0.80,0.80,"",6,1.0,-931,-4.9,22157900,1.5,0,0.0,0,0.0,99,6.7,5151,6.7
"09000","1","101","52","0","2021","A","",2,371,40626845,0,0,2106,109531,"",1.33,0.62,0.67,0.00,0.00,1.07,1.08,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","1013","53","0","2021","A","",2,371,40626845,0,0,2106,109531,"",3.33,0.67,0.71,0.00,0.00,1.07,1.07,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","102","52","0","2021","A","",576,17879,1461712616,0,0,1572,81756,"",0.78,0.57,0.45,0.00,0.00,0.80,0.80,"",6,1.1,-954,-5.1,18973029,1.3,0,0.0,0,0.0,99,6.7,5147,6.7
"09000","1","1021","53","0","2021","A","",316,8304,537446812,0,0,1245,64723,"",0.87,1.12,0.94,0.00,0.00,0.84,0.84,"",3,1.0,-55,-0.7,11745255,2.2,0,0.0,0,0.0,36,3.0,1836,2.9
"09000","1","1022","53","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.62,0.01,0.01,0.00,0.00,1.00,1.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","1023","53","0","2021","A","",9,61,6433739,0,0,2023,105184,"",0.98,0.45,0.32,0.00,0.00,0.72,0.72,"",0,0.0,3,5.2,321938,5.3,0,0.0,0,0.0,5,0.2,260,0.2
"09000","1","1024","53","0","2021","A","",8,272,23283819,0,0,1648,85681,"",0.46,0.35,0.28,0.00,0.00,0.79,0.79,"",0,0.0,-3,-1.1,202003,0.9,0,0.0,0,0.0,33,2.0,1696,2.0
"09000","1","1025","53","0","2021","A","",11,3916,397961215,0,0,1954,101631,"",0.66,0.82,0.82,0.00,0.00,0.99,0.99,"",0,0.0,-21,-0.5,14802673,3.9,0,0.0,0,0.0,82,4.4,4313,4.4
"09000","1","1026","53","0","2021","A","",6,277,7795029,0,0,541,28158,"",0.33,0.56,0.25,0.00,0.00,0.45,0.45,"",0,0.0,-4,-1.4,321352,4.3,0,0.0,0,0.0,30,5.9,1601,6.0
"09000","1","1027","53","0","2021","A","",1,4,108594,0,0,473,24587,"",0.53,0.08,0.03,0.00,0.00,0.37,0.37,"",0,0.0,-1,-20.0,-14917,-12.1,0,0.0,0,0.0,-18,-3.7,-967,-3.8
"09000","1","1028","53","0","2021","A","",225,5045,488617071,0,0,1863,96860,"",0.74,0.29,0.24,0.00,0.00,0.85,0.85,"",3,1.4,-872,-14.7,-8471612,-1.7,0,0.0,0,0.0,247,15.3,12845,15.3
"09000","1","31-33","54","0","2021","A","",2,371,40626845,0,0,2106,109531,"",3.33,0.67,0.71,0.00,0.00,1.07,1.07,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","336","55","0","2021","A","",2,371,40626845,0,0,2106,109531,"",11.09,0.79,0.85,0.00,0.00,1.08,1.08,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","3366","56","0","2021","A","",2,371,40626845,0,0,2106,109531,"",11.89,0.85,0.90,0.00,0.00,1.06,1.06,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","33661","57","0","2021","A","",2,371,40626845,0,0,2106,109531,"",11.89,0.85,0.90,0.00,0.00,1.06,1.06,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","336611","58","0","2021","A","",2,371,40626845,0,0,2106,109531,"",11.89,0.85,0.90,0.00,0.00,1.06,1.06,"",0,0.0,22,6.3,3184871,8.5,0,0.0,0,0.0,40,1.9,2093,1.9
"09000","1","44-45","54","0","2021","A","",6,197,6991042,0,0,682,35458,"",0.73,0.42,0.38,0.00,0.00,0.90,0.90,"",0,0.0,-16,-7.5,-123350,-1.7,0,0.0,0,0.0,39,6.1,2018,6.0
"09000","1","445","55","0","2021","A","",1,46,2164040,0,0,906,47130,"",0.42,0.40,0.36,0.00,0.00,0.91,0.91,"",0,0.0,-3,-6.1,-35085,-1.6,0,0.0,0,0.0,34,3.9,1787,3.9
"09000","1","4451","56","0","2021","A","",1,46,2164040,0,0,906,47130,"",0.42,0.40,0.36,0.00,0.00,0.91,0.91,"",0,0.0,-3,-6.1,-35085,-1.6,0,0.0,0,0.0,34,3.9,1787,3.9
"09000","1","44511","57","0","2021","A","",1,46,2164040,0,0,906,47130,"",0.48,0.42,0.38,0.00,0.00,0.90,0.90,"",0,0.0,-3,-6.1,-35085,-1.6,0,0.0,0,0.0,34,3.9,1787,3.9
"09000","1","445110","58","0","2021","A","",1,46,2164040,0,0,906,47130,"",0.48,0.42,0.38,0.00,0.00,0.90,0.90,"",0,0.0,-3,-6.1,-35085,-1.6,0,0.0,0,0.0,34,3.9,1787,3.9
"09000","1","447","55","0","2021","A","",2,14,362445,0,0,489,25435,"",7.92,5.88,5.92,0.00,0.00,0.99,0.99,"",0,0.0,1,7.7,-2958,-0.8,0,0.0,0,0.0,-59,-10.8,-3038,-10.7
"09000","1","4471","56","0","2021","A","",2,14,362445,0,0,489,25435,"",7.92,5.88,5.92,0.00,0.00,0.99,0.99,"",0,0.0,1,7.7,-2958,-0.8,0,0.0,0,0.0,-59,-10.8,-3038,-10.7
"09000","1","44711","57","0","2021","A","",2,14,362445,0,0,489,25435,"",9.25,8.38,8.86,0.00,0.00,1.04,1.04,"",0,0.0,1,7.7,-2958,-0.8,0,0.0,0,0.0,-59,-10.8,-3038,-10.7
"09000","1","447110","58","0","2021","A","",2,14,362445,0,0,489,25435,"",9.25,8.38,8.86,0.00,0.00,1.04,1.04,"",0,0.0,1,7.7,-2958,-0.8,0,0.0,0,0.0,-59,-10.8,-3038,-10.7
"09000","1","452","55","0","2021","A","",3,137,4464557,0,0,627,32588,"",0.90,0.44,0.39,0.00,0.00,0.89,0.89,"",0,0.0,-14,-9.3,-85307,-1.9,0,0.0,0,0.0,49,8.5,2539,8.4
"09000","1","4522","56","0","2021","A","",3,137,4464557,0,0,627,32588,"",1.22,0.64,0.57,0.00,0.00,0.89,0.89,"",0,0.0,-14,-9.3,-85307,-1.9,0,0.0,0,0.0,49,8.5,2539,8.4
"09000","1","45221","57","0","2021","A","",3,137,4464557,0,0,627,32588,"",1.22,0.64,0.57,0.00,0.00,0.89,0.89,"",0,0.0,-14,-9.3,-85307,-1.9,0,0.0,0,0.0,49,8.5,2539,8.4
"09000","1","452210","58","0","2021","A","",3,137,4464557,0,0,627,32588,"",1.22,0.64,0.57,0.00,0.00,0.89,0.89,"",0,0.0,-14,-9.3,-85307,-1.9,0,0.0,0,0.0,49,8.5,2539,8.4
"09000","1","48-49","54","0","2021","A","",310,8107,530455770,0,0,1258,65435,"",0.88,1.18,1.00,0.00,0.00,0.84,0.84,"",3,1.0,-40,-0.5,11868605,2.3,0,0.0,0,0.0,34,2.8,1779,2.8
"09000","1","491","55","0","2021","A","",310,8107,530455770,0,0,1258,65435,"",0.88,1.21,1.04,0.00,0.00,0.86,0.86,"",3,1.0,-40,-0.5,11868605,2.3,0,0.0,0,0.0,34,2.8,1779,2.8
"09000","1","4911","56","0","2021","A","",310,8107,530455770,0,0,1258,65435,"",0.88,1.21,1.04,0.00,0.00,0.86,0.86,"",3,1.0,-40,-0.5,11868605,2.3,0,0.0,0,0.0,34,2.8,1779,2.8
"09000","1","49111","57","0","2021","A","",310,8107,530455770,0,0,1258,65435,"",0.88,1.21,1.04,0.00,0.00,0.86,0.86,"",3,1.0,-40,-0.5,11868605,2.3,0,0.0,0,0.0,34,2.8,1779,2.8
"09000","1","491110","58","0","2021","A","",310,8107,530455770,0,0,1258,65435,"",0.88,1.21,1.04,0.00,0.00,0.86,0.86,"",3,1.0,-40,-0.5,11868605,2.3,0,0.0,0,0.0,34,2.8,1779,2.8
"09000","1","51","54","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.62,0.01,0.01,0.00,0.00,1.00,1.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","519","55","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.70,0.02,0.01,0.00,0.00,0.94,0.94,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","5191","56","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.70,0.02,0.01,0.00,0.00,0.94,0.94,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","51912","57","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.71,0.02,0.01,0.00,0.00,0.94,0.94,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","519120","58","0","2021","A","",1,1,66337,0,0,1914,99506,"",0.71,0.02,0.01,0.00,0.00,0.94,0.94,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","1","52","54","0","2021","A","",8,50,6161903,0,0,2362,122829,"",0.88,0.37,0.31,0.00,0.00,0.84,0.84,"",0,0.0,3,6.4,306308,5.2,0,0.0,0,0.0,-21,-0.9,-1099,-0.9
"09000","1","522","55","0","2021","A","",7,30,3289280,0,0,2144,111501,"",0.93,0.46,0.43,0.00,0.00,0.96,0.96,"",0,0.0,3,11.1,235467,7.7,0,0.0,0,0.0,-51,-2.3,-2660,-2.3
"09000","1","5222","56","0","2021","A","",7,30,3289280,0,0,2144,111501,"",0.93,0.46,0.43,0.00,0.00,0.96,0.96,"",0,0.0,3,11.1,235467,7.7,0,0.0,0,0.0,-51,-2.3,-2660,-2.3
"09000","1","52229","57","0","2021","A","",7,30,3289280,0,0,2144,111501,"",0.93,0.46,0.43,0.00,0.00,0.96,0.96,"",0,0.0,3,11.1,235467,7.7,0,0.0,0,0.0,-51,-2.3,-2660,-2.3
