"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"11000","0","10","50","0","2017","A","",39939,763847,70689369355,5252897712,132031845,1780,92544,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1073,2.8,7201,1.0,2983782387,4.4,41795284,0.8,-6679299,-4.8,59,3.4,3063,3.4
"11000","1","10","51","0","2017","A","",337,199323,22580145697,0,0,2179,113284,"",1.39,13.39,11.29,0.00,0.00,0.84,0.84,"",1,0.3,-1158,-0.6,542522643,2.5,0,0.0,0,0.0,65,3.1,3360,3.1
"11000","1","101","52","0","2017","A","",3,3088,323729820,0,0,2016,104826,"",6.26,11.54,8.81,0.00,0.00,0.76,0.76,"",0,0.0,6,0.2,17036950,5.6,0,0.0,0,0.0,102,5.3,5310,5.3
"11000","1","1013","53","0","2017","A","",3,3088,323729820,0,0,2016,104826,"",16.06,12.31,9.30,0.00,0.00,0.76,0.76,"",0,0.0,6,0.2,17036950,5.6,0,0.0,0,0.0,102,5.3,5310,5.3
"11000","1","102","52","0","2017","A","",334,196234,22256415877,0,0,2181,113417,"",1.38,13.43,11.34,0.00,0.00,0.84,0.84,"",1,0.3,-1166,-0.6,525485693,2.4,0,0.0,0,0.0,64,3.0,3331,3.0
"11000","1","1021","53","0","2017","A","",34,4608,376166885,0,0,1570,81628,"",0.28,1.27,1.04,0.00,0.00,0.82,0.82,"",-1,-2.9,47,1.0,13616350,3.8,0,0.0,0,0.0,41,2.7,2137,2.7
"11000","1","1022","53","0","2017","A","",2,3327,329519033,0,0,1905,99041,"",3.97,95.33,72.51,0.00,0.00,0.76,0.76,"",0,0.0,29,0.9,10927329,3.4,0,0.0,0,0.0,47,2.5,2447,2.5
"11000","1","1023","53","0","2017","A","",5,2859,431060521,0,0,2900,150791,"",1.54,41.68,33.18,0.00,0.00,0.80,0.80,"",-1,-16.7,-57,-2.0,-1370865,-0.3,0,0.0,0,0.0,48,1.7,2491,1.7
"11000","1","1024","53","0","2017","A","",6,4189,385403111,0,0,1769,92002,"",1.01,12.12,7.54,0.00,0.00,0.62,0.62,"",0,0.0,12,0.3,11003666,2.9,0,0.0,0,0.0,45,2.6,2365,2.6
"11000","1","1025","53","0","2017","A","",11,3240,313424385,0,0,1860,96733,"",1.97,1.49,1.09,0.00,0.00,0.73,0.73,"",1,10.0,-85,-2.6,-1587172,-0.5,0,0.0,0,0.0,38,2.1,2000,2.1
