"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12000","0","10","50","0","2021","A","",798225,8859821,534033357000,71670796492,540919809,1159,60276,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",51816,6.9,411864,4.9,62065779207,13.2,5458765326,8.2,158541610,41.5,85,7.9,4408,7.9
"12000","1","10","51","0","2021","A","",2023,148160,12266867631,0,0,1592,82795,"",0.45,0.83,0.87,0.00,0.00,1.04,1.04,"",-1,0.0,-1614,-1.1,456896686,3.9,0,0.0,0,0.0,76,5.0,3943,5.0
"12000","1","101","52","0","2021","A","",1,6,159552,0,0,550,28576,"",0.11,0.00,0.00,0.00,0.00,0.36,0.36,"",0,0.0,0,0.0,11076,7.5,0,0.0,0,0.0,105,23.6,5437,23.5
"12000","1","1011","53","0","2021","A","",1,6,159552,0,0,550,28576,"",0.18,0.03,0.01,0.00,0.00,0.40,0.40,"",0,0.0,0,0.0,11076,7.5,0,0.0,0,0.0,105,23.6,5437,23.5
"12000","1","102","52","0","2021","A","",2022,148155,12266708079,0,0,1592,82797,"",0.45,0.85,0.88,0.00,0.00,1.04,1.04,"",-1,0.0,-1612,-1.1,456885610,3.9,0,0.0,0,0.0,76,5.0,3942,5.0
"12000","1","1021","53","0","2021","A","",856,40021,2642158299,0,0,1270,66020,"",0.39,0.97,1.07,0.00,0.00,1.11,1.11,"",2,0.2,963,2.5,112763264,4.5,0,0.0,0,0.0,25,2.0,1260,1.9
"12000","1","1022","53","0","2021","A","",10,142,11451876,0,0,1547,80458,"",1.01,0.35,0.37,0.00,0.00,1.05,1.05,"",0,0.0,-7,-4.7,-258577,-2.2,0,0.0,0,0.0,31,2.0,1644,2.1
"12000","1","1023","53","0","2021","A","",16,170,17992944,0,0,2036,105893,"",0.29,0.22,0.21,0.00,0.00,0.94,0.94,"",0,0.0,11,6.9,531905,3.0,0,0.0,0,0.0,-77,-3.6,-3982,-3.6
"12000","1","1024","53","0","2021","A","",61,2790,261063897,0,0,1800,93588,"",0.57,0.65,0.73,0.00,0.00,1.12,1.12,"",0,0.0,79,2.9,13432052,5.4,0,0.0,0,0.0,43,2.4,2228,2.4
"12000","1","1025","53","0","2021","A","",69,28729,2571870568,0,0,1722,89522,"",0.68,1.09,1.22,0.00,0.00,1.13,1.13,"",1,1.5,292,1.0,106175140,4.3,0,0.0,0,0.0,55,3.3,2815,3.2
