"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13000","0","10","50","0","2022","A","",379261,4705337,308887652799,49315478984,599867033,1262,65646,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42466,12.6,230219,5.1,30347045438,10.9,2206821256,4.7,15829413,2.7,65,5.4,3404,5.5
"13000","1","10","51","0","2022","A","",1767,106445,9220828084,0,0,1666,86625,"",0.88,1.19,1.18,0.00,0.00,1.00,1.00,"",38,2.2,-589,-0.6,209697607,2.3,0,0.0,0,0.0,47,2.9,2436,2.9
"13000","1","101","52","0","2022","A","",2,3,341716,0,0,2544,132277,"",0.44,0.00,0.00,0.00,0.00,1.54,1.54,"",0,0.0,1,50.0,35149,11.5,0,0.0,0,0.0,104,4.3,5422,4.3
"13000","1","1013","53","0","2022","A","",2,3,341716,0,0,2544,132277,"",0.98,0.00,0.00,0.00,0.00,1.53,1.53,"",0,0.0,1,50.0,35149,11.5,0,0.0,0,0.0,104,4.3,5422,4.3
"13000","1","102","52","0","2022","A","",1765,106442,9220486368,0,0,1666,86624,"",0.88,1.21,1.20,0.00,0.00,1.00,1.00,"",38,2.2,-590,-0.6,209662458,2.3,0,0.0,0,0.0,47,2.9,2436,2.9
"13000","1","1021","53","0","2022","A","",718,20494,1276593206,0,0,1198,62290,"",0.72,0.98,0.94,0.00,0.00,0.96,0.96,"",8,1.1,-169,-0.8,31399159,2.5,0,0.0,0,0.0,39,3.4,2027,3.4
"13000","1","1022","53","0","2022","A","",10,108,7366543,0,0,1318,68526,"",2.09,0.53,0.43,0.00,0.00,0.82,0.82,"",0,0.0,-3,-2.7,193996,2.7,0,0.0,0,0.0,73,5.9,3763,5.8
"13000","1","1023","53","0","2022","A","",31,386,50295221,0,0,2504,130186,"",1.19,0.99,1.05,0.00,0.00,1.06,1.06,"",0,0.0,-6,-1.5,468530,0.9,0,0.0,0,0.0,61,2.5,3131,2.5
"13000","1","1024","53","0","2022","A","",44,1117,102213931,0,0,1760,91501,"",0.93,0.52,0.53,0.00,0.00,1.02,1.02,"",-1,-2.2,2,0.2,402322,0.4,0,0.0,0,0.0,3,0.2,163,0.2
"13000","1","1025","53","0","2022","A","",50,19609,1743402934,0,0,1710,88907,"",1.07,1.47,1.48,0.00,0.00,1.01,1.01,"",2,4.2,-200,-1.0,90855425,5.5,0,0.0,0,0.0,106,6.6,5484,6.6
"13000","1","1026","53","0","2022","A","",60,1196,60304385,0,0,970,50429,"",1.25,0.85,0.80,0.00,0.00,0.94,0.93,"",-3,-4.8,11,0.9,5313535,9.7,0,0.0,0,0.0,78,8.7,4026,8.7
"13000","1","1027","53","0","2022","A","",2,2,76740,0,0,738,38370,"",0.38,0.01,0.01,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,13672,21.7,0,0.0,0,0.0,132,21.8,6836,21.7
"13000","1","1028","53","0","2022","A","",850,63524,5979944000,0,0,1810,94136,"",1.03,1.28,1.25,0.00,0.00,0.97,0.97,"",31,3.8,-231,-0.4,80726411,1.4,0,0.0,0,0.0,31,1.7,1607,1.7
