"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"15000","0","10","50","0","2024","A","",59537,639801,43100811312,20542705791,287841861,1295,67366,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2869,5.1,5911,0.9,2400487892,5.9,970749185,5.0,-217332922,-43.0,60,4.9,3159,4.9
"15000","1","10","51","0","2024","A","",350,35680,3461868694,0,0,1866,97025,"",1.16,2.88,3.08,0.00,0.00,1.07,1.07,"",11,3.2,551,1.6,169951368,5.2,0,0.0,0,0.0,64,3.6,3315,3.5
"15000","1","101","52","0","2024","A","",2,6646,758655513,0,0,2195,114151,"",2.50,30.14,38.02,0.00,0.00,1.26,1.26,"",1,100.0,48,0.7,48068932,6.8,0,0.0,0,0.0,124,6.0,6458,6.0
"15000","1","1013","53","0","2024","A","",2,6646,758655513,0,0,2195,114151,"",4.88,32.59,40.91,0.00,0.00,1.26,1.26,"",1,100.0,48,0.7,48068932,6.8,0,0.0,0,0.0,124,6.0,6458,6.0
"15000","1","102","52","0","2024","A","",348,29034,2703213181,0,0,1790,93105,"",1.15,2.39,2.44,0.00,0.00,1.03,1.02,"",10,3.0,504,1.8,121882436,4.7,0,0.0,0,0.0,50,2.9,2629,2.9
"15000","1","1021","53","0","2024","A","",119,4551,298195212,0,0,1260,65522,"",0.78,1.65,1.69,0.00,0.00,1.02,1.02,"",-2,-1.7,-117,-2.5,665043,0.2,0,0.0,0,0.0,34,2.8,1779,2.8
"15000","1","1022","53","0","2024","A","",2,14,793431,0,0,1077,56007,"",2.70,0.51,0.33,0.00,0.00,0.64,0.64,"",1,100.0,3,27.3,286556,56.5,0,0.0,0,0.0,204,23.4,10615,23.4
"15000","1","1023","53","0","2024","A","",8,38,4557138,0,0,2337,121524,"",1.95,0.70,0.62,0.00,0.00,0.91,0.90,"",1,14.3,-2,-5.0,34459,0.8,0,0.0,0,0.0,140,6.4,7267,6.4
"15000","1","1024","53","0","2024","A","",19,2489,272279192,0,0,2104,109393,"",2.52,8.29,10.02,0.00,0.00,1.21,1.21,"",1,5.6,107,4.5,12215953,4.7,0,0.0,0,0.0,4,0.2,207,0.2
"15000","1","1025","53","0","2024","A","",15,2818,292622684,0,0,1997,103859,"",2.07,1.50,1.64,0.00,0.00,1.10,1.10,"",0,0.0,21,0.8,22898140,8.5,0,0.0,0,0.0,142,7.7,7420,7.7
