"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19000","0","10","50","0","2024","A","",111801,1562561,95858841102,40667866114,393402777,1180,61347,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",756,0.7,6077,0.4,3460505067,3.7,1717849500,4.4,20383047,5.5,38,3.3,1984,3.3
"19000","1","10","51","0","2024","A","",1276,18372,1520313302,0,0,1591,82752,"",2.25,0.61,0.61,0.00,0.00,1.00,1.00,"",-9,-0.7,265,1.5,82762945,5.8,0,0.0,0,0.0,64,4.2,3359,4.2
"19000","1","101","52","0","2024","A","",1,4,469529,0,0,2520,131031,"",0.67,0.01,0.01,0.00,0.00,1.59,1.59,"",0,0.0,1,33.3,128149,37.5,0,0.0,0,0.0,133,5.6,6893,5.6
"19000","1","1013","53","0","2024","A","",1,4,469529,0,0,2520,131031,"",1.30,0.01,0.01,0.00,0.00,1.58,1.58,"",0,0.0,1,33.3,128149,37.5,0,0.0,0,0.0,133,5.6,6893,5.6
"19000","1","102","52","0","2024","A","",1276,18368,1519843773,0,0,1591,82743,"",2.25,0.62,0.62,0.00,0.00,1.00,1.00,"",-8,-0.6,264,1.5,82634796,5.7,0,0.0,0,0.0,64,4.2,3356,4.2
"19000","1","1021","53","0","2024","A","",806,7014,472042036,0,0,1294,67300,"",2.82,1.04,1.20,0.00,0.00,1.15,1.15,"",-8,-1.0,-191,-2.7,3372142,0.7,0,0.0,0,0.0,43,3.4,2250,3.5
"19000","1","1022","53","0","2024","A","",1,16,1347843,0,0,1637,85127,"",0.72,0.24,0.25,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,102919,8.3,0,0.0,0,0.0,101,6.6,5239,6.6
"19000","1","1023","53","0","2024","A","",18,192,23337713,0,0,2332,121287,"",2.34,1.45,1.44,0.00,0.00,0.99,0.99,"",0,0.0,3,1.6,2746345,13.3,0,0.0,0,0.0,235,11.2,12242,11.2
"19000","1","1024","53","0","2024","A","",16,358,31915599,0,0,1716,89254,"",1.13,0.49,0.53,0.00,0.00,1.08,1.08,"",0,0.0,6,1.7,1182886,3.8,0,0.0,0,0.0,37,2.2,1945,2.2
"19000","1","1025","53","0","2024","A","",10,3857,386993874,0,0,1930,100342,"",0.74,0.84,0.97,0.00,0.00,1.16,1.16,"",-1,-9.1,118,3.2,21592480,5.9,0,0.0,0,0.0,51,2.7,2624,2.7
