"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"16000","0","10","50","0","2023","A","",93760,842561,47436605206,25265296573,152277160,1083,56300,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6800,7.8,21701,2.6,2916766605,6.6,1857401437,7.9,10079068,7.1,40,3.8,2064,3.8
"16000","1","10","51","0","2023","A","",604,13726,1185661079,0,0,1661,86382,"",1.25,0.85,0.97,0.00,0.00,1.13,1.13,"",2,0.3,722,5.6,114754222,10.7,0,0.0,0,0.0,77,4.9,4032,4.9
"16000","1","101","52","0","2023","A","",1,1,88033,0,0,1693,88033,"",0.84,0.00,0.00,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","1013","53","0","2023","A","",1,1,88033,0,0,1693,88033,"",1.71,0.00,0.00,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","102","52","0","2023","A","",603,13725,1185573046,0,0,1661,86382,"",1.25,0.87,0.98,0.00,0.00,1.13,1.13,"",2,0.3,721,5.5,114720268,10.7,0,0.0,0,0.0,77,4.9,4031,4.9
"16000","1","1021","53","0","2023","A","",239,2624,179708059,0,0,1317,68488,"",0.99,0.71,0.88,0.00,0.00,1.24,1.24,"",1,0.4,92,3.6,12239669,7.3,0,0.0,0,0.0,45,3.5,2343,3.5
"16000","1","1022","53","0","2023","A","",1,5,177209,0,0,682,35442,"",0.85,0.14,0.07,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,13321,8.1,0,0.0,0,0.0,52,8.3,2664,8.1
"16000","1","1023","53","0","2023","A","",8,54,5127939,0,0,1829,95109,"",1.23,0.77,0.67,0.00,0.00,0.86,0.86,"",0,0.0,2,3.8,400414,8.5,0,0.0,0,0.0,81,4.6,4195,4.6
"16000","1","1024","53","0","2023","A","",8,160,15470358,0,0,1856,96489,"",0.70,0.41,0.50,0.00,0.00,1.21,1.21,"",0,0.0,8,5.3,1786348,13.1,0,0.0,0,0.0,119,6.9,6166,6.8
"16000","1","1025","53","0","2023","A","",12,1993,188863308,0,0,1823,94783,"",1.07,0.82,0.98,0.00,0.00,1.20,1.20,"",0,0.0,137,7.4,25516249,15.6,0,0.0,0,0.0,130,7.7,6769,7.7
"16000","1","1026","53","0","2023","A","",18,177,11607917,0,0,1258,65427,"",1.58,0.68,0.95,0.00,0.00,1.40,1.40,"",1,5.9,5,2.9,1090260,10.4,0,0.0,0,0.0,79,6.7,4100,6.7
"16000","1","1027","53","0","2023","A","",1,2,81616,0,0,785,40808,"",0.77,0.07,0.06,0.00,0.00,0.80,0.80,"",0,0.0,0,0.0,10708,15.1,0,0.0,0,0.0,-76,-8.8,-3976,-8.9
"16000","1","1028","53","0","2023","A","",315,8710,784536640,0,0,1732,90077,"",1.59,0.98,1.04,0.00,0.00,1.06,1.06,"",-1,-0.3,476,5.8,73663299,10.4,0,0.0,0,0.0,72,4.3,3746,4.3
"16000","1","31-33","54","0","2023","A","",1,1,88033,0,0,1693,88033,"",1.71,0.00,0.00,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","323","55","0","2023","A","",1,1,88033,0,0,1693,88033,"",3.42,0.07,0.06,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","3231","56","0","2023","A","",1,1,88033,0,0,1693,88033,"",3.42,0.07,0.06,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","32311","57","0","2023","A","",1,1,88033,0,0,1693,88033,"",3.42,0.07,0.06,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
"16000","1","323117","58","0","2023","A","",1,1,88033,0,0,1693,88033,"",5.27,0.12,0.11,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,33954,62.8,0,0.0,0,0.0,306,22.1,15928,22.1
