"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17000","0","10","50","0","2017","A","",362259,5934549,344033116006,67065441626,1890951596,1115,57971,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-34606,-8.7,38916,0.7,11241738387,3.4,1084312348,1.6,-139108426,-6.9,29,2.7,1524,2.7
"17000","1","10","51","0","2017","A","",2099,80000,6137447001,0,0,1475,76718,"",0.95,0.69,0.63,0.00,0.00,0.91,0.91,"",-97,-4.4,-158,-0.2,116840954,1.9,0,0.0,0,0.0,31,2.1,1609,2.1
"17000","1","101","52","0","2017","A","",3,2236,177421795,0,0,1526,79333,"",0.69,1.08,0.99,0.00,0.00,0.92,0.92,"",0,0.0,79,3.7,7990956,4.7,0,0.0,0,0.0,15,1.0,781,1.0
"17000","1","1013","53","0","2017","A","",3,2236,177421795,0,0,1526,79333,"",1.77,1.15,1.05,0.00,0.00,0.91,0.91,"",0,0.0,79,3.7,7990956,4.7,0,0.0,0,0.0,15,1.0,781,1.0
"17000","1","102","52","0","2017","A","",2096,77763,5960025206,0,0,1474,76643,"",0.95,0.68,0.62,0.00,0.00,0.91,0.91,"",-97,-4.4,-238,-0.3,108849998,1.9,0,0.0,0,0.0,31,2.1,1629,2.2
"17000","1","1021","53","0","2017","A","",1268,29472,1744043850,0,0,1138,59176,"",1.15,1.04,0.99,0.00,0.00,0.95,0.95,"",5,0.4,85,0.3,-6601296,-0.4,0,0.0,0,0.0,-8,-0.7,-396,-0.7
"17000","1","1022","53","0","2017","A","",3,119,5980701,0,0,966,50223,"",0.66,0.44,0.27,0.00,0.00,0.62,0.62,"",0,0.0,7,6.2,986693,19.8,0,0.0,0,0.0,106,12.3,5501,12.3
"17000","1","1023","53","0","2017","A","",31,434,51896703,0,0,2300,119578,"",1.05,0.81,0.82,0.00,0.00,1.01,1.01,"",0,0.0,-22,-4.8,-1171247,-2.2,0,0.0,0,0.0,62,2.8,3180,2.7
"17000","1","1024","53","0","2017","A","",35,1678,134201529,0,0,1538,79969,"",0.65,0.62,0.54,0.00,0.00,0.86,0.86,"",0,0.0,6,0.4,4219379,3.2,0,0.0,0,0.0,43,2.9,2217,2.9
"17000","1","1025","53","0","2017","A","",33,12383,1015360067,0,0,1577,81998,"",0.65,0.73,0.73,0.00,0.00,0.99,0.99,"",-1,-2.9,-16,-0.1,47275025,4.9,0,0.0,0,0.0,76,5.1,3923,5.0
"17000","1","1026","53","0","2017","A","",16,283,8218755,0,0,559,29050,"",0.28,0.14,0.08,0.00,0.00,0.59,0.59,"",0,0.0,-28,-9.0,-267685,-3.2,0,0.0,0,0.0,35,6.7,1784,6.5
"17000","1","1027","53","0","2017","A","",5,54,2950106,0,0,1051,54632,"",0.80,0.29,0.28,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,113053,4.0,0,0.0,0,0.0,42,4.2,2175,4.1
"17000","1","1028","53","0","2017","A","",704,33340,2997373495,0,0,1729,89903,"",0.79,0.53,0.50,0.00,0.00,0.95,0.95,"",-102,-12.7,-270,-0.8,64296076,2.2,0,0.0,0,0.0,51,3.0,2635,3.0
"17000","1","22","54","0","2017","A","",1,1,123467,0,0,2192,113970,"",0.17,0.00,0.00,0.00,0.00,0.89,0.89,"",0,0.0,-1,-50.0,-118305,-48.9,0,0.0,0,0.0,-133,-5.7,-6916,-5.7
"17000","1","221","55","0","2017","A","",1,1,123467,0,0,2192,113970,"",0.17,0.00,0.00,0.00,0.00,0.89,0.89,"",0,0.0,-1,-50.0,-118305,-48.9,0,0.0,0,0.0,-133,-5.7,-6916,-5.7
"17000","1","2211","56","0","2017","A","",1,1,123467,0,0,2192,113970,"",0.18,0.00,0.00,0.00,0.00,0.87,0.87,"",0,0.0,-1,-50.0,-118305,-48.9,0,0.0,0,0.0,-133,-5.7,-6916,-5.7
"17000","1","22111","57","0","2017","A","",1,1,123467,0,0,2192,113970,"",0.36,0.00,0.00,0.00,0.00,0.90,0.90,"",0,0.0,-1,-50.0,-118305,-48.9,0,0.0,0,0.0,-133,-5.7,-6916,-5.7
"17000","1","221112","58","0","2017","A","",1,1,123467,0,0,2192,113970,"",4.52,0.03,0.03,0.00,0.00,0.91,0.91,"",0,0.0,-1,-50.0,-118305,-48.9,0,0.0,0,0.0,-133,-5.7,-6916,-5.7
"17000","1","31-33","54","0","2017","A","",3,2236,177421795,0,0,1526,79333,"",1.77,1.15,1.05,0.00,0.00,0.91,0.91,"",0,0.0,79,3.7,7990956,4.7,0,0.0,0,0.0,15,1.0,781,1.0
"17000","1","323","55","0","2017","A","",1,9,910427,0,0,1945,101159,"",1.60,0.08,0.07,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,74647,8.9,0,0.0,0,0.0,125,6.9,6542,6.9
"17000","1","3231","56","0","2017","A","",1,9,910427,0,0,1945,101159,"",1.60,0.08,0.07,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,74647,8.9,0,0.0,0,0.0,125,6.9,6542,6.9
"17000","1","32311","57","0","2017","A","",1,9,910427,0,0,1945,101159,"",1.60,0.08,0.07,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,74647,8.9,0,0.0,0,0.0,125,6.9,6542,6.9
"17000","1","323117","58","0","2017","A","",1,9,910427,0,0,1945,101159,"",1.94,0.13,0.13,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,74647,8.9,0,0.0,0,0.0,125,6.9,6542,6.9
"17000","1","332","55","0","2017","A","",2,2227,176511368,0,0,1524,79245,"",9.05,12.27,11.84,0.00,0.00,0.96,0.96,"",0,0.0,79,3.7,7916309,4.7,0,0.0,0,0.0,15,1.0,759,1.0
"17000","1","3329","56","0","2017","A","",2,2227,176511368,0,0,1524,79245,"",10.86,13.29,13.37,0.00,0.00,1.01,1.01,"",0,0.0,79,3.7,7916309,4.7,0,0.0,0,0.0,15,1.0,759,1.0
