"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18000","0","10","50","0","2018","A","",167627,3051879,145240153691,27667321368,490983898,915,47590,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2900,1.8,33702,1.1,5826019113,4.2,441489906,1.6,-42343404,-7.9,27,3.0,1398,3.0
"18000","1","10","51","0","2018","A","",1194,38031,2779057901,0,0,1405,73074,"",1.21,0.65,0.68,0.00,0.00,1.05,1.05,"",-15,-1.2,73,0.2,119142352,4.5,0,0.0,0,0.0,57,4.2,2999,4.3
"18000","1","102","52","0","2018","A","",1194,38031,2779057901,0,0,1405,73074,"",1.21,0.66,0.70,0.00,0.00,1.05,1.05,"",-15,-1.2,73,0.2,119142352,4.5,0,0.0,0,0.0,57,4.2,2999,4.3
"18000","1","1021","53","0","2018","A","",695,12090,719200838,0,0,1144,59490,"",1.39,0.85,0.98,0.00,0.00,1.15,1.15,"",-5,-0.7,-140,-1.1,30949496,4.5,0,0.0,0,0.0,62,5.7,3215,5.7
"18000","1","1023","53","0","2018","A","",15,145,13674799,0,0,1809,94093,"",1.13,0.56,0.52,0.00,0.00,0.93,0.93,"",0,0.0,-10,-6.5,-130755,-0.9,0,0.0,0,0.0,101,5.9,5264,5.9
"18000","1","1024","53","0","2018","A","",18,360,26560088,0,0,1419,73778,"",0.74,0.26,0.26,0.00,0.00,0.99,0.99,"",0,0.0,-8,-2.2,-137929,-0.5,0,0.0,0,0.0,23,1.6,1163,1.6
"18000","1","1025","53","0","2018","A","",18,5418,421474922,0,0,1496,77787,"",0.78,0.63,0.72,0.00,0.00,1.16,1.16,"",-1,-5.3,-42,-0.8,6943193,1.7,0,0.0,0,0.0,36,2.5,1868,2.5
"18000","1","1026","53","0","2018","A","",10,182,9653395,0,0,1019,52992,"",0.39,0.18,0.23,0.00,0.00,1.30,1.30,"",-1,-9.1,-14,-7.1,234499,2.5,0,0.0,0,0.0,95,10.3,4957,10.3
"18000","1","1027","53","0","2018","A","",3,12,610554,0,0,1021,53092,"",1.09,0.13,0.14,0.00,0.00,1.16,1.16,"",0,0.0,1,9.1,73622,13.7,0,0.0,0,0.0,75,7.9,3907,7.9
"18000","1","1028","53","0","2018","A","",434,19824,1587883305,0,0,1540,80099,"",1.11,0.63,0.64,0.00,0.00,1.02,1.02,"",-10,-2.3,286,1.5,81210226,5.4,0,0.0,0,0.0,57,3.8,2982,3.9
