"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20000","0","10","50","0","2022","A","",93245,1390817,78133006997,25005295237,308400262,1080,56178,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3107,3.4,37285,2.8,5824060230,8.1,848782269,3.5,-26578716,-7.9,53,5.2,2756,5.2
"20000","1","10","51","0","2022","A","",1215,25723,1999672189,0,0,1495,77738,"",2.47,0.97,1.01,0.00,0.00,1.04,1.04,"",-2,-0.2,40,0.2,103686489,5.5,0,0.0,0,0.0,75,5.3,3916,5.3
"20000","1","102","52","0","2022","A","",1215,25723,1999672189,0,0,1495,77738,"",2.47,0.99,1.03,0.00,0.00,1.04,1.04,"",-2,-0.2,40,0.2,103686489,5.5,0,0.0,0,0.0,75,5.3,3916,5.3
"20000","1","1021","53","0","2022","A","",582,6543,406642072,0,0,1195,62145,"",2.38,1.06,1.18,0.00,0.00,1.11,1.11,"",-13,-2.2,-139,-2.1,20424152,5.3,0,0.0,0,0.0,83,7.5,4344,7.5
"20000","1","1022","53","0","2022","A","",4,66,4073166,0,0,1193,62028,"",3.41,1.10,0.94,0.00,0.00,0.87,0.87,"",1,33.3,0,0.0,296007,7.8,0,0.0,0,0.0,97,8.9,5014,8.8
"20000","1","1023","53","0","2022","A","",9,104,10189691,0,0,1887,98135,"",1.40,0.90,0.84,0.00,0.00,0.94,0.94,"",1,12.5,3,3.0,741966,7.9,0,0.0,0,0.0,93,5.2,4824,5.2
"20000","1","1024","53","0","2022","A","",32,290,23996760,0,0,1592,82795,"",2.75,0.45,0.49,0.00,0.00,1.08,1.08,"",0,0.0,13,4.7,1620178,7.2,0,0.0,0,0.0,39,2.5,2037,2.5
"20000","1","1025","53","0","2022","A","",29,5723,448804055,0,0,1508,78422,"",2.53,1.45,1.51,0.00,0.00,1.04,1.04,"",1,3.6,-88,-1.5,13398110,3.1,0,0.0,0,0.0,67,4.6,3497,4.7
"20000","1","1026","53","0","2022","A","",19,215,7325627,0,0,655,34073,"",1.61,0.52,0.38,0.00,0.00,0.74,0.74,"",0,0.0,-4,-1.8,430641,6.2,0,0.0,0,0.0,51,8.4,2649,8.4
"20000","1","1027","53","0","2022","A","",2,23,1534079,0,0,1287,66942,"",1.56,0.51,0.69,0.00,0.00,1.35,1.35,"",0,0.0,2,9.5,226893,17.4,0,0.0,0,0.0,95,8.0,4941,8.0
"20000","1","1028","53","0","2022","A","",538,12760,1097106739,0,0,1654,85983,"",2.65,0.87,0.91,0.00,0.00,1.04,1.04,"",7,1.3,255,2.0,66548542,6.5,0,0.0,0,0.0,69,4.4,3571,4.3
"20000","1","44-45","54","0","2022","A","",8,150,6496791,0,0,831,43192,"",1.39,0.39,0.57,0.00,0.00,1.45,1.45,"",-1,-11.1,-7,-4.5,81125,1.3,0,0.0,0,0.0,47,6.0,2436,6.0
"20000","1","441","55","0","2022","A","",1,0,1277,0,0,59,3065,"",3.17,0.00,0.05,0.00,0.00,0.11,0.11,"",0,0.0,0,0.0,1277,100.0,0,0.0,0,0.0,59,100.0,3065,100.0
"20000","1","4413","56","0","2022","A","",1,0,1277,0,0,59,3065,"",3.17,0.00,0.05,0.00,0.00,0.11,0.11,"",0,0.0,0,0.0,1277,100.0,0,0.0,0,0.0,59,100.0,3065,100.0
"20000","1","44133","57","0","2022","A","",1,0,1277,0,0,59,3065,"",3.17,0.00,0.05,0.00,0.00,0.11,0.11,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"20000","1","441330","58","0","2022","A","",1,0,1277,0,0,59,3065,"",3.17,0.00,0.05,0.00,0.00,0.11,0.11,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"20000","1","445","55","0","2022","A","",4,143,6297800,0,0,847,44066,"",2.41,1.54,1.78,0.00,0.00,1.15,1.16,"",0,0.0,-8,-5.3,50035,0.8,0,0.0,0,0.0,52,6.5,2713,6.6
"20000","1","4451","56","0","2022","A","",4,143,6297800,0,0,847,44066,"",2.41,1.54,1.78,0.00,0.00,1.15,1.16,"",0,0.0,-8,-5.3,50035,0.8,0,0.0,0,0.0,52,6.5,2713,6.6
