"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21000","0","10","50","0","2021","A","",134031,1857636,98198258005,19582946048,338049972,1017,52862,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6549,5.1,65040,3.6,7144993484,7.8,1274009892,7.0,26460893,8.5,40,4.1,2068,4.1
"21000","1","10","51","0","2021","A","",1274,34801,2586281830,0,0,1429,74316,"",1.69,0.93,1.00,0.00,0.00,1.07,1.07,"",-42,-3.2,-644,-1.8,69773098,2.8,0,0.0,0,0.0,64,4.7,3318,4.7
"21000","1","101","52","0","2021","A","",2,19,1497690,0,0,1536,79877,"",1.30,0.03,0.03,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","1011","53","0","2021","A","",2,19,1497690,0,0,1536,79877,"",2.20,0.40,0.51,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","102","52","0","2021","A","",1272,34783,2584784140,0,0,1429,74313,"",1.70,0.95,1.01,0.00,0.00,1.06,1.07,"",-42,-3.2,-643,-1.8,69617796,2.8,0,0.0,0,0.0,64,4.7,3315,4.7
"21000","1","1021","53","0","2021","A","",641,8386,549797098,0,0,1261,65565,"",1.72,0.97,1.21,0.00,0.00,1.26,1.26,"",-9,-1.4,-21,-0.2,20372646,3.8,0,0.0,0,0.0,50,4.1,2590,4.1
"21000","1","1022","53","0","2021","A","",2,20,763392,0,0,750,38982,"",1.21,0.24,0.13,0.00,0.00,0.58,0.58,"",0,0.0,-1,-4.8,-44927,-5.6,0,0.0,0,0.0,16,2.2,794,2.1
"21000","1","1023","53","0","2021","A","",17,162,15015781,0,0,1780,92547,"",1.80,1.01,0.95,0.00,0.00,0.93,0.93,"",-1,-5.6,3,1.9,30363,0.2,0,0.0,0,0.0,-31,-1.7,-1602,-1.7
"21000","1","1024","53","0","2021","A","",43,1308,107709413,0,0,1584,82357,"",2.40,1.46,1.63,0.00,0.00,1.12,1.12,"",-1,-2.3,1,0.1,3124426,3.0,0,0.0,0,0.0,45,2.9,2348,2.9
"21000","1","1025","53","0","2021","A","",37,7021,539418541,0,0,1478,76833,"",2.16,1.27,1.40,0.00,0.00,1.10,1.10,"",0,0.0,-31,-0.4,11076991,2.1,0,0.0,0,0.0,37,2.6,1910,2.5
"21000","1","1026","53","0","2021","A","",23,560,20641603,0,0,709,36855,"",1.24,0.97,0.84,0.00,0.00,0.87,0.87,"",-1,-4.2,-51,-8.3,-1452,0.0,0,0.0,0,0.0,60,9.2,3088,9.1
"21000","1","1027","53","0","2021","A","",3,19,1120674,0,0,1124,58470,"",1.55,0.31,0.40,0.00,0.00,1.28,1.28,"",0,0.0,1,5.6,134533,13.6,0,0.0,0,0.0,51,4.8,2651,4.7
"21000","1","1028","53","0","2021","A","",505,17307,1350317638,0,0,1500,78020,"",1.62,0.84,0.85,0.00,0.00,1.00,1.00,"",-31,-5.8,-544,-3.0,34925216,2.7,0,0.0,0,0.0,83,5.9,4332,5.9
"21000","1","1029","53","0","2021","A","",1,0,0,0,0,0,0,"",11.63,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"21000","1","11","54","0","2021","A","",2,19,1497690,0,0,1536,79877,"",2.20,0.40,0.51,0.00,0.00,1.29,1.29,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","112","55","0","2021","A","",2,19,1497690,0,0,1536,79877,"",81.39,77.40,98.99,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","1125","56","0","2021","A","",2,19,1497690,0,0,1536,79877,"",81.39,77.40,98.99,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","11251","57","0","2021","A","",2,19,1497690,0,0,1536,79877,"",81.39,77.40,98.99,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","112511","58","0","2021","A","",2,19,1497690,0,0,1536,79877,"",81.39,77.40,98.99,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,155302,11.6,0,0.0,0,0.0,147,10.6,7641,10.6
"21000","1","22","54","0","2021","A","",11,452,62276028,0,0,2650,137804,"",5.49,3.03,3.85,0.00,0.00,1.27,1.27,"",0,0.0,-32,-6.6,-612209,-1.0,0,0.0,0,0.0,150,6.0,7802,6.0
"21000","1","221","55","0","2021","A","",11,452,62276028,0,0,2650,137804,"",5.49,3.03,3.85,0.00,0.00,1.27,1.27,"",0,0.0,-32,-6.6,-612209,-1.0,0,0.0,0,0.0,150,6.0,7802,6.0
"21000","1","2211","56","0","2021","A","",11,452,62276028,0,0,2650,137804,"",5.70,3.25,4.04,0.00,0.00,1.24,1.24,"",0,0.0,-32,-6.6,-612209,-1.0,0,0.0,0,0.0,150,6.0,7802,6.0
"21000","1","22112","57","0","2021","A","",11,452,62276028,0,0,2650,137804,"",10.79,12.75,15.12,0.00,0.00,1.19,1.19,"",0,0.0,-32,-6.6,-612209,-1.0,0,0.0,0,0.0,150,6.0,7802,6.0
"21000","1","221122","58","0","2021","A","",11,452,62276028,0,0,2650,137804,"",20.82,47.47,59.57,0.00,0.00,1.25,1.26,"",0,0.0,-32,-6.6,-612209,-1.0,0,0.0,0,0.0,150,6.0,7802,6.0
"21000","1","44-45","54","0","2021","A","",6,224,7898525,0,0,677,35196,"",0.72,0.41,0.55,0.00,0.00,1.32,1.32,"",1,20.0,-15,-6.3,-702301,-8.2,0,0.0,0,0.0,-15,-2.2,-791,-2.2
"21000","1","445","55","0","2021","A","",2,195,7244973,0,0,714,37154,"",0.82,1.44,1.53,0.00,0.00,1.06,1.06,"",0,0.0,-10,-4.9,-596290,-7.6,0,0.0,0,0.0,-21,-2.9,-1065,-2.8
"21000","1","4451","56","0","2021","A","",2,195,7244973,0,0,714,37154,"",0.82,1.44,1.53,0.00,0.00,1.06,1.06,"",0,0.0,-10,-4.9,-596290,-7.6,0,0.0,0,0.0,-21,-2.9,-1065,-2.8
"21000","1","44511","57","0","2021","A","",2,195,7244973,0,0,714,37154,"",0.94,1.53,1.59,0.00,0.00,1.04,1.04,"",0,0.0,-10,-4.9,-596290,-7.6,0,0.0,0,0.0,-21,-2.9,-1065,-2.8
"21000","1","445110","58","0","2021","A","",2,195,7244973,0,0,714,37154,"",0.94,1.53,1.59,0.00,0.00,1.04,1.04,"",0,0.0,-10,-4.9,-596290,-7.6,0,0.0,0,0.0,-21,-2.9,-1065,-2.8
"21000","1","451","55","0","2021","A","",2,26,565142,0,0,423,22019,"",3.26,15.36,18.63,0.00,0.00,1.23,1.23,"",1,100.0,1,4.0,39556,7.5,0,0.0,0,0.0,24,6.0,1272,6.1
"21000","1","4511","56","0","2021","A","",2,26,565142,0,0,423,22019,"",3.32,15.48,19.36,0.00,0.00,1.27,1.27,"",1,100.0,1,4.0,39556,7.5,0,0.0,0,0.0,24,6.0,1272,6.1
"21000","1","45111","57","0","2021","A","",2,26,565142,0,0,423,22019,"",3.46,15.72,19.85,0.00,0.00,1.28,1.28,"",1,100.0,1,4.0,39556,7.5,0,0.0,0,0.0,24,6.0,1272,6.1
"21000","1","451110","58","0","2021","A","",2,26,565142,0,0,423,22019,"",3.46,15.72,19.85,0.00,0.00,1.28,1.28,"",1,100.0,1,4.0,39556,7.5,0,0.0,0,0.0,24,6.0,1272,6.1
