"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22000","0","10","50","0","2018","A","",131999,1921498,92455217040,14974231204,231114085,925,48116,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1533,1.2,13777,0.7,3745939515,4.2,310994289,2.1,1608364,0.7,31,3.5,1616,3.5
"22000","1","10","51","0","2018","A","",1010,31138,2303261977,0,0,1423,73970,"",1.30,0.85,0.89,0.00,0.00,1.05,1.05,"",-14,-1.4,153,0.5,103772698,4.7,0,0.0,0,0.0,58,4.2,2985,4.2
"22000","1","101","52","0","2018","A","",1,13,1388885,0,0,2109,109649,"",0.65,0.02,0.03,0.00,0.00,1.57,1.56,"",0,0.0,1,8.3,72462,5.5,0,0.0,0,0.0,-1,0.0,-53,0.0
"22000","1","1013","53","0","2018","A","",1,13,1388885,0,0,2109,109649,"",1.65,0.02,0.03,0.00,0.00,1.55,1.55,"",0,0.0,1,8.3,72462,5.5,0,0.0,0,0.0,-1,0.0,-53,0.0
"22000","1","102","52","0","2018","A","",1009,31125,2301873092,0,0,1422,73956,"",1.30,0.86,0.91,0.00,0.00,1.05,1.05,"",-14,-1.4,152,0.5,103700236,4.7,0,0.0,0,0.0,57,4.2,2986,4.2
"22000","1","1021","53","0","2018","A","",481,8599,496204789,0,0,1110,57708,"",1.22,0.96,1.06,0.00,0.00,1.10,1.10,"",-5,-1.0,-43,-0.5,16796478,3.5,0,0.0,0,0.0,43,4.0,2236,4.0
"22000","1","1022","53","0","2018","A","",2,12,381509,0,0,638,33175,"",1.21,0.14,0.06,0.00,0.00,0.48,0.48,"",0,0.0,-1,-7.7,-10996,-2.8,0,0.0,0,0.0,42,7.0,2188,7.1
"22000","1","1023","53","0","2018","A","",17,142,13110550,0,0,1772,92166,"",1.62,0.87,0.79,0.00,0.00,0.90,0.90,"",-2,-10.5,-11,-7.2,-273616,-2.0,0,0.0,0,0.0,92,5.5,4830,5.5
"22000","1","1024","53","0","2018","A","",41,1339,112456721,0,0,1615,83986,"",2.13,1.54,1.73,0.00,0.00,1.12,1.12,"",0,0.0,3,0.2,-445628,-0.4,0,0.0,0,0.0,-10,-0.6,-506,-0.6
"22000","1","1025","53","0","2018","A","",20,6277,483217188,0,0,1480,76979,"",1.10,1.15,1.31,0.00,0.00,1.13,1.13,"",1,5.3,403,6.9,47913550,11.0,0,0.0,0,0.0,55,3.9,2870,3.9
