"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"25000","0","10","50","0","2018","A","",257444,3586034,260369109877,53204464509,1585923666,1396,72606,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4683,1.9,42651,1.2,12584433547,5.1,1312859930,2.5,207842586,15.1,51,3.8,2677,3.8
"25000","1","10","51","0","2018","A","",964,45397,3772710504,0,0,1598,83105,"",0.64,0.66,0.52,0.00,0.00,0.78,0.78,"",-13,-1.3,-619,-1.3,115356750,3.2,0,0.0,0,0.0,70,4.6,3625,4.6
"25000","1","102","52","0","2018","A","",964,45397,3772710504,0,0,1598,83105,"",0.64,0.67,0.53,0.00,0.00,0.78,0.78,"",-13,-1.3,-619,-1.3,115356750,3.2,0,0.0,0,0.0,70,4.6,3625,4.6
"25000","1","1021","53","0","2018","A","",535,17071,1159834949,0,0,1307,67941,"",0.70,1.03,0.88,0.00,0.00,0.86,0.86,"",1,0.2,-429,-2.5,26869811,2.4,0,0.0,0,0.0,62,5.0,3202,4.9
"25000","1","1022","53","0","2018","A","",3,37,2954372,0,0,1546,80391,"",0.93,0.23,0.18,0.00,0.00,0.77,0.77,"",0,0.0,-3,-7.5,-194935,-6.2,0,0.0,0,0.0,32,2.1,1658,2.1
"25000","1","1023","53","0","2018","A","",11,220,31008288,0,0,2705,140680,"",0.54,0.72,0.66,0.00,0.00,0.91,0.91,"",1,10.0,-11,-4.8,1032420,3.4,0,0.0,0,0.0,204,8.2,10633,8.2
"25000","1","1024","53","0","2018","A","",28,2311,238951440,0,0,1988,103386,"",0.74,1.43,1.30,0.00,0.00,0.91,0.91,"",0,0.0,-34,-1.4,1006822,0.4,0,0.0,0,0.0,37,1.9,1913,1.9
"25000","1","1025","53","0","2018","A","",21,7621,646600813,0,0,1632,84846,"",0.59,0.75,0.62,0.00,0.00,0.83,0.83,"",0,0.0,45,0.6,20347586,3.2,0,0.0,0,0.0,42,2.6,2187,2.6
"25000","1","1026","53","0","2018","A","",31,668,37659893,0,0,1085,56398,"",0.79,0.56,0.51,0.00,0.00,0.91,0.91,"",0,0.0,-14,-2.1,389799,1.0,0,0.0,0,0.0,34,3.2,1723,3.2
"25000","1","1027","53","0","2018","A","",3,30,1590677,0,0,1023,53170,"",0.71,0.27,0.20,0.00,0.00,0.76,0.76,"",-1,-25.0,-1,-3.2,-48762,-3.0,0,0.0,0,0.0,19,1.9,986,1.9
"25000","1","1028","53","0","2018","A","",333,17439,1654110072,0,0,1824,94853,"",0.55,0.47,0.37,0.00,0.00,0.79,0.79,"",-13,-3.8,-172,-1.0,65954009,4.2,0,0.0,0,0.0,90,5.2,4672,5.2
