"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24000","0","10","50","0","2018","A","",173354,2679064,163828734277,22731644551,449290162,1176,61151,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1166,0.7,25495,1.0,5668872473,3.6,1785784763,8.5,-30883383,-6.4,30,2.6,1548,2.6
"24000","1","10","51","0","2018","A","",993,144963,15336586084,0,0,2035,105797,"",0.97,2.83,3.35,0.00,0.00,1.18,1.18,"",-15,-1.5,-1744,-1.2,463731542,3.1,0,0.0,0,0.0,85,4.4,4419,4.4
"24000","1","102","52","0","2018","A","",993,144963,15336586084,0,0,2035,105797,"",0.97,2.88,3.41,0.00,0.00,1.18,1.18,"",-15,-1.5,-1744,-1.2,463731542,3.1,0,0.0,0,0.0,85,4.4,4419,4.4
"24000","1","1021","53","0","2018","A","",446,13486,839626675,0,0,1197,62259,"",0.86,1.08,1.01,0.00,0.00,0.93,0.93,"",-2,-0.4,-351,-2.5,27105997,3.3,0,0.0,0,0.0,68,6.0,3537,6.0
"24000","1","1022","53","0","2018","A","",2,8,249495,0,0,582,30242,"",0.92,0.07,0.02,0.00,0.00,0.34,0.34,"",0,0.0,1,14.3,68405,37.8,0,0.0,0,0.0,84,16.9,4372,16.9
"24000","1","1023","53","0","2018","A","",3,91,10431166,0,0,2198,114314,"",0.22,0.40,0.35,0.00,0.00,0.88,0.88,"",0,0.0,-6,-6.2,-184869,-1.7,0,0.0,0,0.0,101,4.8,5245,4.8
"24000","1","1024","53","0","2018","A","",44,6232,695154029,0,0,2145,111547,"",1.74,5.15,6.02,0.00,0.00,1.17,1.17,"",0,0.0,5,0.1,10106679,1.5,0,0.0,0,0.0,29,1.4,1527,1.4
"24000","1","1025","53","0","2018","A","",41,10109,907480131,0,0,1726,89774,"",1.72,1.33,1.38,0.00,0.00,1.04,1.04,"",2,5.1,-36,-0.4,21362582,2.4,0,0.0,0,0.0,46,2.7,2426,2.8
"24000","1","1026","53","0","2018","A","",40,1319,78650969,0,0,1146,59610,"",1.51,1.47,1.68,0.00,0.00,1.14,1.14,"",-1,-2.4,-44,-3.2,259737,0.3,0,0.0,0,0.0,40,3.6,2075,3.6
"24000","1","1027","53","0","2018","A","",3,27,1490288,0,0,1078,56061,"",1.05,0.32,0.30,0.00,0.00,0.95,0.96,"",0,0.0,-8,-22.9,-167914,-10.1,0,0.0,0,0.0,173,19.1,9020,19.2
