"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26000","0","10","50","0","2018","A","",248439,4340045,233509319839,37566880518,1197931325,1035,53803,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3531,1.4,45334,1.1,8091870628,3.6,795496696,2.2,-33586345,-2.7,26,2.6,1316,2.5
"26000","1","10","51","0","2018","A","",1500,52243,4093308361,0,0,1507,78351,"",1.03,0.63,0.63,0.00,0.00,1.00,1.00,"",-26,-1.7,-277,-0.5,129192825,3.3,0,0.0,0,0.0,55,3.8,2873,3.8
"26000","1","102","52","0","2018","A","",1500,52243,4093308361,0,0,1507,78351,"",1.03,0.64,0.64,0.00,0.00,1.00,1.00,"",-26,-1.7,-277,-0.5,129192825,3.3,0,0.0,0,0.0,55,3.8,2873,3.8
"26000","1","1021","53","0","2018","A","",873,21241,1327076880,0,0,1201,62477,"",1.18,1.05,1.12,0.00,0.00,1.06,1.06,"",-7,-0.8,-250,-1.2,47855532,3.7,0,0.0,0,0.0,56,4.9,2954,5.0
"26000","1","1022","53","0","2018","A","",2,23,1726949,0,0,1449,75358,"",0.64,0.12,0.11,0.00,0.00,0.97,0.97,"",0,0.0,-1,-4.2,60589,3.6,0,0.0,0,0.0,118,8.9,6167,8.9
"26000","1","1023","53","0","2018","A","",22,183,16966947,0,0,1786,92885,"",1.12,0.50,0.40,0.00,0.00,0.81,0.81,"",0,0.0,-13,-6.6,-30707,-0.2,0,0.0,0,0.0,120,7.2,6273,7.2
"26000","1","1024","53","0","2018","A","",16,364,30064023,0,0,1588,82575,"",0.44,0.19,0.18,0.00,0.00,0.98,0.98,"",1,6.7,12,3.4,-164326,-0.5,0,0.0,0,0.0,-63,-3.8,-3281,-3.8
"26000","1","1025","53","0","2018","A","",23,7874,627930686,0,0,1534,79745,"",0.68,0.64,0.67,0.00,0.00,1.05,1.05,"",0,0.0,44,0.6,18832736,3.1,0,0.0,0,0.0,38,2.5,1959,2.5
"26000","1","1026","53","0","2018","A","",16,280,13362798,0,0,919,47781,"",0.42,0.19,0.20,0.00,0.00,1.04,1.04,"",1,6.7,2,0.7,674588,5.3,0,0.0,0,0.0,41,4.7,2126,4.7
"26000","1","1027","53","0","2018","A","",2,41,2448899,0,0,1158,60219,"",0.49,0.30,0.35,0.00,0.00,1.17,1.17,"",0,0.0,-2,-4.7,64170,2.7,0,0.0,0,0.0,83,7.7,4327,7.7
"26000","1","1028","53","0","2018","A","",547,22238,2073731179,0,0,1793,93253,"",0.94,0.50,0.52,0.00,0.00,1.05,1.05,"",-21,-3.7,-67,-0.3,61900243,3.1,0,0.0,0,0.0,58,3.3,3057,3.4
"26000","1","44-45","54","0","2018","A","",5,56,2189329,0,0,747,38864,"",0.30,0.04,0.05,0.00,0.00,1.26,1.26,"",0,0.0,-1,-1.8,-12984,-0.6,0,0.0,0,0.0,-1,-0.1,-58,-0.1
"26000","1","445","55","0","2018","A","",1,46,1954095,0,0,824,42869,"",0.20,0.13,0.14,0.00,0.00,1.06,1.07,"",0,0.0,1,2.2,-22126,-1.1,0,0.0,0,0.0,-17,-2.0,-885,-2.0
"26000","1","4451","56","0","2018","A","",1,46,1954095,0,0,824,42869,"",0.21,0.13,0.14,0.00,0.00,1.06,1.06,"",0,0.0,1,2.2,-22126,-1.1,0,0.0,0,0.0,-17,-2.0,-885,-2.0
"26000","1","44511","57","0","2018","A","",1,46,1954095,0,0,824,42869,"",0.24,0.14,0.15,0.00,0.00,1.04,1.04,"",0,0.0,1,2.2,-22126,-1.1,0,0.0,0,0.0,-17,-2.0,-885,-2.0
"26000","1","445110","58","0","2018","A","",1,46,1954095,0,0,824,42869,"",0.24,0.14,0.15,0.00,0.00,1.04,1.04,"",0,0.0,1,2.2,-22126,-1.1,0,0.0,0,0.0,-17,-2.0,-885,-2.0
"26000","1","452","55","0","2018","A","",4,11,235234,0,0,421,21882,"",0.58,0.01,0.01,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,9142,4.0,0,0.0,0,0.0,40,10.5,2078,10.5
"26000","1","4522","56","0","2018","A","",4,11,235234,0,0,421,21882,"",0.79,0.02,0.01,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,9142,4.0,0,0.0,0,0.0,40,10.5,2078,10.5
"26000","1","45221","57","0","2018","A","",4,11,235234,0,0,421,21882,"",0.79,0.02,0.01,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,9142,4.0,0,0.0,0,0.0,40,10.5,2078,10.5
"26000","1","452210","58","0","2018","A","",4,11,235234,0,0,421,21882,"",0.79,0.02,0.01,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,9142,4.0,0,0.0,0,0.0,40,10.5,2078,10.5
"26000","1","48-49","54","0","2018","A","",868,21185,1324887551,0,0,1203,62540,"",1.20,1.15,1.20,0.00,0.00,1.05,1.05,"",-7,-0.8,-250,-1.2,47868516,3.7,0,0.0,0,0.0,57,5.0,2963,5.0
"26000","1","488","55","0","2018","A","",8,363,47970008,0,0,2544,132301,"",1.94,1.06,1.03,0.00,0.00,0.97,0.97,"",0,0.0,-2,-0.5,2820000,6.2,0,0.0,0,0.0,167,7.0,8715,7.1
"26000","1","4881","56","0","2018","A","",8,363,47970008,0,0,2544,132301,"",1.94,1.06,1.03,0.00,0.00,0.97,0.97,"",0,0.0,-2,-0.5,2820000,6.2,0,0.0,0,0.0,167,7.0,8715,7.1
"26000","1","48811","57","0","2018","A","",8,363,47970008,0,0,2544,132301,"",1.94,1.06,1.03,0.00,0.00,0.97,0.97,"",0,0.0,-2,-0.5,2820000,6.2,0,0.0,0,0.0,167,7.0,8715,7.1
"26000","1","488111","58","0","2018","A","",8,363,47970008,0,0,2544,132301,"",1.95,1.06,1.03,0.00,0.00,0.97,0.97,"",0,0.0,-2,-0.5,2820000,6.2,0,0.0,0,0.0,167,7.0,8715,7.1
"26000","1","491","55","0","2018","A","",860,20822,1276917543,0,0,1179,61325,"",1.20,1.15,1.21,0.00,0.00,1.05,1.05,"",-7,-0.8,-247,-1.2,45048516,3.7,0,0.0,0,0.0,55,4.9,2858,4.9
"26000","1","4911","56","0","2018","A","",860,20822,1276917543,0,0,1179,61325,"",1.20,1.15,1.21,0.00,0.00,1.05,1.05,"",-7,-0.8,-247,-1.2,45048516,3.7,0,0.0,0,0.0,55,4.9,2858,4.9
"26000","1","49111","57","0","2018","A","",860,20822,1276917543,0,0,1179,61325,"",1.20,1.15,1.21,0.00,0.00,1.05,1.05,"",-7,-0.8,-247,-1.2,45048516,3.7,0,0.0,0,0.0,55,4.9,2858,4.9
"26000","1","491110","58","0","2018","A","",860,20822,1276917543,0,0,1179,61325,"",1.20,1.15,1.21,0.00,0.00,1.05,1.05,"",-7,-0.8,-247,-1.2,45048516,3.7,0,0.0,0,0.0,55,4.9,2858,4.9
"26000","1","51","54","0","2018","A","",2,23,1726949,0,0,1449,75358,"",0.64,0.12,0.11,0.00,0.00,0.97,0.97,"",0,0.0,-1,-4.2,60589,3.6,0,0.0,0,0.0,118,8.9,6167,8.9
