"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29000","0","10","50","0","2017","A","",205150,2781242,131730999233,30448990501,400825930,911,47364,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10989,5.7,25765,0.9,4641632925,3.7,820692383,2.8,-144489446,-26.5,24,2.7,1242,2.7
"29000","1","10","51","0","2017","A","",1657,54804,3742225481,0,0,1313,68283,"",1.33,1.01,1.00,0.00,0.00,0.99,0.99,"",-7,-0.4,-29,-0.1,96044776,2.6,0,0.0,0,0.0,34,2.7,1787,2.7
"29000","1","101","52","0","2017","A","",2,1,89315,0,0,1718,89315,"",0.81,0.00,0.00,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","1013","53","0","2017","A","",2,1,89315,0,0,1718,89315,"",2.08,0.00,0.00,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","102","52","0","2017","A","",1655,54803,3742136166,0,0,1313,68283,"",1.33,1.03,1.02,0.00,0.00,0.99,0.99,"",-7,-0.4,-29,-0.1,96043568,2.6,0,0.0,0,0.0,34,2.7,1787,2.7
"29000","1","1021","53","0","2017","A","",874,15385,853983539,0,0,1067,55509,"",1.39,1.16,1.26,0.00,0.00,1.08,1.09,"",-7,-0.8,37,0.2,2787328,0.3,0,0.0,0,0.0,0,0.0,51,0.1
"29000","1","1022","53","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.32,6.32,4.44,0.00,0.00,0.70,0.70,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","1023","53","0","2017","A","",36,1424,117278434,0,0,1584,82354,"",2.15,5.70,4.84,0.00,0.00,0.85,0.85,"",1,2.9,28,2.0,2993271,2.6,0,0.0,0,0.0,10,0.6,493,0.6
"29000","1","1024","53","0","2017","A","",38,1460,121227403,0,0,1597,83056,"",1.25,1.16,1.27,0.00,0.00,1.10,1.10,"",0,0.0,-3,-0.2,5496852,4.7,0,0.0,0,0.0,76,5.0,3969,5.0
"29000","1","1025","53","0","2017","A","",27,9854,733856888,0,0,1432,74471,"",0.94,1.24,1.38,0.00,0.00,1.10,1.10,"",-1,-3.6,205,2.1,41582814,6.0,0,0.0,0,0.0,52,3.8,2727,3.8
"29000","1","1026","53","0","2017","A","",25,668,34379397,0,0,990,51485,"",0.78,0.70,0.90,0.00,0.00,1.28,1.28,"",0,0.0,-39,-5.5,228378,0.7,0,0.0,0,0.0,62,6.7,3209,6.6
"29000","1","1027","53","0","2017","A","",4,78,4771755,0,0,1179,61307,"",1.13,0.88,1.18,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,218901,4.8,0,0.0,0,0.0,61,5.5,3185,5.5
"29000","1","1028","53","0","2017","A","",646,25133,1839022085,0,0,1407,73173,"",1.28,0.86,0.81,0.00,0.00,0.94,0.94,"",1,0.2,-230,-0.9,41853970,2.3,0,0.0,0,0.0,44,3.2,2316,3.3
"29000","1","31-33","54","0","2017","A","",2,1,89315,0,0,1718,89315,"",2.08,0.00,0.00,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","323","55","0","2017","A","",1,1,89315,0,0,1718,89315,"",2.82,0.02,0.02,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","3231","56","0","2017","A","",1,1,89315,0,0,1718,89315,"",2.82,0.02,0.02,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","32311","57","0","2017","A","",1,1,89315,0,0,1718,89315,"",2.82,0.02,0.02,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","323111","58","0","2017","A","",1,1,89315,0,0,1718,89315,"",15.98,0.04,0.04,0.00,0.00,0.96,0.96,"",0,0.0,0,0.0,1208,1.4,0,0.0,0,0.0,24,1.4,1208,1.4
"29000","1","339","55","0","2017","A","",1,0,0,0,0,0,0,"",5.99,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"29000","1","3399","56","0","2017","A","",1,0,0,0,0,0,0,"",5.99,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"29000","1","33991","57","0","2017","A","",1,0,0,0,0,0,0,"",5.99,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"29000","1","339910","58","0","2017","A","",1,0,0,0,0,0,0,"",5.99,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"29000","1","44-45","54","0","2017","A","",4,138,5182575,0,0,720,37442,"",0.29,0.16,0.21,0.00,0.00,1.31,1.31,"",0,0.0,-8,-5.5,36391,0.7,0,0.0,0,0.0,43,6.4,2214,6.3
"29000","1","441","55","0","2017","A","",1,1,27228,0,0,483,25134,"",1.17,0.42,0.56,0.00,0.00,1.21,1.21,"",0,0.0,-1,-50.0,-5915,-17.8,0,0.0,0,0.0,164,51.4,8562,51.7
"29000","1","4413","56","0","2017","A","",1,1,27228,0,0,483,25134,"",1.17,0.42,0.56,0.00,0.00,1.21,1.21,"",0,0.0,-1,-50.0,-5915,-17.8,0,0.0,0,0.0,164,51.4,8562,51.7
"29000","1","44131","57","0","2017","A","",1,1,27228,0,0,483,25134,"",1.17,0.42,0.56,0.00,0.00,1.21,1.21,"",0,0.0,-1,-50.0,-5915,-17.8,0,0.0,0,0.0,164,51.4,8562,51.7
"29000","1","441310","58","0","2017","A","",1,1,27228,0,0,483,25134,"",1.17,0.42,0.56,0.00,0.00,1.21,1.21,"",0,0.0,-1,-50.0,-5915,-17.8,0,0.0,0,0.0,164,51.4,8562,51.7
"29000","1","445","55","0","2017","A","",3,137,5155347,0,0,722,37539,"",0.73,0.59,0.62,0.00,0.00,1.04,1.04,"",0,0.0,-7,-4.9,42306,0.8,0,0.0,0,0.0,40,5.9,2052,5.8
"29000","1","4451","56","0","2017","A","",3,137,5155347,0,0,722,37539,"",0.74,0.59,0.62,0.00,0.00,1.04,1.04,"",0,0.0,-7,-4.9,42306,0.8,0,0.0,0,0.0,40,5.9,2052,5.8
"29000","1","44511","57","0","2017","A","",3,137,5155347,0,0,722,37539,"",0.85,0.63,0.64,0.00,0.00,1.02,1.02,"",0,0.0,-7,-4.9,42306,0.8,0,0.0,0,0.0,40,5.9,2052,5.8
"29000","1","445110","58","0","2017","A","",3,137,5155347,0,0,722,37539,"",0.85,0.63,0.64,0.00,0.00,1.02,1.02,"",0,0.0,-7,-4.9,42306,0.8,0,0.0,0,0.0,40,5.9,2052,5.8
"29000","1","48-49","54","0","2017","A","",870,15246,848800964,0,0,1071,55673,"",1.43,1.25,1.35,0.00,0.00,1.08,1.08,"",-7,-0.8,44,0.3,2750937,0.3,0,0.0,0,0.0,1,0.1,20,0.0
"29000","1","491","55","0","2017","A","",870,15246,848800964,0,0,1071,55673,"",1.44,1.28,1.41,0.00,0.00,1.10,1.10,"",-7,-0.8,44,0.3,2750937,0.3,0,0.0,0,0.0,1,0.1,20,0.0
"29000","1","4911","56","0","2017","A","",870,15246,848800964,0,0,1071,55673,"",1.44,1.28,1.41,0.00,0.00,1.10,1.10,"",-7,-0.8,44,0.3,2750937,0.3,0,0.0,0,0.0,1,0.1,20,0.0
"29000","1","49111","57","0","2017","A","",870,15246,848800964,0,0,1071,55673,"",1.44,1.28,1.41,0.00,0.00,1.10,1.10,"",-7,-0.8,44,0.3,2750937,0.3,0,0.0,0,0.0,1,0.1,20,0.0
"29000","1","491110","58","0","2017","A","",870,15246,848800964,0,0,1071,55673,"",1.44,1.28,1.41,0.00,0.00,1.10,1.10,"",-7,-0.8,44,0.3,2750937,0.3,0,0.0,0,0.0,1,0.1,20,0.0
"29000","1","51","54","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.32,6.32,4.44,0.00,0.00,0.70,0.70,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","519","55","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.66,8.04,5.38,0.00,0.00,0.67,0.67,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","5191","56","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.66,8.04,5.38,0.00,0.00,0.67,0.67,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","51912","57","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.71,8.06,5.40,0.00,0.00,0.67,0.67,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","519120","58","0","2017","A","",6,803,37616665,0,0,901,46860,"",2.71,8.06,5.40,0.00,0.00,0.67,0.67,"",0,0.0,-23,-2.8,882054,2.4,0,0.0,0,0.0,46,5.4,2383,5.4
"29000","1","52","54","0","2017","A","",36,1424,117278434,0,0,1584,82354,"",2.18,5.72,4.85,0.00,0.00,0.85,0.85,"",1,2.9,28,2.0,2993271,2.6,0,0.0,0,0.0,10,0.6,493,0.6
"29000","1","522","55","0","2017","A","",31,975,66717567,0,0,1316,68417,"",2.28,8.28,7.58,0.00,0.00,0.92,0.92,"",1,3.3,30,3.2,2203058,3.4,0,0.0,0,0.0,3,0.2,148,0.2
"29000","1","5222","56","0","2017","A","",31,975,66717567,0,0,1316,68417,"",2.28,8.28,7.58,0.00,0.00,0.92,0.92,"",1,3.3,30,3.2,2203058,3.4,0,0.0,0,0.0,3,0.2,148,0.2
"29000","1","52229","57","0","2017","A","",31,975,66717567,0,0,1316,68417,"",2.28,8.28,7.58,0.00,0.00,0.92,0.92,"",1,3.3,30,3.2,2203058,3.4,0,0.0,0,0.0,3,0.2,148,0.2
"29000","1","522292","58","0","2017","A","",27,943,63925283,0,0,1304,67795,"",4.49,16.81,18.99,0.00,0.00,1.13,1.13,"",0,0.0,32,3.5,2391855,3.9,0,0.0,0,0.0,5,0.4,269,0.4
"29000","1","522298","58","0","2017","A","",4,32,2792284,0,0,1665,86582,"",0.63,0.71,0.68,0.00,0.00,0.95,0.95,"",1,33.3,-2,-5.9,-188797,-6.3,0,0.0,0,0.0,-34,-2.0,-1746,-2.0
