"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"28000","0","10","50","0","2023","A","",86648,1160807,57027937305,14548267856,60876849,945,49128,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5365,6.6,15354,1.3,2702796112,5.0,86710907,0.6,-2181366,-3.5,33,3.6,1701,3.6
"28000","1","10","51","0","2023","A","",1064,26490,2221461086,0,0,1613,83861,"",2.38,1.19,1.51,0.00,0.00,1.26,1.26,"",10,0.9,779,3.0,197139785,9.7,0,0.0,0,0.0,99,6.5,5126,6.5
"28000","1","101","52","0","2023","A","",1,116,13430456,0,0,2231,116030,"",0.91,0.29,0.51,0.00,0.00,1.74,1.74,"",-1,-50.0,-452,-79.6,-44355360,-76.8,0,0.0,0,0.0,274,14.0,14265,14.0
"28000","1","1013","53","0","2023","A","",1,116,13430456,0,0,2231,116030,"",1.85,0.32,0.55,0.00,0.00,1.73,1.73,"",-1,-50.0,-452,-79.6,-44355360,-76.8,0,0.0,0,0.0,274,14.0,14265,14.0
"28000","1","102","52","0","2023","A","",1063,26374,2208030630,0,0,1610,83720,"",2.38,1.21,1.52,0.00,0.00,1.26,1.26,"",11,1.0,1231,4.9,241495145,12.3,0,0.0,0,0.0,106,7.0,5505,7.0
"28000","1","1021","53","0","2023","A","",451,5568,367054091,0,0,1268,65919,"",2.02,1.10,1.50,0.00,0.00,1.37,1.37,"",7,1.6,88,1.6,21381787,6.2,0,0.0,0,0.0,55,4.5,2834,4.5
"28000","1","1022","53","0","2023","A","",2,4,129346,0,0,663,34492,"",1.84,0.08,0.04,0.00,0.00,0.54,0.54,"",0,0.0,1,33.3,57797,80.8,0,0.0,0,0.0,163,32.6,8474,32.6
"28000","1","1023","53","0","2023","A","",25,160,15547505,0,0,1872,97324,"",4.18,1.66,1.68,0.00,0.00,1.01,1.01,"",-2,-7.4,-26,-14.0,405294,2.7,0,0.0,0,0.0,309,19.8,16024,19.7
"28000","1","1024","53","0","2023","A","",24,2995,281316304,0,0,1806,93923,"",2.27,5.59,7.56,0.00,0.00,1.35,1.35,"",-5,-17.2,-176,-5.6,4706982,1.7,0,0.0,0,0.0,129,7.7,6694,7.7
"28000","1","1025","53","0","2023","A","",16,4667,425584415,0,0,1754,91197,"",1.54,1.39,1.84,0.00,0.00,1.33,1.33,"",1,6.7,485,11.6,67166728,18.7,0,0.0,0,0.0,106,6.4,5482,6.4
