"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30000","0","10","50","0","2024","A","",63895,512774,30785896228,16066280110,184913467,1155,60038,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1953,-3.0,5985,1.2,1779431307,6.1,1014929420,6.7,10456869,6.0,54,4.9,2802,4.9
"30000","1","10","51","0","2024","A","",812,14286,1321636172,0,0,1779,92513,"",2.50,1.44,1.64,0.00,0.00,1.14,1.14,"",-25,-3.0,319,2.3,116755681,9.7,0,0.0,0,0.0,120,7.2,6247,7.2
"30000","1","102","52","0","2024","A","",812,14286,1321636172,0,0,1779,92513,"",2.51,1.46,1.67,0.00,0.00,1.14,1.14,"",-25,-3.0,319,2.3,116755681,9.7,0,0.0,0,0.0,120,7.2,6247,7.2
"30000","1","1021","53","0","2024","A","",322,2107,152218884,0,0,1389,72253,"",1.97,0.95,1.20,0.00,0.00,1.27,1.27,"",-1,-0.3,35,1.7,7298610,5.0,0,0.0,0,0.0,44,3.3,2314,3.3
"30000","1","1022","53","0","2024","A","",2,8,365172,0,0,896,46618,"",2.52,0.36,0.21,0.00,0.00,0.60,0.60,"",1,100.0,2,33.3,131498,56.3,0,0.0,0,0.0,196,28.0,10201,28.0
"30000","1","1023","53","0","2024","A","",17,105,12000359,0,0,2196,114198,"",3.87,2.41,2.30,0.00,0.00,0.95,0.95,"",0,0.0,-1,-0.9,911542,8.2,0,0.0,0,0.0,176,8.7,9174,8.7
"30000","1","1024","53","0","2024","A","",14,227,23212242,0,0,1966,102257,"",1.73,0.94,1.20,0.00,0.00,1.27,1.27,"",1,7.7,0,0.0,547885,2.4,0,0.0,0,0.0,45,2.3,2341,2.3
"30000","1","1025","53","0","2024","A","",18,2077,221712007,0,0,2053,106755,"",2.32,1.38,1.74,0.00,0.00,1.26,1.26,"",0,0.0,70,3.5,15697017,7.6,0,0.0,0,0.0,79,4.0,4107,4.0
"30000","1","1026","53","0","2024","A","",16,419,27568543,0,0,1267,65862,"",2.11,2.60,3.41,0.00,0.00,1.32,1.32,"",1,6.7,-8,-1.9,2871801,11.6,0,0.0,0,0.0,153,13.7,7956,13.7
"30000","1","1027","53","0","2024","A","",3,4,154057,0,0,658,34235,"",3.41,0.24,0.17,0.00,0.00,0.62,0.62,"",0,0.0,-1,-20.0,22024,16.7,0,0.0,0,0.0,142,27.5,7381,27.5
"30000","1","1028","53","0","2024","A","",420,9338,884290646,0,0,1821,94694,"",3.21,1.68,1.77,0.00,0.00,1.05,1.05,"",-25,-5.6,221,2.4,89270397,11.2,0,0.0,0,0.0,144,8.6,7490,8.6
"30000","1","1029","53","0","2024","A","",1,1,114262,0,0,2197,114262,"",94.35,100.75,131.19,0.00,0.00,1.16,1.16,"",-1,-50.0,0,0.0,4907,4.5,0,0.0,0,0.0,94,4.5,4907,4.5
"30000","1","22","54","0","2024","A","",7,103,12613215,0,0,2351,122261,"",6.38,3.20,3.11,0.00,0.00,0.97,0.97,"",0,0.0,2,2.0,695241,5.8,0,0.0,0,0.0,91,4.0,4746,4.0
"30000","1","221","55","0","2024","A","",7,103,12613215,0,0,2351,122261,"",6.38,3.20,3.11,0.00,0.00,0.97,0.97,"",0,0.0,2,2.0,695241,5.8,0,0.0,0,0.0,91,4.0,4746,4.0
