"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37000","0","10","50","0","2018","A","",278142,4410791,223872956323,76633781214,468706674,976,50756,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4808,1.8,80185,1.9,12020630602,5.7,3598680184,4.9,-300017632,-39.0,35,3.7,1836,3.8
"37000","1","10","51","0","2018","A","",1523,72753,5206181199,0,0,1376,71559,"",0.93,0.86,0.83,0.00,0.00,0.96,0.97,"",-21,-1.4,480,0.7,192731657,3.8,0,0.0,0,0.0,42,3.1,2191,3.2
"37000","1","102","52","0","2018","A","",1523,72753,5206181199,0,0,1376,71559,"",0.93,0.88,0.85,0.00,0.00,0.96,0.97,"",-21,-1.4,480,0.7,192731657,3.8,0,0.0,0,0.0,42,3.1,2191,3.2
"37000","1","1021","53","0","2018","A","",783,22959,1303709719,0,0,1092,56784,"",0.94,1.12,1.15,0.00,0.00,1.02,1.03,"",-1,-0.1,82,0.4,55932818,4.5,0,0.0,0,0.0,43,4.1,2241,4.1
"37000","1","1022","53","0","2018","A","",3,17,746172,0,0,870,45223,"",0.86,0.09,0.05,0.00,0.00,0.62,0.62,"",0,0.0,1,6.2,34494,4.8,0,0.0,0,0.0,19,2.2,974,2.2
"37000","1","1023","53","0","2018","A","",28,297,29489050,0,0,1912,99401,"",1.27,0.80,0.73,0.00,0.00,0.92,0.92,"",1,3.7,0,0.0,2014615,7.3,0,0.0,0,0.0,134,7.5,6946,7.5
"37000","1","1024","53","0","2018","A","",23,641,54056654,0,0,1623,84387,"",0.57,0.32,0.34,0.00,0.00,1.07,1.07,"",0,0.0,13,2.1,3045621,6.0,0,0.0,0,0.0,62,4.0,3213,4.0
"37000","1","1025","53","0","2018","A","",25,15577,1198226414,0,0,1479,76921,"",0.66,1.24,1.34,0.00,0.00,1.07,1.07,"",0,0.0,292,1.9,40063550,3.5,0,0.0,0,0.0,22,1.5,1150,1.5
"37000","1","1026","53","0","2018","A","",41,829,32050421,0,0,743,38650,"",0.96,0.56,0.50,0.00,0.00,0.89,0.89,"",0,0.0,-28,-3.3,869404,2.8,0,0.0,0,0.0,43,6.1,2248,6.2
"37000","1","1027","53","0","2018","A","",4,17,1050988,0,0,1189,61823,"",0.87,0.12,0.16,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,-71238,-6.3,0,0.0,0,0.0,-87,-6.8,-4515,-6.8
