"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38000","0","10","50","0","2017","A","",31917,414038,20831602133,9186728814,181703791,968,50313,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-169,-0.5,-3081,-0.7,445562725,2.2,-372284773,-3.9,43679923,31.6,28,3.0,1440,2.9
"38000","1","10","51","0","2017","A","",650,9400,607915573,0,0,1244,64671,"",3.35,1.17,1.03,0.00,0.00,0.88,0.89,"",1,0.2,-8,-0.1,13615324,2.3,0,0.0,0,0.0,29,2.4,1499,2.4
"38000","1","102","52","0","2017","A","",650,9400,607915573,0,0,1244,64671,"",3.36,1.19,1.05,0.00,0.00,0.89,0.89,"",1,0.2,-8,-0.1,13615324,2.3,0,0.0,0,0.0,29,2.4,1499,2.4
"38000","1","1021","53","0","2017","A","",290,2171,106102379,0,0,940,48884,"",2.97,1.10,0.99,0.00,0.00,0.90,0.90,"",1,0.3,21,1.0,1743659,1.7,0,0.0,0,0.0,7,0.8,347,0.7
"38000","1","1022","53","0","2017","A","",2,13,273557,0,0,413,21455,"",4.97,0.69,0.20,0.00,0.00,0.30,0.30,"",0,0.0,0,0.0,-20064,-6.8,0,0.0,0,0.0,-8,-1.9,-430,-2.0
"38000","1","1023","53","0","2017","A","",9,92,9558348,0,0,1989,103427,"",3.46,2.47,2.50,0.00,0.00,1.00,1.00,"",0,0.0,-5,-5.2,-225476,-2.3,0,0.0,0,0.0,48,2.5,2476,2.5
"38000","1","1024","53","0","2017","A","",11,144,12345821,0,0,1650,85785,"",2.32,0.77,0.82,0.00,0.00,1.07,1.07,"",0,0.0,1,0.7,174221,1.4,0,0.0,0,0.0,12,0.7,619,0.7
"38000","1","1025","53","0","2017","A","",18,1769,127611848,0,0,1387,72131,"",4.04,1.50,1.51,0.00,0.00,1.01,1.01,"",1,5.9,66,3.9,7587502,6.3,0,0.0,0,0.0,31,2.3,1642,2.3
"38000","1","1026","53","0","2017","A","",21,186,6197579,0,0,639,33246,"",4.19,1.31,1.02,0.00,0.00,0.78,0.78,"",0,0.0,-4,-2.1,271704,4.6,0,0.0,0,0.0,40,6.7,2112,6.8
"38000","1","1027","53","0","2017","A","",6,324,10303250,0,0,612,31841,"",10.88,24.59,16.11,0.00,0.00,0.66,0.66,"",0,0.0,0,0.0,228182,2.3,0,0.0,0,0.0,13,2.2,713,2.3
"38000","1","1028","53","0","2017","A","",294,4701,335522791,0,0,1372,71368,"",3.76,1.07,0.93,0.00,0.00,0.87,0.87,"",-1,-0.3,-87,-1.8,3855596,1.2,0,0.0,0,0.0,40,3.0,2090,3.0
"38000","1","22","54","0","2017","A","",6,71,7627748,0,0,2066,107433,"",11.48,2.09,2.02,0.00,0.00,0.97,0.97,"",0,0.0,2,2.9,-195857,-2.5,0,0.0,0,0.0,-117,-5.4,-6090,-5.4
"38000","1","221","55","0","2017","A","",6,71,7627748,0,0,2066,107433,"",11.48,2.09,2.02,0.00,0.00,0.97,0.97,"",0,0.0,2,2.9,-195857,-2.5,0,0.0,0,0.0,-117,-5.4,-6090,-5.4
"38000","1","2211","56","0","2017","A","",6,71,7627748,0,0,2066,107433,"",12.01,2.24,2.13,0.00,0.00,0.95,0.95,"",0,0.0,2,2.9,-195857,-2.5,0,0.0,0,0.0,-117,-5.4,-6090,-5.4
"38000","1","22112","57","0","2017","A","",6,71,7627748,0,0,2066,107433,"",23.40,8.85,7.74,0.00,0.00,0.87,0.87,"",0,0.0,2,2.9,-195857,-2.5,0,0.0,0,0.0,-117,-5.4,-6090,-5.4
"38000","1","221121","58","0","2017","A","",6,71,7627748,0,0,2066,107433,"",46.22,13.05,10.79,0.00,0.00,0.83,0.83,"",0,0.0,2,2.9,-195857,-2.5,0,0.0,0,0.0,-117,-5.4,-6090,-5.4
"38000","1","44-45","54","0","2017","A","",8,256,7753309,0,0,583,30316,"",3.67,1.99,1.99,0.00,0.00,1.00,1.00,"",0,0.0,1,0.4,450043,6.2,0,0.0,0,0.0,31,5.6,1629,5.7
"38000","1","441","55","0","2017","A","",2,5,67567,0,0,264,13742,"",15.03,14.24,8.74,0.00,0.00,0.62,0.62,"",0,0.0,1,25.0,-8086,-10.7,0,0.0,0,0.0,-100,-27.5,-5171,-27.3
"38000","1","4413","56","0","2017","A","",2,5,67567,0,0,264,13742,"",15.03,14.24,8.74,0.00,0.00,0.62,0.62,"",0,0.0,1,25.0,-8086,-10.7,0,0.0,0,0.0,-100,-27.5,-5171,-27.3
"38000","1","44131","57","0","2017","A","",2,5,67567,0,0,264,13742,"",15.03,14.24,8.74,0.00,0.00,0.62,0.62,"",0,0.0,1,25.0,-8086,-10.7,0,0.0,0,0.0,-100,-27.5,-5171,-27.3
"38000","1","441310","58","0","2017","A","",2,5,67567,0,0,264,13742,"",15.03,14.24,8.74,0.00,0.00,0.62,0.62,"",0,0.0,1,25.0,-8086,-10.7,0,0.0,0,0.0,-100,-27.5,-5171,-27.3
"38000","1","442","55","0","2017","A","",2,8,174315,0,0,402,20918,"",11.21,12.14,12.57,0.00,0.00,0.99,0.99,"",0,0.0,-2,-20.0,-6123,-3.4,0,0.0,0,0.0,58,16.9,3023,16.9
"38000","1","4422","56","0","2017","A","",2,8,174315,0,0,402,20918,"",11.41,14.33,14.29,0.00,0.00,0.96,0.96,"",0,0.0,-2,-20.0,-6123,-3.4,0,0.0,0,0.0,58,16.9,3023,16.9
"38000","1","44229","57","0","2017","A","",2,8,174315,0,0,402,20918,"",11.41,14.33,14.29,0.00,0.00,0.96,0.96,"",0,0.0,-2,-20.0,-6123,-3.4,0,0.0,0,0.0,58,16.9,3023,16.9
"38000","1","442299","58","0","2017","A","",2,8,174315,0,0,402,20918,"",11.41,14.33,14.29,0.00,0.00,0.96,0.96,"",0,0.0,-2,-20.0,-6123,-3.4,0,0.0,0,0.0,58,16.9,3023,16.9
"38000","1","445","55","0","2017","A","",2,65,2665756,0,0,795,41330,"",3.13,1.89,2.02,0.00,0.00,1.08,1.08,"",0,0.0,-1,-1.5,-65736,-2.4,0,0.0,0,0.0,-2,-0.3,-109,-0.3
"38000","1","4451","56","0","2017","A","",2,65,2665756,0,0,795,41330,"",3.16,1.89,2.02,0.00,0.00,1.08,1.08,"",0,0.0,-1,-1.5,-65736,-2.4,0,0.0,0,0.0,-2,-0.3,-109,-0.3
"38000","1","44511","57","0","2017","A","",2,65,2665756,0,0,795,41330,"",3.65,2.01,2.10,0.00,0.00,1.05,1.05,"",0,0.0,-1,-1.5,-65736,-2.4,0,0.0,0,0.0,-2,-0.3,-109,-0.3
"38000","1","445110","58","0","2017","A","",2,65,2665756,0,0,795,41330,"",3.65,2.01,2.10,0.00,0.00,1.05,1.05,"",0,0.0,-1,-1.5,-65736,-2.4,0,0.0,0,0.0,-2,-0.3,-109,-0.3
