"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31000","0","10","50","0","2021","A","",75199,965748,52008171437,8564783671,71529093,1036,53853,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4761,6.8,17611,1.9,3190288961,6.5,384128962,4.7,-833179,-1.2,46,4.6,2365,4.6
"31000","1","10","51","0","2021","A","",966,16925,1292037829,0,0,1468,76341,"",2.29,0.87,0.94,0.00,0.00,1.07,1.07,"",0,0.0,-489,-2.8,37711419,3.0,0,0.0,0,0.0,83,6.0,4311,6.0
"31000","1","102","52","0","2021","A","",966,16925,1292037829,0,0,1468,76341,"",2.29,0.89,0.96,0.00,0.00,1.07,1.07,"",0,0.0,-489,-2.8,37711419,3.0,0,0.0,0,0.0,83,6.0,4311,6.0
"31000","1","1021","53","0","2021","A","",490,4529,266976096,0,0,1134,58943,"",2.35,1.00,1.11,0.00,0.00,1.11,1.11,"",-6,-1.2,-88,-1.9,8122150,3.1,0,0.0,0,0.0,56,5.2,2880,5.1
"31000","1","1023","53","0","2021","A","",11,100,10076357,0,0,1941,100932,"",2.08,1.20,1.20,0.00,0.00,1.00,1.00,"",0,0.0,1,1.0,328308,3.4,0,0.0,0,0.0,46,2.4,2384,2.4
"31000","1","1024","53","0","2021","A","",9,877,78912601,0,0,1731,89989,"",0.90,1.88,2.26,0.00,0.00,1.20,1.20,"",0,0.0,-26,-2.9,-1601690,-2.0,0,0.0,0,0.0,15,0.9,776,0.9
"31000","1","1025","53","0","2021","A","",13,2697,225143159,0,0,1605,83479,"",1.35,0.94,1.10,0.00,0.00,1.18,1.18,"",0,0.0,53,2.0,18264335,8.8,0,0.0,0,0.0,100,6.6,5227,6.7
"31000","1","1026","53","0","2021","A","",18,317,22383443,0,0,1359,70647,"",1.72,1.05,1.73,0.00,0.00,1.64,1.64,"",-2,-10.0,3,1.0,720991,3.3,0,0.0,0,0.0,34,2.6,1750,2.5
"31000","1","1027","53","0","2021","A","",1,6,305981,0,0,995,51715,"",0.92,0.19,0.21,0.00,0.00,1.11,1.11,"",0,0.0,1,20.0,33813,12.4,0,0.0,0,0.0,14,1.4,683,1.3
"31000","1","1028","53","0","2021","A","",425,8399,688240192,0,0,1576,81947,"",2.43,0.79,0.81,0.00,0.00,1.03,1.04,"",8,1.9,-433,-4.9,11843512,1.8,0,0.0,0,0.0,103,7.0,5362,7.0
"31000","1","44-45","54","0","2021","A","",13,72,2660086,0,0,707,36775,"",2.77,0.25,0.35,0.00,0.00,1.35,1.36,"",-1,-7.1,-41,-36.3,-1544276,-36.7,0,0.0,0,0.0,-8,-1.1,-404,-1.1
"31000","1","441","55","0","2021","A","",1,3,88326,0,0,523,27177,"",3.63,3.75,5.03,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,350,0.4,0,0.0,0,0.0,-11,-2.1,-605,-2.2
"31000","1","4413","56","0","2021","A","",1,3,88326,0,0,523,27177,"",3.63,3.75,5.03,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,350,0.4,0,0.0,0,0.0,-11,-2.1,-605,-2.2
"31000","1","44131","57","0","2021","A","",1,3,88326,0,0,523,27177,"",3.63,3.75,5.03,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,350,0.4,0,0.0,0,0.0,-11,-2.1,-605,-2.2
"31000","1","441310","58","0","2021","A","",1,3,88326,0,0,523,27177,"",3.63,3.75,5.03,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,350,0.4,0,0.0,0,0.0,-11,-2.1,-605,-2.2
"31000","1","442","55","0","2021","A","",1,3,87311,0,0,576,29935,"",2.59,2.01,2.65,0.00,0.00,1.35,1.35,"",0,0.0,0,0.0,19110,28.0,0,0.0,0,0.0,68,13.4,3535,13.4
"31000","1","4422","56","0","2021","A","",1,3,87311,0,0,576,29935,"",2.64,2.35,2.94,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,19110,28.0,0,0.0,0,0.0,68,13.4,3535,13.4
"31000","1","44229","57","0","2021","A","",1,3,87311,0,0,576,29935,"",2.64,2.35,2.94,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,19110,28.0,0,0.0,0,0.0,68,13.4,3535,13.4
"31000","1","442299","58","0","2021","A","",1,3,87311,0,0,576,29935,"",2.64,2.35,2.94,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,19110,28.0,0,0.0,0,0.0,68,13.4,3535,13.4
"31000","1","445","55","0","2021","A","",2,55,2032649,0,0,717,37296,"",1.46,0.78,0.81,0.00,0.00,1.04,1.05,"",0,0.0,-4,-6.8,-229517,-10.1,0,0.0,0,0.0,-19,-2.6,-992,-2.6
