"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"33000","0","10","50","0","2021","A","",58684,649187,46782688734,8051513154,143983168,1386,72063,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3399,6.1,24637,3.9,6256826402,15.4,497310070,6.6,70292068,95.4,138,11.1,7175,11.1
"33000","1","10","51","0","2021","A","",424,8175,698496439,0,0,1643,85443,"",1.29,0.63,0.56,0.00,0.00,0.90,0.90,"",2,0.5,-101,-1.2,25648515,3.8,0,0.0,0,0.0,79,5.1,4139,5.1
"33000","1","102","52","0","2021","A","",424,8175,698496439,0,0,1643,85443,"",1.29,0.64,0.57,0.00,0.00,0.90,0.90,"",2,0.5,-101,-1.2,25648515,3.8,0,0.0,0,0.0,79,5.1,4139,5.1
"33000","1","1021","53","0","2021","A","",236,3360,216351526,0,0,1238,64387,"",1.45,1.11,1.00,0.00,0.00,0.91,0.91,"",2,0.9,35,1.1,7267971,3.5,0,0.0,0,0.0,29,2.4,1502,2.4
"33000","1","1022","53","0","2021","A","",2,13,1684788,0,0,2541,132140,"",2.75,0.44,0.62,0.00,0.00,1.44,1.44,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","1023","53","0","2021","A","",8,53,6316634,0,0,2296,119369,"",1.94,0.95,0.84,0.00,0.00,0.88,0.88,"",0,0.0,-1,-1.9,-106181,-1.7,0,0.0,0,0.0,-13,-0.6,-684,-0.6
"33000","1","1024","53","0","2021","A","",8,251,22489917,0,0,1725,89720,"",1.02,0.80,0.72,0.00,0.00,0.90,0.90,"",0,0.0,-2,-0.8,591082,2.7,0,0.0,0,0.0,63,3.8,3277,3.8
"33000","1","1025","53","0","2021","A","",6,972,89206131,0,0,1765,91760,"",0.80,0.50,0.48,0.00,0.00,0.97,0.97,"",0,0.0,-10,-1.0,-505430,-0.6,0,0.0,0,0.0,8,0.5,404,0.4
"33000","1","1026","53","0","2021","A","",2,14,911878,0,0,1223,63619,"",0.25,0.07,0.08,0.00,0.00,1.10,1.10,"",0,0.0,1,7.7,1588,0.2,0,0.0,0,0.0,-124,-9.2,-6403,-9.1
"33000","1","1028","53","0","2021","A","",162,3512,361535565,0,0,1980,102943,"",1.19,0.49,0.48,0.00,0.00,0.97,0.97,"",0,0.0,-124,-3.4,18529389,5.4,0,0.0,0,0.0,166,9.2,8605,9.1
"33000","1","44-45","54","0","2021","A","",1,17,830607,0,0,958,49836,"",0.27,0.09,0.12,0.00,0.00,1.37,1.37,"",0,0.0,-3,-15.0,-98875,-10.6,0,0.0,0,0.0,64,7.2,3362,7.2
"33000","1","445","55","0","2021","A","",1,17,830607,0,0,958,49836,"",0.93,0.36,0.37,0.00,0.00,1.04,1.04,"",0,0.0,-3,-15.0,-98875,-10.6,0,0.0,0,0.0,64,7.2,3362,7.2
"33000","1","4451","56","0","2021","A","",1,17,830607,0,0,958,49836,"",0.93,0.36,0.37,0.00,0.00,1.04,1.04,"",0,0.0,-3,-15.0,-98875,-10.6,0,0.0,0,0.0,64,7.2,3362,7.2
"33000","1","44511","57","0","2021","A","",1,17,830607,0,0,958,49836,"",1.07,0.38,0.38,0.00,0.00,1.02,1.02,"",0,0.0,-3,-15.0,-98875,-10.6,0,0.0,0,0.0,64,7.2,3362,7.2
"33000","1","445110","58","0","2021","A","",1,17,830607,0,0,958,49836,"",1.07,0.38,0.38,0.00,0.00,1.02,1.02,"",0,0.0,-3,-15.0,-98875,-10.6,0,0.0,0,0.0,64,7.2,3362,7.2
"33000","1","48-49","54","0","2021","A","",235,3344,215520919,0,0,1240,64460,"",1.48,1.20,1.07,0.00,0.00,0.90,0.90,"",2,0.9,39,1.2,7366846,3.5,0,0.0,0,0.0,29,2.4,1475,2.3
"33000","1","491","55","0","2021","A","",235,3344,215520919,0,0,1240,64460,"",1.49,1.22,1.12,0.00,0.00,0.91,0.91,"",2,0.9,39,1.2,7366846,3.5,0,0.0,0,0.0,29,2.4,1475,2.3
"33000","1","4911","56","0","2021","A","",235,3344,215520919,0,0,1240,64460,"",1.49,1.22,1.12,0.00,0.00,0.91,0.91,"",2,0.9,39,1.2,7366846,3.5,0,0.0,0,0.0,29,2.4,1475,2.3
"33000","1","49111","57","0","2021","A","",235,3344,215520919,0,0,1240,64460,"",1.49,1.22,1.12,0.00,0.00,0.91,0.91,"",2,0.9,39,1.2,7366846,3.5,0,0.0,0,0.0,29,2.4,1475,2.3
"33000","1","491110","58","0","2021","A","",235,3344,215520919,0,0,1240,64460,"",1.49,1.22,1.12,0.00,0.00,0.91,0.91,"",2,0.9,39,1.2,7366846,3.5,0,0.0,0,0.0,29,2.4,1475,2.3
"33000","1","51","54","0","2021","A","",2,13,1684788,0,0,2541,132140,"",2.75,0.44,0.62,0.00,0.00,1.44,1.44,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","519","55","0","2021","A","",2,13,1684788,0,0,2541,132140,"",3.12,0.57,0.75,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","5191","56","0","2021","A","",2,13,1684788,0,0,2541,132140,"",3.12,0.57,0.75,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","51913","57","0","2021","A","",2,13,1684788,0,0,2541,132140,"",185.90,221.48,207.79,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","519130","58","0","2021","A","",2,13,1684788,0,0,2541,132140,"",185.90,221.48,207.79,0.00,0.00,0.94,0.94,"",0,0.0,0,0.0,-129904,-7.2,0,0.0,0,0.0,-109,-4.1,-5685,-4.1
"33000","1","52","54","0","2021","A","",8,53,6316634,0,0,2296,119369,"",1.96,0.95,0.84,0.00,0.00,0.88,0.88,"",0,0.0,-1,-1.9,-106181,-1.7,0,0.0,0,0.0,-13,-0.6,-684,-0.6
"33000","1","522","55","0","2021","A","",7,20,1819333,0,0,1757,91347,"",2.08,0.75,0.64,0.00,0.00,0.85,0.85,"",0,0.0,-1,-4.8,-119719,-6.2,0,0.0,0,0.0,-55,-3.0,-2858,-3.0
"33000","1","5222","56","0","2021","A","",7,20,1819333,0,0,1757,91347,"",2.08,0.75,0.64,0.00,0.00,0.85,0.85,"",0,0.0,-1,-4.8,-119719,-6.2,0,0.0,0,0.0,-55,-3.0,-2858,-3.0
"33000","1","52229","57","0","2021","A","",7,20,1819333,0,0,1757,91347,"",2.08,0.75,0.64,0.00,0.00,0.85,0.85,"",0,0.0,-1,-4.8,-119719,-6.2,0,0.0,0,0.0,-55,-3.0,-2858,-3.0
"33000","1","522292","58","0","2021","A","",1,3,268960,0,0,2069,107584,"",0.65,0.23,0.24,0.00,0.00,1.23,1.23,"",0,0.0,1,50.0,46567,20.9,0,0.0,0,0.0,-264,-11.3,-13721,-11.3
"33000","1","522294","58","0","2021","A","",3,15,1220116,0,0,1591,82720,"",13.28,9.71,9.15,0.00,0.00,0.96,0.96,"",0,0.0,-2,-11.8,-162880,-11.8,0,0.0,0,0.0,-5,-0.3,-260,-0.3
"33000","1","522298","58","0","2021","A","",3,3,330257,0,0,2382,123846,"",1.97,0.29,0.24,0.00,0.00,0.96,0.96,"",0,0.0,1,50.0,-3406,-1.0,0,0.0,0,0.0,-698,-22.7,-36312,-22.7
"33000","1","524","55","0","2021","A","",1,33,4497301,0,0,2621,136282,"",1.44,1.14,0.96,0.00,0.00,0.84,0.84,"",0,0.0,0,0.0,13538,0.3,0,0.0,0,0.0,1,0.0,66,0.0
"33000","1","5241","56","0","2021","A","",1,33,4497301,0,0,2621,136282,"",1.82,1.20,0.99,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,13538,0.3,0,0.0,0,0.0,1,0.0,66,0.0
"33000","1","52412","57","0","2021","A","",1,33,4497301,0,0,2621,136282,"",1.82,1.20,0.99,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,13538,0.3,0,0.0,0,0.0,1,0.0,66,0.0
"33000","1","524128","58","0","2021","A","",1,33,4497301,0,0,2621,136282,"",1.86,1.20,1.00,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,13538,0.3,0,0.0,0,0.0,1,0.0,66,0.0
"33000","1","54","54","0","2021","A","",8,251,22489917,0,0,1725,89720,"",1.14,0.82,0.72,0.00,0.00,0.88,0.88,"",0,0.0,-2,-0.8,591082,2.7,0,0.0,0,0.0,63,3.8,3277,3.8
"33000","1","541","55","0","2021","A","",8,251,22489917,0,0,1725,89720,"",1.14,0.82,0.72,0.00,0.00,0.88,0.88,"",0,0.0,-2,-0.8,591082,2.7,0,0.0,0,0.0,63,3.8,3277,3.8
"33000","1","5413","56","0","2021","A","",6,247,22003573,0,0,1710,88933,"",1.41,1.01,0.93,0.00,0.00,0.91,0.91,"",0,0.0,-4,-1.6,460094,2.1,0,0.0,0,0.0,59,3.6,3074,3.6
"33000","1","54133","57","0","2021","A","",6,247,22003573,0,0,1710,88933,"",1.42,1.06,0.97,0.00,0.00,0.91,0.91,"",0,0.0,-4,-1.6,460094,2.1,0,0.0,0,0.0,59,3.6,3074,3.6
"33000","1","541330","58","0","2021","A","",6,247,22003573,0,0,1710,88933,"",1.42,1.06,0.97,0.00,0.00,0.91,0.91,"",0,0.0,-4,-1.6,460094,2.1,0,0.0,0,0.0,59,3.6,3074,3.6
"33000","1","5417","56","0","2021","A","",2,3,486344,0,0,2878,149644,"",3.65,0.09,0.12,0.00,0.00,1.16,1.16,"",0,0.0,1,50.0,130988,36.9,0,0.0,0,0.0,50,1.8,2600,1.8
"33000","1","54171","57","0","2021","A","",2,3,486344,0,0,2878,149644,"",3.68,0.09,0.12,0.00,0.00,1.16,1.16,"",0,0.0,1,50.0,130988,36.9,0,0.0,0,0.0,50,1.8,2600,1.8
