"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34000","0","10","50","0","2021","A","",296815,3926845,299773843037,106174543864,1826571316,1468,76340,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13584,4.8,175490,4.7,22269415021,8.0,10669708336,11.2,270074143,17.4,45,3.2,2366,3.2
"34000","1","10","51","0","2021","A","",1134,48932,4339686393,0,0,1706,88689,"",0.68,0.62,0.55,0.00,0.00,0.88,0.88,"",18,1.6,-1647,-3.3,74536223,1.7,0,0.0,0,0.0,84,5.2,4362,5.2
"34000","1","102","52","0","2021","A","",1134,48932,4339686393,0,0,1706,88689,"",0.68,0.63,0.56,0.00,0.00,0.88,0.88,"",18,1.6,-1647,-3.3,74536223,1.7,0,0.0,0,0.0,84,5.2,4362,5.2
"34000","1","1021","53","0","2021","A","",676,20924,1421640148,0,0,1307,67944,"",0.82,1.14,1.03,0.00,0.00,0.90,0.90,"",24,3.7,-4,0.0,25710061,1.8,0,0.0,0,0.0,24,1.9,1241,1.9
"34000","1","1022","53","0","2021","A","",2,15,675326,0,0,891,46308,"",0.54,0.08,0.04,0.00,0.00,0.48,0.48,"",0,0.0,1,7.1,36828,5.8,0,0.0,0,0.0,39,4.6,2019,4.6
"34000","1","1023","53","0","2021","A","",6,72,10049563,0,0,2694,140064,"",0.29,0.21,0.21,0.00,0.00,0.98,0.98,"",0,0.0,2,2.9,219485,2.2,0,0.0,0,0.0,-13,-0.5,-701,-0.5
"34000","1","1024","53","0","2021","A","",31,420,41985023,0,0,1920,99865,"",0.78,0.22,0.21,0.00,0.00,0.94,0.94,"",-1,-3.1,-16,-3.7,-346156,-0.8,0,0.0,0,0.0,54,2.9,2831,2.9
"34000","1","1025","53","0","2021","A","",28,4019,389513513,0,0,1864,96928,"",0.74,0.34,0.33,0.00,0.00,0.96,0.96,"",0,0.0,26,0.7,11129960,2.9,0,0.0,0,0.0,42,2.3,2162,2.3
"34000","1","1026","53","0","2021","A","",29,500,19357215,0,0,745,38721,"",0.70,0.41,0.26,0.00,0.00,0.63,0.63,"",-5,-14.7,-35,-6.5,-492926,-2.5,0,0.0,0,0.0,31,4.3,1618,4.4
"34000","1","1028","53","0","2021","A","",361,22983,2456465605,0,0,2055,106884,"",0.52,0.53,0.50,0.00,0.00,0.95,0.95,"",-2,-0.6,-1620,-6.6,38278971,1.6,0,0.0,0,0.0,165,8.7,8596,8.7
"34000","1","44-45","54","0","2021","A","",17,333,9055568,0,0,524,27228,"",0.92,0.29,0.20,0.00,0.00,0.71,0.71,"",0,0.0,-17,-4.9,-771427,-7.9,0,0.0,0,0.0,-15,-2.8,-822,-2.9
