"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35000","0","10","50","0","2022","A","",67746,832863,46025577845,17733254856,129296037,1063,55262,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3080,4.8,36172,4.5,4181586627,10.0,2013640354,12.8,10254417,8.6,53,5.2,2740,5.2
"35000","1","10","51","0","2022","A","",831,29307,2562403208,0,0,1681,87433,"",2.32,1.84,2.20,0.00,0.00,1.19,1.19,"",-4,-0.5,-276,-0.9,81360032,3.3,0,0.0,0,0.0,68,4.2,3565,4.3
"35000","1","101","52","0","2022","A","",1,0,18321,0,0,1409,73284,"",1.24,0.00,0.00,0.00,0.00,1.01,1.01,"",1,100.0,0,0.0,-5281,-22.4,0,0.0,0,0.0,-407,-22.4,-21124,-22.4
"35000","1","1013","53","0","2022","A","",1,0,18321,0,0,1409,73284,"",2.74,0.00,0.00,0.00,0.00,1.00,1.00,"",1,100.0,0,0.0,-5281,-22.4,0,0.0,0,0.0,-407,-22.4,-21124,-22.4
"35000","1","102","52","0","2022","A","",830,29307,2562384887,0,0,1681,87433,"",2.32,1.88,2.24,0.00,0.00,1.19,1.19,"",-5,-0.6,-275,-0.9,81365313,3.3,0,0.0,0,0.0,68,4.2,3565,4.3
"35000","1","1021","53","0","2022","A","",323,4092,273703548,0,0,1286,66896,"",1.81,1.10,1.35,0.00,0.00,1.22,1.22,"",0,0.0,-1,0.0,5440241,2.0,0,0.0,0,0.0,26,2.1,1355,2.1
"35000","1","1022","53","0","2022","A","",5,19,555199,0,0,564,29350,"",5.86,0.53,0.22,0.00,0.00,0.42,0.42,"",1,25.0,3,18.8,82917,17.6,0,0.0,0,0.0,-4,-0.7,-168,-0.6
"35000","1","1023","53","0","2022","A","",8,61,5705252,0,0,1804,93785,"",1.72,0.88,0.80,0.00,0.00,0.91,0.91,"",0,0.0,5,8.9,646126,12.8,0,0.0,0,0.0,69,4.0,3578,4.0
"35000","1","1024","53","0","2022","A","",22,353,29180849,0,0,1591,82724,"",2.60,0.92,1.01,0.00,0.00,1.10,1.10,"",-2,-8.3,-58,-14.1,-6914844,-19.2,0,0.0,0,0.0,-97,-5.7,-5029,-5.7
"35000","1","1025","53","0","2022","A","",38,6788,593340106,0,0,1681,87416,"",4.57,2.87,3.38,0.00,0.00,1.18,1.18,"",1,2.7,2,0.0,7267671,1.2,0,0.0,0,0.0,20,1.2,1055,1.2
