"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"32000","0","10","50","0","2024","A","",107931,1551426,104088954588,49784352582,848293467,1290,67092,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-805,-0.7,28814,1.9,6957139258,7.2,1281968993,2.6,4910799,0.6,63,5.1,3299,5.2
"32000","1","10","51","0","2024","A","",380,22624,2125872476,0,0,1807,93967,"",0.69,0.75,0.78,0.00,0.00,1.04,1.04,"",7,1.9,671,3.1,188052212,9.7,0,0.0,0,0.0,109,6.4,5694,6.5
"32000","1","101","52","0","2024","A","",2,3,323200,0,0,1819,94595,"",1.38,0.01,0.01,0.00,0.00,1.05,1.05,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","1013","53","0","2024","A","",2,3,323200,0,0,1819,94595,"",2.69,0.01,0.01,0.00,0.00,1.04,1.04,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","102","52","0","2024","A","",378,22620,2125549276,0,0,1807,93967,"",0.69,0.77,0.80,0.00,0.00,1.04,1.04,"",6,1.6,668,3.0,187828708,9.7,0,0.0,0,0.0,109,6.4,5695,6.5
"32000","1","1021","53","0","2024","A","",134,5384,366420946,0,0,1309,68059,"",0.49,0.80,0.86,0.00,0.00,1.07,1.07,"",5,3.9,96,1.8,18702705,5.4,0,0.0,0,0.0,44,3.5,2305,3.5
"32000","1","1022","53","0","2024","A","",1,1,14078,0,0,271,14078,"",0.74,0.01,0.00,0.00,0.00,0.16,0.16,"",0,0.0,0,0.0,149,1.1,0,0.0,0,0.0,3,1.1,149,1.1
"32000","1","1023","53","0","2024","A","",6,43,4491500,0,0,2024,105270,"",0.81,0.33,0.25,0.00,0.00,0.79,0.79,"",1,20.0,7,19.4,968446,27.5,0,0.0,0,0.0,164,8.8,8527,8.8
"32000","1","1024","53","0","2024","A","",11,519,39213334,0,0,1454,75616,"",0.80,0.71,0.60,0.00,0.00,0.84,0.84,"",0,0.0,-11,-2.1,1262113,3.3,0,0.0,0,0.0,78,5.7,4055,5.7
"32000","1","1025","53","0","2024","A","",13,5954,660611692,0,0,2134,110946,"",0.99,1.30,1.53,0.00,0.00,1.18,1.18,"",-1,-7.1,103,1.8,45572430,7.4,0,0.0,0,0.0,112,5.5,5823,5.5
"32000","1","1026","53","0","2024","A","",13,418,27924069,0,0,1285,66844,"",1.02,0.86,1.02,0.00,0.00,1.20,1.19,"",0,0.0,19,4.8,2884740,11.5,0,0.0,0,0.0,78,6.5,4076,6.5
"32000","1","1027","53","0","2024","A","",3,3,103134,0,0,643,33449,"",2.02,0.06,0.03,0.00,0.00,0.54,0.54,"",0,0.0,0,0.0,5374,5.5,0,0.0,0,0.0,16,2.6,862,2.6
"32000","1","1028","53","0","2024","A","",197,10299,1026770523,0,0,1917,99696,"",0.89,0.61,0.61,0.00,0.00,0.99,0.99,"",1,0.5,456,4.6,118432751,13.0,0,0.0,0,0.0,142,8.0,7416,8.0
"32000","1","31-33","54","0","2024","A","",2,3,323200,0,0,1819,94595,"",2.69,0.01,0.01,0.00,0.00,1.04,1.04,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","323","55","0","2024","A","",2,3,323200,0,0,1819,94595,"",4.75,0.11,0.10,0.00,0.00,0.83,0.83,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","3231","56","0","2024","A","",2,3,323200,0,0,1819,94595,"",4.75,0.11,0.10,0.00,0.00,0.83,0.83,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","32311","57","0","2024","A","",2,3,323200,0,0,1819,94595,"",4.75,0.11,0.10,0.00,0.00,0.83,0.83,"",1,100.0,2,200.0,223504,224.2,0,0.0,0,0.0,-737,-28.8,-38333,-28.8
"32000","1","323111","58","0","2024","A","",1,2,223151,0,0,1776,92338,"",5.08,0.17,0.16,0.00,0.00,0.77,0.77,"",0,0.0,2,100.0,171840,334.9,0,0.0,0,0.0,-1184,-40.0,-61595,-40.0
"32000","1","323117","58","0","2024","A","",1,1,100049,0,0,1924,100049,"",4.47,0.06,0.06,0.00,0.00,0.92,0.92,"",0,0.0,1,100.0,51664,106.8,0,0.0,0,0.0,-309,-13.8,-16075,-13.8
"32000","1","44-45","54","0","2024","A","",5,545,20445238,0,0,722,37520,"",0.78,1.36,1.46,0.00,0.00,1.07,1.07,"",0,0.0,5,0.9,1291923,6.7,0,0.0,0,0.0,40,5.9,2067,5.8
