"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"36000","0","10","50","0","2023","A","",697833,9471806,865991946299,104630117208,3101218148,1758,91428,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11958,1.7,207195,2.2,36323687723,4.4,1634192540,1.6,90935409,3.0,36,2.1,1876,2.1
"36000","1","10","51","0","2023","A","",2778,114547,10586429974,0,0,1777,92420,"",0.77,0.63,0.47,0.00,0.00,0.75,0.75,"",4,0.1,1146,1.0,586560792,5.9,0,0.0,0,0.0,81,4.8,4239,4.8
"36000","1","101","52","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.11,0.00,0.00,0.00,0.00,0.74,0.74,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","1013","53","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.23,0.00,0.00,0.00,0.00,0.73,0.73,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","102","52","0","2023","A","",2777,114544,10586156099,0,0,1777,92420,"",0.77,0.64,0.48,0.00,0.00,0.75,0.75,"",4,0.1,1144,1.0,586440154,5.9,0,0.0,0,0.0,81,4.8,4239,4.8
"36000","1","1021","53","0","2023","A","",1823,43894,3229391610,0,0,1415,73573,"",1.01,1.06,0.87,0.00,0.00,0.82,0.82,"",-8,-0.4,-232,-0.5,58295393,1.8,0,0.0,0,0.0,33,2.4,1708,2.4
"36000","1","1022","53","0","2023","A","",4,36,3287163,0,0,1760,91522,"",0.46,0.09,0.07,0.00,0.00,0.77,0.77,"",0,0.0,-1,-2.7,181714,5.9,0,0.0,0,0.0,131,8.0,6828,8.1
"36000","1","1023","53","0","2023","A","",29,406,66717818,0,0,3159,164262,"",0.60,0.52,0.47,0.00,0.00,0.92,0.92,"",1,3.6,2,0.5,5614179,9.2,0,0.0,0,0.0,252,8.7,13078,8.7
"36000","1","1024","53","0","2023","A","",38,1081,123338726,0,0,2194,114106,"",0.45,0.25,0.22,0.00,0.00,0.88,0.88,"",1,2.7,45,4.3,14891996,13.7,0,0.0,0,0.0,182,9.0,9461,9.0
"36000","1","1025","53","0","2023","A","",46,20511,2089032665,0,0,1959,101848,"",0.55,0.75,0.60,0.00,0.00,0.80,0.80,"",0,0.0,643,3.2,192887725,10.2,0,0.0,0,0.0,124,6.8,6412,6.7
"36000","1","1026","53","0","2023","A","",38,1348,98088427,0,0,1399,72766,"",0.45,0.46,0.44,0.00,0.00,0.96,0.96,"",1,2.7,35,2.7,7991090,8.9,0,0.0,0,0.0,80,6.1,4160,6.1
"36000","1","1027","53","0","2023","A","",5,167,11079237,0,0,1273,66178,"",0.52,0.55,0.44,0.00,0.00,0.80,0.80,"",0,0.0,7,4.4,907646,8.9,0,0.0,0,0.0,47,3.8,2440,3.8
"36000","1","1028","53","0","2023","A","",795,47101,4965220453,0,0,2027,105417,"",0.54,0.47,0.36,0.00,0.00,0.77,0.77,"",8,1.0,645,1.4,305670411,6.6,0,0.0,0,0.0,98,5.1,5116,5.1
"36000","1","31-33","54","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.23,0.00,0.00,0.00,0.00,0.73,0.73,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","323","55","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.46,0.02,0.01,0.00,0.00,0.59,0.59,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","3231","56","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.46,0.02,0.01,0.00,0.00,0.59,0.59,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","32311","57","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.46,0.02,0.01,0.00,0.00,0.59,0.59,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","323117","58","0","2023","A","",1,3,273875,0,0,1756,91292,"",0.71,0.03,0.02,0.00,0.00,0.61,0.61,"",0,0.0,1,50.0,120638,78.7,0,0.0,0,0.0,-209,-10.6,-10866,-10.6
"36000","1","44-45","54","0","2023","A","",18,794,22979135,0,0,556,28932,"",0.43,0.32,0.19,0.00,0.00,0.59,0.60,"",2,12.5,3,0.4,1315621,6.1,0,0.0,0,0.0,29,5.5,1539,5.6
"36000","1","445","55","0","2023","A","",5,158,7270036,0,0,886,46086,"",0.42,0.25,0.19,0.00,0.00,0.73,0.73,"",0,0.0,1,0.6,91385,1.3,0,0.0,0,0.0,5,0.6,265,0.6
"36000","1","4451","56","0","2023","A","",5,158,7270036,0,0,886,46086,"",0.42,0.25,0.19,0.00,0.00,0.73,0.73,"",0,0.0,1,0.6,91385,1.3,0,0.0,0,0.0,5,0.6,265,0.6
"36000","1","44511","57","0","2023","A","",5,158,7270036,0,0,886,46086,"",0.48,0.27,0.19,0.00,0.00,0.72,0.72,"",0,0.0,1,0.6,91385,1.3,0,0.0,0,0.0,5,0.6,265,0.6
"36000","1","445110","58","0","2023","A","",5,158,7270036,0,0,886,46086,"",0.48,0.27,0.19,0.00,0.00,0.72,0.72,"",0,0.0,1,0.6,91385,1.3,0,0.0,0,0.0,5,0.6,265,0.6
"36000","1","455","55","0","2023","A","",9,624,15449344,0,0,476,24755,"",0.54,0.39,0.21,0.00,0.00,0.54,0.54,"",1,12.5,4,0.6,1283953,9.1,0,0.0,0,0.0,36,8.2,1892,8.3
"36000","1","4551","56","0","2023","A","",7,45,1483594,0,0,639,33215,"",0.57,0.04,0.03,0.00,0.00,0.72,0.72,"",1,16.7,0,0.0,64465,4.5,0,0.0,0,0.0,38,6.3,1968,6.3
"36000","1","45511","57","0","2023","A","",7,45,1483594,0,0,639,33215,"",0.57,0.04,0.03,0.00,0.00,0.72,0.72,"",1,16.7,0,0.0,64465,4.5,0,0.0,0,0.0,38,6.3,1968,6.3
"36000","1","455110","58","0","2023","A","",7,45,1483594,0,0,639,33215,"",0.57,0.04,0.03,0.00,0.00,0.72,0.72,"",1,16.7,0,0.0,64465,4.5,0,0.0,0,0.0,38,6.3,1968,6.3
"36000","1","4552","56","0","2023","A","",2,579,13965750,0,0,464,24103,"",0.46,1.08,0.57,0.00,0.00,0.53,0.53,"",0,0.0,5,0.9,1219488,9.6,0,0.0,0,0.0,37,8.7,1903,8.6
"36000","1","45521","57","0","2023","A","",2,579,13965750,0,0,464,24103,"",0.46,1.08,0.57,0.00,0.00,0.53,0.53,"",0,0.0,5,0.9,1219488,9.6,0,0.0,0,0.0,37,8.7,1903,8.6
"36000","1","455219","58","0","2023","A","",2,579,13965750,0,0,464,24103,"",0.77,2.62,2.41,0.00,0.00,0.92,0.92,"",0,0.0,5,0.9,1219488,9.6,0,0.0,0,0.0,37,8.7,1903,8.6
"36000","1","459","55","0","2023","A","",4,12,259755,0,0,402,20920,"",1.02,0.17,0.17,0.00,0.00,0.99,1.00,"",1,33.3,-3,-20.0,-59717,-18.7,0,0.0,0,0.0,-19,-4.5,-987,-4.5
"36000","1","4591","56","0","2023","A","",3,11,238587,0,0,411,21366,"",1.06,1.13,0.68,0.00,0.00,0.59,0.59,"",1,50.0,-2,-15.4,-28418,-10.6,0,0.0,0,0.0,16,4.1,827,4.0
"36000","1","45911","57","0","2023","A","",3,11,238587,0,0,411,21366,"",1.11,1.15,0.69,0.00,0.00,0.59,0.59,"",1,50.0,-2,-15.4,-28418,-10.6,0,0.0,0,0.0,16,4.1,827,4.0
"36000","1","459110","58","0","2023","A","",3,11,238587,0,0,411,21366,"",1.11,1.15,0.69,0.00,0.00,0.59,0.59,"",1,50.0,-2,-15.4,-28418,-10.6,0,0.0,0,0.0,16,4.1,827,4.0
"36000","1","4599","56","0","2023","A","",1,1,21168,0,0,326,16934,"",1.06,0.02,0.02,0.00,0.00,0.92,0.92,"",0,0.0,-1,-50.0,-31299,-59.7,0,0.0,0,0.0,-311,-48.8,-16203,-48.9
"36000","1","45999","57","0","2023","A","",1,1,21168,0,0,326,16934,"",1.06,0.02,0.02,0.00,0.00,0.92,0.92,"",0,0.0,-1,-50.0,-31299,-59.7,0,0.0,0,0.0,-311,-48.8,-16203,-48.9
"36000","1","459999","58","0","2023","A","",1,1,21168,0,0,326,16934,"",1.06,0.02,0.02,0.00,0.00,0.92,0.92,"",0,0.0,-1,-50.0,-31299,-59.7,0,0.0,0,0.0,-311,-48.8,-16203,-48.9
"36000","1","48-49","54","0","2023","A","",1806,43100,3206412475,0,0,1431,74395,"",1.04,1.13,0.93,0.00,0.00,0.83,0.82,"",-9,-0.5,-235,-0.5,56979772,1.8,0,0.0,0,0.0,33,2.4,1718,2.4
"36000","1","483","55","0","2023","A","",1,118,10420604,0,0,1695,88124,"",17.00,16.17,12.80,0.00,0.00,0.79,0.79,"",0,0.0,7,6.3,989382,10.5,0,0.0,0,0.0,62,3.8,3222,3.8
"36000","1","4831","56","0","2023","A","",1,118,10420604,0,0,1695,88124,"",17.00,16.17,12.80,0.00,0.00,0.79,0.79,"",0,0.0,7,6.3,989382,10.5,0,0.0,0,0.0,62,3.8,3222,3.8
"36000","1","48311","57","0","2023","A","",1,118,10420604,0,0,1695,88124,"",17.00,16.17,12.80,0.00,0.00,0.79,0.79,"",0,0.0,7,6.3,989382,10.5,0,0.0,0,0.0,62,3.8,3222,3.8
"36000","1","483113","58","0","2023","A","",1,118,10420604,0,0,1695,88124,"",17.00,16.17,12.80,0.00,0.00,0.79,0.79,"",0,0.0,7,6.3,989382,10.5,0,0.0,0,0.0,62,3.8,3222,3.8
"36000","1","488","55","0","2023","A","",7,1538,265885039,0,0,3326,172933,"",0.92,2.00,1.80,0.00,0.00,0.90,0.90,"",-1,-12.5,201,15.0,36716527,16.0,0,0.0,0,0.0,30,0.9,1528,0.9
"36000","1","4881","56","0","2023","A","",7,1538,265885039,0,0,3326,172933,"",0.92,2.00,1.80,0.00,0.00,0.90,0.90,"",-1,-12.5,201,15.0,36716527,16.0,0,0.0,0,0.0,30,0.9,1528,0.9
"36000","1","48811","57","0","2023","A","",7,1538,265885039,0,0,3326,172933,"",0.92,2.00,1.80,0.00,0.00,0.90,0.90,"",-1,-12.5,201,15.0,36716527,16.0,0,0.0,0,0.0,30,0.9,1528,0.9
"36000","1","488111","58","0","2023","A","",7,1538,265885039,0,0,3326,172933,"",0.93,2.01,1.80,0.00,0.00,0.90,0.90,"",-1,-12.5,201,15.0,36716527,16.0,0,0.0,0,0.0,30,0.9,1528,0.9
