"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39000","0","10","50","0","2017","A","",296022,5364626,263689018977,44182970990,1262197539,945,49153,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2948,1.0,44947,0.8,9939698273,3.9,846497041,2.0,222360245,21.4,28,3.1,1453,3.0
"39000","1","10","51","0","2017","A","",1812,78329,5934136425,0,0,1457,75759,"",1.01,0.75,0.80,0.00,0.00,1.06,1.06,"",-4,-0.2,833,1.1,170735188,3.0,0,0.0,0,0.0,27,1.9,1388,1.9
"39000","1","101","52","0","2017","A","",1,10,856882,0,0,1735,90198,"",0.28,0.01,0.01,0.00,0.00,1.24,1.24,"",0,0.0,1,11.1,88663,11.5,0,0.0,0,0.0,63,3.8,3230,3.7
"39000","1","1013","53","0","2017","A","",1,10,856882,0,0,1735,90198,"",0.72,0.01,0.01,0.00,0.00,1.22,1.22,"",0,0.0,1,11.1,88663,11.5,0,0.0,0,0.0,63,3.8,3230,3.7
"39000","1","102","52","0","2017","A","",1811,78319,5933279543,0,0,1457,75758,"",1.01,0.76,0.81,0.00,0.00,1.06,1.06,"",-4,-0.2,832,1.1,170646525,3.0,0,0.0,0,0.0,27,1.9,1389,1.9
"39000","1","1021","53","0","2017","A","",1055,23334,1353429180,0,0,1115,58003,"",1.17,0.91,1.00,0.00,0.00,1.09,1.09,"",-2,-0.2,280,1.2,5219996,0.4,0,0.0,0,0.0,-10,-0.9,-479,-0.8
"39000","1","1023","53","0","2017","A","",13,164,12948544,0,0,1523,79196,"",0.54,0.34,0.27,0.00,0.00,0.79,0.79,"",1,8.3,-3,-1.8,-102310,-0.8,0,0.0,0,0.0,18,1.2,930,1.2
"39000","1","1024","53","0","2017","A","",37,423,32733574,0,0,1487,77308,"",0.84,0.17,0.17,0.00,0.00,0.98,0.98,"",-1,-2.6,-11,-2.5,567143,1.8,0,0.0,0,0.0,60,4.2,3106,4.2
"39000","1","1025","53","0","2017","A","",38,12829,994649035,0,0,1491,77529,"",0.92,0.84,0.93,0.00,0.00,1.11,1.11,"",2,5.6,431,3.5,61927585,6.6,0,0.0,0,0.0,44,3.0,2294,3.0
"39000","1","1026","53","0","2017","A","",27,491,18527309,0,0,726,37740,"",0.58,0.27,0.24,0.00,0.00,0.90,0.90,"",0,0.0,-18,-3.5,236229,1.3,0,0.0,0,0.0,35,5.1,1816,5.1
"39000","1","1027","53","0","2017","A","",3,34,1868786,0,0,1052,54696,"",0.59,0.20,0.23,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,154009,9.0,0,0.0,0,0.0,68,6.9,3509,6.9
"39000","1","1028","53","0","2017","A","",639,41044,3519123115,0,0,1649,85740,"",0.88,0.72,0.77,0.00,0.00,1.07,1.07,"",-4,-0.6,151,0.4,102643873,3.0,0,0.0,0,0.0,42,2.6,2193,2.6
"39000","1","31-33","54","0","2017","A","",1,10,856882,0,0,1735,90198,"",0.72,0.01,0.01,0.00,0.00,1.22,1.22,"",0,0.0,1,11.1,88663,11.5,0,0.0,0,0.0,63,3.8,3230,3.7
"39000","1","323","55","0","2017","A","",1,10,856882,0,0,1735,90198,"",1.95,0.09,0.09,0.00,0.00,0.99,0.98,"",0,0.0,1,11.1,88663,11.5,0,0.0,0,0.0,63,3.8,3230,3.7
