"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40000","0","10","50","0","2020","A","",112637,1549993,76826281733,25115995927,181144276,953,49566,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1029,0.9,-72065,-4.4,-1070610855,-1.4,-550331295,-2.1,-53897844,-22.9,29,3.1,1543,3.2
"40000","1","10","51","0","2020","A","",1222,51038,3712093730,0,0,1399,72731,"",1.86,1.56,1.72,0.00,0.00,1.10,1.10,"",-12,-1.0,1336,2.7,117741640,3.3,0,0.0,0,0.0,8,0.6,412,0.6
"40000","1","101","52","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",0.76,2.86,2.92,0.00,0.00,1.02,1.02,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","1013","53","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",1.98,3.07,3.10,0.00,0.00,1.01,1.01,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","102","52","0","2020","A","",1221,49296,3593181772,0,0,1402,72891,"",1.86,1.54,1.70,0.00,0.00,1.10,1.10,"",-12,-1.0,1378,2.9,119265001,3.4,0,0.0,0,0.0,8,0.6,393,0.5
"40000","1","1021","53","0","2020","A","",586,7627,409162279,0,0,1032,53649,"",1.80,1.02,1.09,0.00,0.00,1.07,1.07,"",-3,-0.5,-150,-1.9,5811431,1.4,0,0.0,0,0.0,35,3.5,1787,3.4
"40000","1","1022","53","0","2020","A","",4,20,579246,0,0,562,29206,"",2.91,0.27,0.12,0.00,0.00,0.45,0.45,"",0,0.0,1,5.3,153986,36.2,0,0.0,0,0.0,124,28.3,6424,28.2
"40000","1","1023","53","0","2020","A","",5,59,6547945,0,0,2125,110514,"",0.60,0.44,0.50,0.00,0.00,1.14,1.14,"",0,0.0,6,11.3,537973,9.0,0,0.0,0,0.0,-56,-2.6,-2882,-2.5
"40000","1","1024","53","0","2020","A","",48,1089,78458531,0,0,1385,72030,"",3.05,1.42,1.43,0.00,0.00,1.01,1.01,"",1,2.1,-23,-2.1,2347912,3.1,0,0.0,0,0.0,68,5.2,3560,5.2
"40000","1","1025","53","0","2020","A","",19,5538,457526473,0,0,1589,82622,"",1.28,1.17,1.44,0.00,0.00,1.23,1.23,"",1,5.6,118,2.2,35268687,8.4,0,0.0,0,0.0,91,6.1,4713,6.0
"40000","1","1026","53","0","2020","A","",36,272,8759455,0,0,619,32164,"",2.21,0.54,0.43,0.00,0.00,0.80,0.80,"",0,0.0,-26,-8.7,465628,5.6,0,0.0,0,0.0,84,15.7,4363,15.7
"40000","1","1027","53","0","2020","A","",3,15,783321,0,0,999,51933,"",1.68,0.30,0.35,0.00,0.00,1.15,1.15,"",1,50.0,-2,-11.8,-42193,-5.1,0,0.0,0,0.0,37,3.8,1902,3.8
"40000","1","1028","53","0","2020","A","",520,34676,2631364522,0,0,1459,75885,"",1.90,1.90,1.98,0.00,0.00,1.04,1.04,"",-12,-2.3,1454,4.4,74721577,2.9,0,0.0,0,0.0,-21,-1.4,-1071,-1.4
"40000","1","31-33","54","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",1.98,3.07,3.10,0.00,0.00,1.01,1.01,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","332","55","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",18.62,34.94,38.28,0.00,0.00,1.10,1.10,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","3329","56","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",23.28,37.67,43.33,0.00,0.00,1.15,1.15,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","33299","57","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",23.28,37.67,43.33,0.00,0.00,1.15,1.15,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","332993","58","0","2020","A","",1,1743,118911958,0,0,1312,68229,"",93.11,89.74,115.92,0.00,0.00,1.29,1.29,"",0,0.0,-41,-2.3,-1523361,-1.3,0,0.0,0,0.0,14,1.1,724,1.1
"40000","1","44-45","54","0","2020","A","",14,770,13819347,0,0,345,17947,"",1.95,1.58,1.07,0.00,0.00,0.68,0.68,"",0,0.0,-48,-5.9,-225307,-1.6,0,0.0,0,0.0,15,4.5,769,4.5
"40000","1","441","55","0","2020","A","",1,1,38374,0,0,681,35422,"",2.33,0.70,1.23,0.00,0.00,1.62,1.62,"",0,0.0,-2,-66.7,-43891,-53.4,0,0.0,0,0.0,181,36.2,9444,36.4
"40000","1","4413","56","0","2020","A","",1,1,38374,0,0,681,35422,"",2.33,0.70,1.23,0.00,0.00,1.62,1.62,"",0,0.0,-2,-66.7,-43891,-53.4,0,0.0,0,0.0,181,36.2,9444,36.4
"40000","1","44131","57","0","2020","A","",1,1,38374,0,0,681,35422,"",2.33,0.70,1.23,0.00,0.00,1.62,1.62,"",0,0.0,-2,-66.7,-43891,-53.4,0,0.0,0,0.0,181,36.2,9444,36.4
"40000","1","441310","58","0","2020","A","",1,1,38374,0,0,681,35422,"",2.33,0.70,1.23,0.00,0.00,1.62,1.62,"",0,0.0,-2,-66.7,-43891,-53.4,0,0.0,0,0.0,181,36.2,9444,36.4
"40000","1","442","55","0","2020","A","",2,7,181570,0,0,487,25335,"",3.39,2.78,3.42,0.00,0.00,1.20,1.20,"",0,0.0,-1,-12.5,19776,12.2,0,0.0,0,0.0,90,22.7,4680,22.7
"40000","1","4422","56","0","2020","A","",2,7,181570,0,0,487,25335,"",3.45,3.21,3.78,0.00,0.00,1.15,1.15,"",0,0.0,-1,-12.5,19776,12.2,0,0.0,0,0.0,90,22.7,4680,22.7
"40000","1","44229","57","0","2020","A","",2,7,181570,0,0,487,25335,"",3.45,3.21,3.78,0.00,0.00,1.15,1.15,"",0,0.0,-1,-12.5,19776,12.2,0,0.0,0,0.0,90,22.7,4680,22.7
"40000","1","442299","58","0","2020","A","",2,7,181570,0,0,487,25335,"",3.45,3.21,3.78,0.00,0.00,1.15,1.15,"",0,0.0,-1,-12.5,19776,12.2,0,0.0,0,0.0,90,22.7,4680,22.7
"40000","1","445","55","0","2020","A","",4,209,8129958,0,0,747,38868,"",1.87,1.69,1.88,0.00,0.00,1.12,1.12,"",0,0.0,5,2.5,490842,6.4,0,0.0,0,0.0,25,3.5,1329,3.5
"40000","1","4451","56","0","2020","A","",4,209,8129958,0,0,747,38868,"",1.88,1.69,1.88,0.00,0.00,1.12,1.12,"",0,0.0,5,2.5,490842,6.4,0,0.0,0,0.0,25,3.5,1329,3.5
"40000","1","44511","57","0","2020","A","",4,209,8129958,0,0,747,38868,"",2.15,1.79,1.96,0.00,0.00,1.10,1.10,"",0,0.0,5,2.5,490842,6.4,0,0.0,0,0.0,25,3.5,1329,3.5
"40000","1","445110","58","0","2020","A","",4,209,8129958,0,0,747,38868,"",2.15,1.79,1.96,0.00,0.00,1.10,1.10,"",0,0.0,5,2.5,490842,6.4,0,0.0,0,0.0,25,3.5,1329,3.5
"40000","1","451","55","0","2020","A","",2,1,16230,0,0,220,11456,"",5.32,1.08,0.98,0.00,0.00,0.64,0.64,"",0,0.0,-1,-50.0,-8500,-34.4,0,0.0,0,0.0,-97,-30.6,-5031,-30.5
"40000","1","4511","56","0","2020","A","",2,1,16230,0,0,220,11456,"",5.48,1.09,1.04,0.00,0.00,0.67,0.67,"",0,0.0,-1,-50.0,-8500,-34.4,0,0.0,0,0.0,-97,-30.6,-5031,-30.5
"40000","1","45111","57","0","2020","A","",2,1,16230,0,0,220,11456,"",5.82,1.15,1.10,0.00,0.00,0.68,0.68,"",0,0.0,-1,-50.0,-8500,-34.4,0,0.0,0,0.0,-97,-30.6,-5031,-30.5
"40000","1","451110","58","0","2020","A","",2,1,16230,0,0,220,11456,"",5.82,1.15,1.10,0.00,0.00,0.68,0.68,"",0,0.0,-1,-50.0,-8500,-34.4,0,0.0,0,0.0,-97,-30.6,-5031,-30.5
"40000","1","452","55","0","2020","A","",3,537,4996020,0,0,179,9308,"",1.00,1.65,0.62,0.00,0.00,0.38,0.38,"",0,0.0,-51,-8.7,-738081,-12.9,0,0.0,0,0.0,-9,-4.8,-447,-4.6
"40000","1","4523","56","0","2020","A","",3,537,4996020,0,0,179,9308,"",3.72,5.20,1.95,0.00,0.00,0.38,0.38,"",0,0.0,-51,-8.7,-738081,-12.9,0,0.0,0,0.0,-9,-4.8,-447,-4.6
"40000","1","45231","57","0","2020","A","",3,537,4996020,0,0,179,9308,"",3.72,5.20,1.95,0.00,0.00,0.38,0.38,"",0,0.0,-51,-8.7,-738081,-12.9,0,0.0,0,0.0,-9,-4.8,-447,-4.6
"40000","1","452319","58","0","2020","A","",3,537,4996020,0,0,179,9308,"",6.21,12.80,8.94,0.00,0.00,0.70,0.70,"",0,0.0,-51,-8.7,-738081,-12.9,0,0.0,0,0.0,-9,-4.8,-447,-4.6
"40000","1","453","55","0","2020","A","",2,14,457195,0,0,610,31713,"",8.46,11.63,17.70,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,54547,13.5,0,0.0,0,0.0,47,8.3,2430,8.3
"40000","1","4539","56","0","2020","A","",2,14,457195,0,0,610,31713,"",9.80,12.08,18.32,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,54547,13.5,0,0.0,0,0.0,47,8.3,2430,8.3
"40000","1","45399","57","0","2020","A","",2,14,457195,0,0,610,31713,"",9.80,12.08,18.32,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,54547,13.5,0,0.0,0,0.0,47,8.3,2430,8.3
"40000","1","453998","58","0","2020","A","",2,14,457195,0,0,610,31713,"",9.80,12.08,18.32,0.00,0.00,1.47,1.47,"",0,0.0,0,0.0,54547,13.5,0,0.0,0,0.0,47,8.3,2430,8.3
"40000","1","48-49","54","0","2020","A","",572,6857,395342932,0,0,1109,57658,"",1.81,1.00,1.13,0.00,0.00,1.13,1.13,"",-3,-0.5,-103,-1.5,6036738,1.6,0,0.0,0,0.0,33,3.1,1721,3.1
"40000","1","488","55","0","2020","A","",3,101,9985204,0,0,1904,99027,"",1.73,0.79,0.72,0.00,0.00,0.92,0.92,"",0,0.0,1,1.0,72021,0.7,0,0.0,0,0.0,-9,-0.5,-436,-0.4
"40000","1","4881","56","0","2020","A","",3,101,9985204,0,0,1904,99027,"",1.73,0.79,0.72,0.00,0.00,0.92,0.92,"",0,0.0,1,1.0,72021,0.7,0,0.0,0,0.0,-9,-0.5,-436,-0.4
"40000","1","48811","57","0","2020","A","",3,101,9985204,0,0,1904,99027,"",1.73,0.79,0.72,0.00,0.00,0.92,0.92,"",0,0.0,1,1.0,72021,0.7,0,0.0,0,0.0,-9,-0.5,-436,-0.4
"40000","1","488111","58","0","2020","A","",2,84,9561251,0,0,2187,113712,"",1.16,0.66,0.69,0.00,0.00,1.05,1.05,"",0,0.0,2,2.4,8667,0.1,0,0.0,0,0.0,-67,-3.0,-3498,-3.0
"40000","1","488119","58","0","2020","A","",1,17,423953,0,0,487,25311,"",93.11,89.74,115.92,0.00,0.00,1.29,1.29,"",0,0.0,-1,-5.6,63354,17.6,0,0.0,0,0.0,105,27.5,5462,27.5
"40000","1","491","55","0","2020","A","",569,6756,385357728,0,0,1097,57041,"",1.81,1.01,1.15,0.00,0.00,1.14,1.14,"",-3,-0.5,-104,-1.5,5964717,1.6,0,0.0,0,0.0,33,3.1,1737,3.1
"40000","1","4911","56","0","2020","A","",569,6756,385357728,0,0,1097,57041,"",1.81,1.01,1.15,0.00,0.00,1.14,1.14,"",-3,-0.5,-104,-1.5,5964717,1.6,0,0.0,0,0.0,33,3.1,1737,3.1
"40000","1","49111","57","0","2020","A","",569,6756,385357728,0,0,1097,57041,"",1.81,1.01,1.15,0.00,0.00,1.14,1.14,"",-3,-0.5,-104,-1.5,5964717,1.6,0,0.0,0,0.0,33,3.1,1737,3.1
"40000","1","491110","58","0","2020","A","",569,6756,385357728,0,0,1097,57041,"",1.81,1.01,1.15,0.00,0.00,1.14,1.14,"",-3,-0.5,-104,-1.5,5964717,1.6,0,0.0,0,0.0,33,3.1,1737,3.1
"40000","1","51","54","0","2020","A","",4,20,579246,0,0,562,29206,"",2.91,0.27,0.12,0.00,0.00,0.45,0.45,"",0,0.0,1,5.3,153986,36.2,0,0.0,0,0.0,124,28.3,6424,28.2
"40000","1","512","55","0","2020","A","",1,4,65227,0,0,307,15974,"",10.35,9.97,6.41,0.00,0.00,0.62,0.62,"",0,0.0,1,33.3,43610,201.7,0,0.0,0,0.0,179,139.8,9323,140.2
