"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"41000","0","10","50","0","2018","A","",154521,1920804,101905042305,46539810925,904182363,1020,53053,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4548,3.0,37397,2.0,5628494484,5.8,2720398610,6.2,-68873717,-7.1,37,3.8,1935,3.8
"41000","1","10","51","0","2018","A","",858,28097,2195799915,0,0,1503,78151,"",0.94,0.76,0.77,0.00,0.00,1.01,1.01,"",-11,-1.3,-104,-0.4,81229829,3.8,0,0.0,0,0.0,61,4.2,3169,4.2
"41000","1","101","52","0","2018","A","",68,3125,223581456,0,0,1376,71538,"",37.65,4.61,4.27,0.00,0.00,0.93,0.93,"",0,0.0,-2,-0.1,6364071,2.9,0,0.0,0,0.0,40,3.0,2077,3.0
"41000","1","1011","53","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",62.01,75.40,81.59,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","1013","53","0","2018","A","",1,0,0,0,0,0,0,"",1.41,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","102","52","0","2018","A","",790,24972,1972218459,0,0,1519,78979,"",0.87,0.69,0.71,0.00,0.00,1.02,1.02,"",-11,-1.4,-102,-0.4,74865758,3.9,0,0.0,0,0.0,64,4.4,3309,4.4
"41000","1","1021","53","0","2018","A","",396,8009,548353603,0,0,1317,68464,"",0.86,0.90,1.06,0.00,0.00,1.18,1.18,"",-4,-1.0,-113,-1.4,19964231,3.8,0,0.0,0,0.0,66,5.3,3404,5.2
"41000","1","1023","53","0","2018","A","",8,89,8792214,0,0,1903,98974,"",0.65,0.55,0.48,0.00,0.00,0.88,0.88,"",0,0.0,-11,-11.0,-241806,-2.7,0,0.0,0,0.0,158,9.1,8256,9.1
"41000","1","1024","53","0","2018","A","",23,1973,182690012,0,0,1781,92599,"",1.02,2.27,2.55,0.00,0.00,1.12,1.12,"",-1,-4.2,44,2.3,5029931,2.8,0,0.0,0,0.0,9,0.5,476,0.5
"41000","1","1025","53","0","2018","A","",21,5402,465317497,0,0,1656,86135,"",0.99,0.99,1.14,0.00,0.00,1.15,1.15,"",1,5.0,134,2.5,24604703,5.6,0,0.0,0,0.0,47,2.9,2471,3.0
"41000","1","1026","53","0","2018","A","",9,165,9741899,0,0,1139,59221,"",0.38,0.26,0.33,0.00,0.00,1.31,1.30,"",0,0.0,0,0.0,460085,5.0,0,0.0,0,0.0,59,5.5,3053,5.4
"41000","1","1027","53","0","2018","A","",2,58,3065807,0,0,1024,53241,"",0.79,0.96,1.00,0.00,0.00,1.05,1.05,"",0,0.0,3,5.5,193805,6.7,0,0.0,0,0.0,27,2.7,1415,2.7
"41000","1","1028","53","0","2018","A","",330,9276,754257427,0,0,1564,81311,"",0.91,0.47,0.43,0.00,0.00,0.93,0.93,"",-8,-2.4,-160,-1.7,24854809,3.4,0,0.0,0,0.0,77,5.2,4010,5.2
"41000","1","1029","53","0","2018","A","",1,0,0,0,0,0,0,"",9.26,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"41000","1","11","54","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",62.01,75.40,81.59,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","113","55","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",64.79,76.08,82.12,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","1131","56","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",64.79,76.08,82.12,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","11311","57","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",64.79,76.08,82.12,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","113110","58","0","2018","A","",67,3125,223581456,0,0,1376,71538,"",64.79,76.08,82.12,0.00,0.00,1.08,1.08,"",0,0.0,-2,-0.1,6394678,2.9,0,0.0,0,0.0,40,3.0,2081,3.0
"41000","1","22","54","0","2018","A","",16,1154,125960649,0,0,2099,109143,"",6.56,7.66,6.96,0.00,0.00,0.91,0.91,"",-3,-15.8,-74,-6.0,-4117676,-3.2,0,0.0,0,0.0,62,3.0,3245,3.1
"41000","1","221","55","0","2018","A","",16,1154,125960649,0,0,2099,109143,"",6.56,7.66,6.96,0.00,0.00,0.91,0.91,"",-3,-15.8,-74,-6.0,-4117676,-3.2,0,0.0,0,0.0,62,3.0,3245,3.1
"41000","1","2211","56","0","2018","A","",16,1154,125960649,0,0,2099,109143,"",6.86,8.22,7.32,0.00,0.00,0.89,0.89,"",-3,-15.8,-74,-6.0,-4117676,-3.2,0,0.0,0,0.0,62,3.0,3245,3.1
"41000","1","22111","57","0","2018","A","",16,1154,125960649,0,0,2099,109143,"",14.40,11.04,10.19,0.00,0.00,0.92,0.92,"",-3,-15.8,-74,-6.0,-4117676,-3.2,0,0.0,0,0.0,62,3.0,3245,3.1
"41000","1","221111","58","0","2018","A","",16,1154,125960649,0,0,2099,109143,"",16.20,14.70,13.74,0.00,0.00,0.94,0.93,"",-3,-15.8,-74,-6.0,-4117676,-3.2,0,0.0,0,0.0,62,3.0,3245,3.1
"41000","1","31-33","54","0","2018","A","",1,0,0,0,0,0,0,"",1.41,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","323","55","0","2018","A","",1,0,0,0,0,0,0,"",3.81,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","3231","56","0","2018","A","",1,0,0,0,0,0,0,"",3.81,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","32311","57","0","2018","A","",1,0,0,0,0,0,0,"",3.81,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","323111","58","0","2018","A","",1,0,0,0,0,0,0,"",16.20,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-30607,-100.0,0,0.0,0,0.0,-2354,-100.0,-122428,-100.0
"41000","1","44-45","54","0","2018","A","",3,19,331541,0,0,333,17298,"",0.29,0.03,0.02,0.00,0.00,0.57,0.57,"",0,0.0,-1,-5.0,-2311,-0.7,0,0.0,0,0.0,16,5.0,811,4.9
"41000","1","452","55","0","2018","A","",3,19,331541,0,0,333,17298,"",0.70,0.05,0.03,0.00,0.00,0.61,0.61,"",0,0.0,-1,-5.0,-2311,-0.7,0,0.0,0,0.0,16,5.0,811,4.9
"41000","1","4522","56","0","2018","A","",3,19,331541,0,0,333,17298,"",0.95,0.07,0.04,0.00,0.00,0.61,0.61,"",0,0.0,-1,-5.0,-2311,-0.7,0,0.0,0,0.0,16,5.0,811,4.9
"41000","1","45221","57","0","2018","A","",3,19,331541,0,0,333,17298,"",0.95,0.07,0.04,0.00,0.00,0.61,0.61,"",0,0.0,-1,-5.0,-2311,-0.7,0,0.0,0,0.0,16,5.0,811,4.9
"41000","1","452210","58","0","2018","A","",3,19,331541,0,0,333,17298,"",0.95,0.07,0.04,0.00,0.00,0.61,0.61,"",0,0.0,-1,-5.0,-2311,-0.7,0,0.0,0,0.0,16,5.0,811,4.9
"41000","1","48-49","54","0","2018","A","",377,6836,422061413,0,0,1187,61739,"",0.84,0.84,0.88,0.00,0.00,1.05,1.05,"",-1,-0.3,-37,-0.5,24084218,6.1,0,0.0,0,0.0,73,6.6,3835,6.6
"41000","1","488","55","0","2018","A","",1,103,13280590,0,0,2484,129147,"",0.39,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,7,7.3,1270192,10.6,0,0.0,0,0.0,84,3.5,4364,3.5
"41000","1","4881","56","0","2018","A","",1,103,13280590,0,0,2484,129147,"",0.39,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,7,7.3,1270192,10.6,0,0.0,0,0.0,84,3.5,4364,3.5
"41000","1","48811","57","0","2018","A","",1,103,13280590,0,0,2484,129147,"",0.39,0.68,0.66,0.00,0.00,0.96,0.96,"",0,0.0,7,7.3,1270192,10.6,0,0.0,0,0.0,84,3.5,4364,3.5
