"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42000","0","10","50","0","2021","A","",369368,5650325,365559313786,53175900370,1854776599,1244,64697,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8065,2.2,161734,2.9,24998461530,7.3,3007520235,6.0,28370300,1.6,51,4.3,2648,4.3
"42000","1","10","51","0","2021","A","",2702,98915,8152850265,0,0,1585,82423,"",1.30,0.87,0.84,0.00,0.00,0.97,0.97,"",-39,-1.4,-2368,-2.3,179949742,2.3,0,0.0,0,0.0,71,4.7,3704,4.7
"42000","1","101","52","0","2021","A","",4,761,63809770,0,0,1612,83841,"",0.95,0.36,0.36,0.00,0.00,0.99,0.99,"",1,33.3,7,0.9,971842,1.5,0,0.0,0,0.0,8,0.5,446,0.5
"42000","1","1013","53","0","2021","A","",4,761,63809770,0,0,1612,83841,"",2.36,0.39,0.38,0.00,0.00,0.98,0.98,"",1,33.3,7,0.9,971842,1.5,0,0.0,0,0.0,8,0.5,446,0.5
"42000","1","102","52","0","2021","A","",2698,98154,8089040495,0,0,1585,82412,"",1.30,0.88,0.85,0.00,0.00,0.97,0.97,"",-40,-1.5,-2376,-2.4,178977900,2.3,0,0.0,0,0.0,72,4.8,3728,4.7
"42000","1","1021","53","0","2021","A","",1687,27741,1940005284,0,0,1345,69932,"",1.65,1.05,1.15,0.00,0.00,1.10,1.10,"",-9,-0.5,-128,-0.5,69475141,3.7,0,0.0,0,0.0,54,4.2,2814,4.2
"42000","1","1022","53","0","2021","A","",2,1234,76582126,0,0,1194,62073,"",0.44,4.79,3.60,0.00,0.00,0.75,0.75,"",0,0.0,-20,-1.6,-56729,-0.1,0,0.0,0,0.0,19,1.6,974,1.6
"42000","1","1023","53","0","2021","A","",27,245,27196521,0,0,2134,110968,"",1.04,0.50,0.46,0.00,0.00,0.91,0.91,"",1,3.8,13,5.6,1347627,5.2,0,0.0,0,0.0,-6,-0.3,-290,-0.3
"42000","1","1024","53","0","2021","A","",45,1564,137014748,0,0,1685,87596,"",0.91,0.57,0.56,0.00,0.00,0.97,0.97,"",0,0.0,9,0.6,3657502,2.7,0,0.0,0,0.0,36,2.2,1831,2.1
"42000","1","1025","53","0","2021","A","",43,14690,1259976918,0,0,1649,85772,"",0.91,0.87,0.88,0.00,0.00,1.01,1.01,"",-2,-4.4,382,2.7,48613530,4.0,0,0.0,0,0.0,21,1.3,1107,1.3
"42000","1","1026","53","0","2021","A","",37,841,58246034,0,0,1332,69251,"",0.72,0.48,0.64,0.00,0.00,1.34,1.34,"",-1,-2.6,-20,-2.3,362978,0.6,0,0.0,0,0.0,39,3.0,2017,3.0
"42000","1","1027","53","0","2021","A","",3,66,3890907,0,0,1139,59252,"",0.56,0.35,0.37,0.00,0.00,1.06,1.06,"",0,0.0,3,4.8,237603,6.5,0,0.0,0,0.0,27,2.4,1416,2.4
"42000","1","1028","53","0","2021","A","",855,51773,4586127957,0,0,1703,88581,"",1.00,0.83,0.77,0.00,0.00,0.93,0.93,"",-29,-3.3,-2614,-4.8,55340248,1.2,0,0.0,0,0.0,101,6.3,5275,6.3
"42000","1","31-33","54","0","2021","A","",4,761,63809770,0,0,1612,83841,"",2.36,0.39,0.38,0.00,0.00,0.98,0.98,"",1,33.3,7,0.9,971842,1.5,0,0.0,0,0.0,8,0.5,446,0.5
"42000","1","323","55","0","2021","A","",1,3,321242,0,0,1901,98844,"",1.55,0.03,0.03,0.00,0.00,0.89,0.89,"",0,0.0,-1,-25.0,-122878,-27.7,0,0.0,0,0.0,-70,-3.6,-3645,-3.6
"42000","1","3231","56","0","2021","A","",1,3,321242,0,0,1901,98844,"",1.55,0.03,0.03,0.00,0.00,0.89,0.89,"",0,0.0,-1,-25.0,-122878,-27.7,0,0.0,0,0.0,-70,-3.6,-3645,-3.6
"42000","1","32311","57","0","2021","A","",1,3,321242,0,0,1901,98844,"",1.55,0.03,0.03,0.00,0.00,0.89,0.89,"",0,0.0,-1,-25.0,-122878,-27.7,0,0.0,0,0.0,-70,-3.6,-3645,-3.6
"42000","1","323117","58","0","2021","A","",1,3,321242,0,0,1901,98844,"",2.27,0.05,0.05,0.00,0.00,0.95,0.95,"",0,0.0,-1,-25.0,-122878,-27.7,0,0.0,0,0.0,-70,-3.6,-3645,-3.6
"42000","1","332","55","0","2021","A","",1,321,24443063,0,0,1464,76127,"",5.91,1.86,1.84,0.00,0.00,0.99,0.99,"",0,0.0,5,1.6,779487,3.3,0,0.0,0,0.0,25,1.7,1321,1.8
"42000","1","3329","56","0","2021","A","",1,321,24443063,0,0,1464,76127,"",7.38,2.01,2.10,0.00,0.00,1.05,1.05,"",0,0.0,5,1.6,779487,3.3,0,0.0,0,0.0,25,1.7,1321,1.8
"42000","1","33299","57","0","2021","A","",1,321,24443063,0,0,1464,76127,"",7.38,2.01,2.10,0.00,0.00,1.05,1.05,"",0,0.0,5,1.6,779487,3.3,0,0.0,0,0.0,25,1.7,1321,1.8
"42000","1","332994","58","0","2021","A","",1,321,24443063,0,0,1464,76127,"",9.84,3.45,3.30,0.00,0.00,0.96,0.96,"",0,0.0,5,1.6,779487,3.3,0,0.0,0,0.0,25,1.7,1321,1.8
"42000","1","339","55","0","2021","A","",2,437,39045465,0,0,1719,89400,"",5.37,13.78,14.74,0.00,0.00,1.07,1.07,"",1,100.0,4,0.9,315233,0.8,0,0.0,0,0.0,-2,-0.1,-81,-0.1
"42000","1","3399","56","0","2021","A","",2,437,39045465,0,0,1719,89400,"",5.37,13.78,14.74,0.00,0.00,1.07,1.07,"",1,100.0,4,0.9,315233,0.8,0,0.0,0,0.0,-2,-0.1,-81,-0.1
"42000","1","33991","57","0","2021","A","",2,437,39045465,0,0,1719,89400,"",5.37,13.78,14.74,0.00,0.00,1.07,1.07,"",1,100.0,4,0.9,315233,0.8,0,0.0,0,0.0,-2,-0.1,-81,-0.1
"42000","1","339910","58","0","2021","A","",2,437,39045465,0,0,1719,89400,"",5.37,13.78,14.74,0.00,0.00,1.07,1.07,"",1,100.0,4,0.9,315233,0.8,0,0.0,0,0.0,-2,-0.1,-81,-0.1
"42000","1","44-45","54","0","2021","A","",7,100,4005250,0,0,768,39953,"",0.30,0.06,0.07,0.00,0.00,1.23,1.23,"",0,0.0,-10,-9.1,-342145,-7.9,0,0.0,0,0.0,6,0.8,341,0.9
"42000","1","445","55","0","2021","A","",3,85,3588684,0,0,812,42220,"",0.45,0.21,0.20,0.00,0.00,0.99,0.99,"",0,0.0,-8,-8.6,-297855,-7.7,0,0.0,0,0.0,11,1.4,579,1.4
