"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"44000","0","10","50","0","2022","A","",46162,481342,31046233006,9279199994,227685187,1240,64499,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3224,7.5,17566,3.8,2162464534,7.5,444060184,5.0,3638017,1.6,42,3.5,2219,3.6
"44000","1","10","51","0","2022","A","",197,11302,1055306955,0,0,1796,93377,"",0.81,1.23,1.34,0.00,0.00,1.09,1.09,"",6,3.1,-41,-0.4,40113947,4.0,0,0.0,0,0.0,75,4.4,3876,4.3
"44000","1","101","52","0","2022","A","",1,4,465061,0,0,2104,109426,"",1.82,0.02,0.03,0.00,0.00,1.29,1.29,"",0,0.0,-1,-20.0,-188573,-28.8,0,0.0,0,0.0,-542,-20.5,-28181,-20.5
"44000","1","1013","53","0","2022","A","",1,4,465061,0,0,2104,109426,"",4.02,0.03,0.03,0.00,0.00,1.29,1.29,"",0,0.0,-1,-20.0,-188573,-28.8,0,0.0,0,0.0,-542,-20.5,-28181,-20.5
"44000","1","102","52","0","2022","A","",196,11297,1054841894,0,0,1796,93371,"",0.81,1.25,1.37,0.00,0.00,1.09,1.09,"",6,3.2,-41,-0.4,40302520,4.0,0,0.0,0,0.0,75,4.4,3890,4.3
"44000","1","1021","53","0","2022","A","",86,2850,189349912,0,0,1278,66437,"",0.71,1.33,1.38,0.00,0.00,1.04,1.04,"",1,1.2,11,0.4,7208557,4.0,0,0.0,0,0.0,44,3.6,2274,3.5
"44000","1","1022","53","0","2022","A","",1,0,0,0,0,0,0,"",1.72,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-11304,-100.0,0,0.0,0,0.0,-870,-100.0,-45216,-100.0
"44000","1","1023","53","0","2022","A","",3,9,950113,0,0,2150,111778,"",0.95,0.22,0.20,0.00,0.00,0.93,0.93,"",1,50.0,2,28.6,327325,52.6,0,0.0,0,0.0,331,18.2,17177,18.2
"44000","1","1024","53","0","2022","A","",2,1,63960,0,0,1135,59040,"",0.35,0.00,0.00,0.00,0.00,0.67,0.67,"",0,0.0,1,100.0,59288,1269.0,0,0.0,0,0.0,1135,100.0,59040,100.0
"44000","1","1025","53","0","2022","A","",5,1739,162192265,0,0,1793,93259,"",0.88,1.27,1.37,0.00,0.00,1.08,1.08,"",0,0.0,-5,-0.3,5672339,3.6,0,0.0,0,0.0,67,3.9,3498,3.9
"44000","1","1026","53","0","2022","A","",4,26,2213863,0,0,1617,84071,"",0.68,0.18,0.29,0.00,0.00,1.59,1.59,"",1,33.3,6,30.0,536842,32.0,0,0.0,0,0.0,18,1.1,913,1.1
"44000","1","1028","53","0","2022","A","",96,6672,700071781,0,0,2018,104924,"",0.96,1.32,1.45,0.00,0.00,1.11,1.10,"",4,4.3,-57,-0.8,26509473,3.9,0,0.0,0,0.0,93,4.8,4819,4.8
"44000","1","31-33","54","0","2022","A","",1,4,465061,0,0,2104,109426,"",4.02,0.03,0.03,0.00,0.00,1.29,1.29,"",0,0.0,-1,-20.0,-188573,-28.8,0,0.0,0,0.0,-542,-20.5,-28181,-20.5
"44000","1","336","55","0","2022","A","",1,4,465061,0,0,2104,109426,"",16.64,0.03,0.04,0.00,0.00,1.29,1.29,"",0,0.0,-1,-20.0,-188573,-28.8,0,0.0,0,0.0,-542,-20.5,-28181,-20.5
"44000","1","3366","56","0","2022","A","",1,4,465061,0,0,2104,109426,"",17.82,0.03,0.04,0.00,0.00,1.28,1.28,"",0,0.0,-1,-20.0,-188573,-28.8,0,0.0,0,0.0,-542,-20.5,-28181,-20.5
