"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46000","0","10","50","0","2017","A","",33279,422489,17927118960,4763476415,33660179,816,42432,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",299,0.9,2029,0.5,613447611,3.5,30479309,0.6,-2203535,-6.1,24,3.0,1254,3.0
"46000","1","10","51","0","2017","A","",711,11350,731074533,0,0,1239,64410,"",3.52,1.38,1.44,0.00,0.00,1.05,1.05,"",-5,-0.7,34,0.3,21489242,3.0,0,0.0,0,0.0,33,2.7,1704,2.7
"46000","1","102","52","0","2017","A","",711,11350,731074533,0,0,1239,64410,"",3.52,1.40,1.47,0.00,0.00,1.05,1.05,"",-5,-0.7,34,0.3,21489242,3.0,0,0.0,0,0.0,33,2.7,1704,2.7
"46000","1","1021","53","0","2017","A","",314,2111,102729217,0,0,936,48656,"",3.09,1.05,1.11,0.00,0.00,1.06,1.06,"",-1,-0.3,2,0.1,1109411,1.1,0,0.0,0,0.0,9,1.0,478,1.0
"46000","1","1022","53","0","2017","A","",1,5,142619,0,0,549,28524,"",2.38,0.26,0.12,0.00,0.00,0.48,0.48,"",0,0.0,0,0.0,20956,17.2,0,0.0,0,0.0,73,15.3,3779,15.3
"46000","1","1023","53","0","2017","A","",12,209,13584767,0,0,1252,65103,"",4.43,5.51,4.12,0.00,0.00,0.75,0.75,"",0,0.0,-1,-0.5,270792,2.0,0,0.0,0,0.0,32,2.6,1653,2.6
"46000","1","1024","53","0","2017","A","",11,220,18993311,0,0,1658,86203,"",2.23,1.15,1.46,0.00,0.00,1.27,1.27,"",0,0.0,-8,-3.5,187584,1.0,0,0.0,0,0.0,70,4.4,3631,4.4
"46000","1","1025","53","0","2017","A","",20,4191,281386381,0,0,1291,67141,"",4.30,3.49,3.88,0.00,0.00,1.11,1.11,"",-1,-4.8,70,1.7,13227934,4.9,0,0.0,0,0.0,40,3.2,2067,3.2
"46000","1","1026","53","0","2017","A","",16,303,14101785,0,0,896,46592,"",3.06,2.09,2.70,0.00,0.00,1.29,1.29,"",-2,-11.1,1,0.3,596295,4.4,0,0.0,0,0.0,36,4.2,1847,4.1
"46000","1","1027","53","0","2017","A","",1,19,865151,0,0,887,46141,"",1.74,1.41,1.57,0.00,0.00,1.13,1.13,"",0,0.0,3,18.8,98133,12.8,0,0.0,0,0.0,-21,-2.3,-1060,-2.2
"46000","1","1028","53","0","2017","A","",336,4293,299271302,0,0,1341,69720,"",4.12,0.96,0.97,0.00,0.00,1.00,1.00,"",-1,-0.3,-32,-0.7,5978137,2.0,0,0.0,0,0.0,37,2.8,1912,2.8
"46000","1","44-45","54","0","2017","A","",5,103,2620816,0,0,488,25363,"",2.20,0.79,0.78,0.00,0.00,0.99,0.99,"",0,0.0,-10,-8.8,-98338,-3.6,0,0.0,0,0.0,25,5.4,1264,5.2
"46000","1","441","55","0","2017","A","",1,4,98841,0,0,456,23722,"",7.21,11.16,14.86,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,16477,20.0,0,0.0,0,0.0,97,27.0,5074,27.2
"46000","1","4413","56","0","2017","A","",1,4,98841,0,0,456,23722,"",7.21,11.16,14.86,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,16477,20.0,0,0.0,0,0.0,97,27.0,5074,27.2
"46000","1","44131","57","0","2017","A","",1,4,98841,0,0,456,23722,"",7.21,11.16,14.86,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,16477,20.0,0,0.0,0,0.0,97,27.0,5074,27.2
"46000","1","441310","58","0","2017","A","",1,4,98841,0,0,456,23722,"",7.21,11.16,14.86,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,16477,20.0,0,0.0,0,0.0,97,27.0,5074,27.2
"46000","1","442","55","0","2017","A","",1,3,63315,0,0,443,23024,"",5.37,4.46,5.31,0.00,0.00,1.30,1.30,"",0,0.0,2,200.0,50717,402.6,0,0.0,0,0.0,261,143.4,13575,143.7
"46000","1","4422","56","0","2017","A","",1,3,63315,0,0,443,23024,"",5.47,5.27,6.03,0.00,0.00,1.25,1.25,"",0,0.0,2,200.0,50717,402.6,0,0.0,0,0.0,261,143.4,13575,143.7
"46000","1","44229","57","0","2017","A","",1,3,63315,0,0,443,23024,"",5.47,5.27,6.03,0.00,0.00,1.25,1.25,"",0,0.0,2,200.0,50717,402.6,0,0.0,0,0.0,261,143.4,13575,143.7
"46000","1","442299","58","0","2017","A","",1,3,63315,0,0,443,23024,"",5.47,5.27,6.03,0.00,0.00,1.25,1.25,"",0,0.0,2,200.0,50717,402.6,0,0.0,0,0.0,261,143.4,13575,143.7
