"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"50000","0","10","50","0","2022","A","",29980,301271,17956592685,3679302495,59945890,1146,59603,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2078,7.4,9608,3.3,1537062845,9.4,417402355,12.8,1702135,2.9,63,5.8,3307,5.9
"50000","1","10","51","0","2022","A","",445,6742,604118051,0,0,1723,89601,"",2.81,1.17,1.33,0.00,0.00,1.13,1.13,"",3,0.7,-189,-2.7,25603336,4.4,0,0.0,0,0.0,118,7.4,6130,7.3
"50000","1","102","52","0","2022","A","",445,6742,604118051,0,0,1723,89601,"",2.82,1.19,1.35,0.00,0.00,1.13,1.13,"",3,0.7,-189,-2.7,25603336,4.4,0,0.0,0,0.0,118,7.4,6130,7.3
"50000","1","1021","53","0","2022","A","",263,1538,102414701,0,0,1281,66590,"",3.34,1.15,1.29,0.00,0.00,1.13,1.13,"",-3,-1.1,-77,-4.8,4033036,4.1,0,0.0,0,0.0,110,9.4,5688,9.3
"50000","1","1023","53","0","2022","A","",4,24,2116723,0,0,1720,89439,"",1.94,0.96,0.76,0.00,0.00,0.80,0.80,"",0,0.0,-3,-11.1,37215,1.8,0,0.0,0,0.0,234,15.7,12182,15.8
"50000","1","1024","53","0","2022","A","",8,45,4098221,0,0,1742,90568,"",2.14,0.32,0.36,0.00,0.00,1.12,1.12,"",1,14.3,-1,-2.2,-31584,-0.8,0,0.0,0,0.0,28,1.6,1436,1.6
"50000","1","1025","53","0","2022","A","",3,1216,123849896,0,0,1959,101871,"",0.82,1.42,1.81,0.00,0.00,1.27,1.27,"",0,0.0,1,0.1,7561606,6.5,0,0.0,0,0.0,119,6.5,6193,6.5
"50000","1","1026","53","0","2022","A","",1,1,144444,0,0,1961,101960,"",0.26,0.01,0.03,0.00,0.00,2.08,2.08,"",0,0.0,0,0.0,25699,21.6,0,0.0,0,0.0,-530,-21.3,-27580,-21.3
"50000","1","1028","53","0","2022","A","",167,3918,371494066,0,0,1823,94811,"",2.56,1.24,1.33,0.00,0.00,1.08,1.08,"",6,3.7,-108,-2.7,13977364,3.9,0,0.0,0,0.0,115,6.7,6004,6.8
"50000","1","48-49","54","0","2022","A","",263,1538,102414701,0,0,1281,66590,"",3.44,1.24,1.38,0.00,0.00,1.11,1.11,"",-3,-1.1,-77,-4.8,4033036,4.1,0,0.0,0,0.0,110,9.4,5688,9.3
"50000","1","484","55","0","2022","A","",1,4,412245,0,0,2162,112430,"",192.12,331.98,342.17,0.00,0.00,1.06,1.06,"",0,0.0,-1,-20.0,-80620,-16.4,0,0.0,0,0.0,297,15.9,15473,16.0
"50000","1","4841","56","0","2022","A","",1,4,412245,0,0,2162,112430,"",192.12,331.98,342.17,0.00,0.00,1.06,1.06,"",0,0.0,-1,-20.0,-80620,-16.4,0,0.0,0,0.0,297,15.9,15473,16.0
"50000","1","48412","57","0","2022","A","",1,4,412245,0,0,2162,112430,"",192.12,331.98,342.17,0.00,0.00,1.06,1.06,"",0,0.0,-1,-20.0,-80620,-16.4,0,0.0,0,0.0,297,15.9,15473,16.0
"50000","1","484121","58","0","2022","A","",1,4,412245,0,0,2162,112430,"",192.12,331.98,342.17,0.00,0.00,1.06,1.06,"",0,0.0,-1,-20.0,-80620,-16.4,0,0.0,0,0.0,297,15.9,15473,16.0
"50000","1","488","55","0","2022","A","",1,43,4493845,0,0,2014,104711,"",2.73,1.87,1.53,0.00,0.00,0.82,0.82,"",0,0.0,-3,-6.5,163737,3.8,0,0.0,0,0.0,197,10.8,10236,10.8
"50000","1","4881","56","0","2022","A","",1,43,4493845,0,0,2014,104711,"",2.73,1.87,1.53,0.00,0.00,0.82,0.82,"",0,0.0,-3,-6.5,163737,3.8,0,0.0,0,0.0,197,10.8,10236,10.8
"50000","1","48811","57","0","2022","A","",1,43,4493845,0,0,2014,104711,"",2.73,1.87,1.53,0.00,0.00,0.82,0.82,"",0,0.0,-3,-6.5,163737,3.8,0,0.0,0,0.0,197,10.8,10236,10.8
"50000","1","488111","58","0","2022","A","",1,43,4493845,0,0,2014,104711,"",2.74,1.87,1.53,0.00,0.00,0.82,0.82,"",0,0.0,-3,-6.5,163737,3.8,0,0.0,0,0.0,197,10.8,10236,10.8
"50000","1","491","55","0","2022","A","",261,1491,97508611,0,0,1257,65380,"",3.43,1.23,1.37,0.00,0.00,1.11,1.11,"",-3,-1.1,-74,-4.7,3949919,4.2,0,0.0,0,0.0,107,9.3,5579,9.3
"50000","1","4911","56","0","2022","A","",261,1491,97508611,0,0,1257,65380,"",3.43,1.23,1.37,0.00,0.00,1.11,1.11,"",-3,-1.1,-74,-4.7,3949919,4.2,0,0.0,0,0.0,107,9.3,5579,9.3
"50000","1","49111","57","0","2022","A","",261,1491,97508611,0,0,1257,65380,"",3.43,1.23,1.37,0.00,0.00,1.11,1.11,"",-3,-1.1,-74,-4.7,3949919,4.2,0,0.0,0,0.0,107,9.3,5579,9.3
"50000","1","491110","58","0","2022","A","",261,1491,97508611,0,0,1257,65380,"",3.43,1.23,1.37,0.00,0.00,1.11,1.11,"",-3,-1.1,-74,-4.7,3949919,4.2,0,0.0,0,0.0,107,9.3,5579,9.3
"50000","1","52","54","0","2022","A","",4,24,2116723,0,0,1720,89439,"",1.96,0.96,0.76,0.00,0.00,0.80,0.80,"",0,0.0,-3,-11.1,37215,1.8,0,0.0,0,0.0,234,15.7,12182,15.8
"50000","1","522","55","0","2022","A","",4,24,2116723,0,0,1720,89439,"",2.43,1.92,1.88,0.00,0.00,1.00,1.00,"",0,0.0,-3,-11.1,37215,1.8,0,0.0,0,0.0,234,15.7,12182,15.8
"50000","1","5222","56","0","2022","A","",4,24,2116723,0,0,1720,89439,"",2.44,1.92,1.88,0.00,0.00,1.00,1.00,"",0,0.0,-3,-11.1,37215,1.8,0,0.0,0,0.0,234,15.7,12182,15.8
"50000","1","52229","57","0","2022","A","",4,24,2116723,0,0,1720,89439,"",2.44,1.92,1.88,0.00,0.00,1.00,1.00,"",0,0.0,-3,-11.1,37215,1.8,0,0.0,0,0.0,234,15.7,12182,15.8
"50000","1","522292","58","0","2022","A","",1,1,73832,0,0,2434,126569,"",1.32,0.16,0.16,0.00,0.00,1.69,1.69,"",0,0.0,1,100.0,73832,100.0,0,0.0,0,0.0,2434,100.0,126569,100.0
"50000","1","522299","58","0","2022","A","",3,23,2042891,0,0,1702,88501,"",3.39,3.60,3.08,0.00,0.00,0.85,0.85,"N",3,100.0,0,0,0,0,0,0,0,0,0,0,0,0
