"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53000","0","10","50","0","2023","A","",229290,3577580,316826175584,143007553707,1800321794,1703,88559,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-27832,-10.8,65312,1.9,21761225103,7.4,8806895865,6.6,146105415,8.8,87,5.4,4549,5.4
"53000","1","10","51","0","2023","A","",1349,77275,7466670645,0,0,1858,96624,"",1.14,1.13,0.91,0.00,0.00,0.81,0.81,"",12,0.9,2107,2.8,574552626,8.3,0,0.0,0,0.0,95,5.4,4934,5.4
"53000","1","101","52","0","2023","A","",8,13920,1358519433,0,0,1877,97597,"",2.76,11.42,9.29,0.00,0.00,0.81,0.81,"",2,33.3,215,1.6,79849678,6.2,0,0.0,0,0.0,83,4.6,4297,4.6
"53000","1","1011","53","0","2023","A","",1,0,138121,0,0,0,0,"",0.69,0.00,0.01,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","1013","53","0","2023","A","",7,13920,1358381312,0,0,1877,97587,"",4.90,12.31,9.94,0.00,0.00,0.81,0.81,"",1,16.7,215,1.6,79711557,6.2,0,0.0,0,0.0,83,4.6,4287,4.6
"53000","1","102","52","0","2023","A","",1341,63355,6108151212,0,0,1854,96411,"",1.13,0.94,0.76,0.00,0.00,0.81,0.80,"",10,0.8,1892,3.1,494702948,8.8,0,0.0,0,0.0,98,5.6,5080,5.6
"53000","1","1021","53","0","2023","A","",629,15625,1275475201,0,0,1570,81633,"",1.06,1.00,0.94,0.00,0.00,0.94,0.94,"",6,1.0,17,0.1,9391557,0.7,0,0.0,0,0.0,10,0.6,513,0.6
"53000","1","1022","53","0","2023","A","",2,25,1071498,0,0,816,42436,"",0.69,0.16,0.06,0.00,0.00,0.37,0.37,"",0,0.0,0,0.0,32034,3.1,0,0.0,0,0.0,19,2.4,996,2.4
"53000","1","1023","53","0","2023","A","",17,155,18318591,0,0,2279,118503,"",1.07,0.52,0.36,0.00,0.00,0.68,0.68,"",0,0.0,5,3.3,1899972,11.6,0,0.0,0,0.0,169,8.0,8802,8.0
"53000","1","1024","53","0","2023","A","",50,4676,443839527,0,0,1826,94927,"",1.79,2.83,2.15,0.00,0.00,0.76,0.76,"",0,0.0,145,3.2,46121812,11.6,0,0.0,0,0.0,138,8.2,7156,8.2
"53000","1","1025","53","0","2023","A","",44,11625,1206812820,0,0,1996,103809,"",1.60,1.12,0.94,0.00,0.00,0.84,0.84,"",0,0.0,-123,-1.0,82060617,7.3,0,0.0,0,0.0,155,8.4,8066,8.4
"53000","1","1026","53","0","2023","A","",44,1982,107843329,0,0,1046,54405,"",1.58,1.79,1.32,0.00,0.00,0.74,0.74,"",-6,-12.0,416,26.6,26885321,33.2,0,0.0,0,0.0,52,5.2,2721,5.3
"53000","1","1027","53","0","2023","A","",3,28,2024091,0,0,1398,72722,"",0.94,0.24,0.22,0.00,0.00,0.90,0.90,"",0,0.0,-2,-6.7,169934,9.2,0,0.0,0,0.0,206,17.3,10745,17.3
"53000","1","1028","53","0","2023","A","",553,29240,3052766155,0,0,2008,104403,"",1.14,0.77,0.60,0.00,0.00,0.78,0.78,"",12,2.2,1435,5.2,328141701,12.0,0,0.0,0,0.0,124,6.6,6414,6.5
"53000","1","11","54","0","2023","A","",1,0,138121,0,0,0,0,"",0.69,0.00,0.01,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","111","55","0","2023","A","",1,0,138121,0,0,0,0,"",25.88,0.00,7.93,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","1111","56","0","2023","A","",1,0,138121,0,0,0,0,"",25.88,0.00,7.93,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","11111","57","0","2023","A","",1,0,138121,0,0,0,0,"",25.88,0.00,7.93,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","111110","58","0","2023","A","",1,0,138121,0,0,0,0,"",25.88,0.00,7.93,0.00,0.00,0.00,0.00,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"53000","1","22","54","0","2023","A","",47,2354,313607780,0,0,2562,133204,"",11.64,8.45,6.17,0.00,0.00,0.73,0.73,"",10,27.0,73,3.2,16354039,5.5,0,0.0,0,0.0,56,2.2,2906,2.2
"53000","1","221","55","0","2023","A","",47,2354,313607780,0,0,2562,133204,"",11.64,8.45,6.17,0.00,0.00,0.73,0.73,"",10,27.0,73,3.2,16354039,5.5,0,0.0,0,0.0,56,2.2,2906,2.2
"53000","1","2211","56","0","2023","A","",43,1712,243149513,0,0,2731,142006,"",10.91,6.56,5.01,0.00,0.00,0.76,0.76,"",11,34.4,78,4.8,14341550,6.3,0,0.0,0,0.0,38,1.4,1962,1.4
"53000","1","22112","57","0","2023","A","",43,1712,243149513,0,0,2731,142006,"",20.80,27.66,22.16,0.00,0.00,0.80,0.80,"",11,34.4,78,4.8,14341550,6.3,0,0.0,0,0.0,38,1.4,1962,1.4
"53000","1","221121","58","0","2023","A","",43,1712,243149513,0,0,2731,142006,"",39.74,38.57,31.53,0.00,0.00,0.82,0.82,"",11,34.4,78,4.8,14341550,6.3,0,0.0,0,0.0,38,1.4,1962,1.4
"53000","1","2213","56","0","2023","A","",4,642,70458267,0,0,2110,109734,"",41.40,36.64,31.28,0.00,0.00,0.85,0.85,"",-1,-20.0,-6,-0.9,2012489,2.9,0,0.0,0,0.0,77,3.8,4026,3.8
"53000","1","22131","57","0","2023","A","",4,642,70458267,0,0,2110,109734,"",41.40,36.64,31.28,0.00,0.00,0.85,0.85,"",-1,-20.0,-6,-0.9,2012489,2.9,0,0.0,0,0.0,77,3.8,4026,3.8
"53000","1","221310","58","0","2023","A","",4,642,70458267,0,0,2110,109734,"",41.40,36.64,31.28,0.00,0.00,0.85,0.85,"",-1,-20.0,-6,-0.9,2012489,2.9,0,0.0,0,0.0,77,3.8,4026,3.8
"53000","1","31-33","54","0","2023","A","",7,13920,1358381312,0,0,1877,97587,"",4.90,12.31,9.94,0.00,0.00,0.81,0.81,"",1,16.7,215,1.6,79711557,6.2,0,0.0,0,0.0,83,4.6,4287,4.6
"53000","1","323","55","0","2023","A","",2,7,710824,0,0,2076,107973,"",2.80,0.11,0.08,0.00,0.00,0.72,0.72,"",0,0.0,1,16.7,82160,13.1,0,0.0,0,0.0,61,3.0,3196,3.1
"53000","1","3231","56","0","2023","A","",2,7,710824,0,0,2076,107973,"",2.80,0.11,0.08,0.00,0.00,0.72,0.72,"",0,0.0,1,16.7,82160,13.1,0,0.0,0,0.0,61,3.0,3196,3.1
"53000","1","32311","57","0","2023","A","",2,7,710824,0,0,2076,107973,"",2.80,0.11,0.08,0.00,0.00,0.72,0.72,"",0,0.0,1,16.7,82160,13.1,0,0.0,0,0.0,61,3.0,3196,3.1
"53000","1","323111","58","0","2023","A","",1,0,0,0,0,0,0,"",3.98,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"53000","1","323117","58","0","2023","A","",1,7,710824,0,0,2076,107973,"",2.16,0.20,0.14,0.00,0.00,0.75,0.74,"",0,0.0,1,16.7,82160,13.1,0,0.0,0,0.0,61,3.0,3196,3.1
"53000","1","336","55","0","2023","A","",3,13911,1357534456,0,0,1877,97584,"",11.09,14.54,11.92,0.00,0.00,0.82,0.82,"",0,0.0,213,1.6,79529764,6.2,0,0.0,0,0.0,83,4.6,4285,4.6
"53000","1","3366","56","0","2023","A","",3,13911,1357534456,0,0,1877,97584,"",11.94,15.53,12.57,0.00,0.00,0.81,0.81,"",0,0.0,213,1.6,79529764,6.2,0,0.0,0,0.0,83,4.6,4285,4.6
"53000","1","33661","57","0","2023","A","",3,13911,1357534456,0,0,1877,97584,"",11.94,15.53,12.57,0.00,0.00,0.81,0.81,"",0,0.0,213,1.6,79529764,6.2,0,0.0,0,0.0,83,4.6,4285,4.6
"53000","1","336611","58","0","2023","A","",3,13911,1357534456,0,0,1877,97584,"",11.94,15.53,12.57,0.00,0.00,0.81,0.81,"",0,0.0,213,1.6,79529764,6.2,0,0.0,0,0.0,83,4.6,4285,4.6
"53000","1","339","55","0","2023","A","",2,2,136032,0,0,1495,77733,"",5.75,0.10,0.06,0.00,0.00,0.67,0.67,"",1,100.0,1,100.0,99633,273.7,0,0.0,0,0.0,795,113.6,41334,113.6
"53000","1","3399","56","0","2023","A","",2,2,136032,0,0,1495,77733,"",5.75,0.10,0.06,0.00,0.00,0.67,0.67,"",1,100.0,1,100.0,99633,273.7,0,0.0,0,0.0,795,113.6,41334,113.6
"53000","1","33991","57","0","2023","A","",2,2,136032,0,0,1495,77733,"",5.75,0.10,0.06,0.00,0.00,0.67,0.67,"",1,100.0,1,100.0,99633,273.7,0,0.0,0,0.0,795,113.6,41334,113.6
"53000","1","339910","58","0","2023","A","",2,2,136032,0,0,1495,77733,"",5.75,0.10,0.06,0.00,0.00,0.67,0.67,"",1,100.0,1,100.0,99633,273.7,0,0.0,0,0.0,795,113.6,41334,113.6
"53000","1","44-45","54","0","2023","A","",33,1619,77199501,0,0,917,47676,"",2.40,1.72,1.74,0.00,0.00,1.01,1.01,"",-1,-2.9,-47,-2.8,1386339,1.8,0,0.0,0,0.0,42,4.8,2165,4.8
"53000","1","441","55","0","2023","A","",1,3,115273,0,0,682,35469,"",1.29,1.06,0.90,0.00,0.00,0.78,0.78,"",0,0.0,1,50.0,29959,35.1,0,0.0,0,0.0,-106,-13.5,-5482,-13.4
"53000","1","4413","56","0","2023","A","",1,3,115273,0,0,682,35469,"",1.29,1.06,0.90,0.00,0.00,0.78,0.78,"",0,0.0,1,50.0,29959,35.1,0,0.0,0,0.0,-106,-13.5,-5482,-13.4
"53000","1","44133","57","0","2023","A","",1,3,115273,0,0,682,35469,"",1.29,1.06,0.90,0.00,0.00,0.78,0.78,"",0,0.0,1,50.0,29959,35.1,0,0.0,0,0.0,-106,-13.5,-5482,-13.4
