"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55000","0","10","50","0","2018","A","",175065,2876534,140582280421,33150519339,581466305,940,48872,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3349,2.0,26389,0.9,5946611857,4.4,793992295,2.5,-85824721,-12.9,32,3.5,1634,3.5
"55000","1","10","51","0","2018","A","",1222,29102,1957362673,0,0,1293,67259,"",1.19,0.53,0.50,0.00,0.00,0.94,0.94,"",-9,-0.7,84,0.3,78211556,4.2,0,0.0,0,0.0,48,3.9,2500,3.9
"55000","1","102","52","0","2018","A","",1222,29102,1957362673,0,0,1293,67259,"",1.19,0.54,0.51,0.00,0.00,0.94,0.94,"",-9,-0.7,84,0.3,78211556,4.2,0,0.0,0,0.0,48,3.9,2500,3.9
"55000","1","1021","53","0","2018","A","",728,11420,654432564,0,0,1102,57304,"",1.39,0.86,0.92,0.00,0.00,1.07,1.07,"",-1,-0.1,-151,-1.3,21231013,3.4,0,0.0,0,0.0,50,4.8,2579,4.7
"55000","1","1023","53","0","2018","A","",14,171,16935558,0,0,1905,99038,"",1.01,0.70,0.67,0.00,0.00,0.96,0.96,"",-1,-6.7,-8,-4.5,808038,5.0,0,0.0,0,0.0,176,10.2,9149,10.2
"55000","1","1024","53","0","2018","A","",22,329,21731462,0,0,1269,66003,"",0.86,0.25,0.22,0.00,0.00,0.87,0.87,"",0,0.0,-40,-10.8,-1304613,-5.7,0,0.0,0,0.0,70,5.8,3645,5.8
"55000","1","1025","53","0","2018","A","",20,7937,576143312,0,0,1396,72592,"",0.83,0.97,1.02,0.00,0.00,1.05,1.05,"",0,0.0,253,3.3,28251695,5.2,0,0.0,0,0.0,25,1.8,1284,1.8
"55000","1","1026","53","0","2018","A","",14,177,8787597,0,0,955,49671,"",0.52,0.18,0.22,0.00,0.00,1.19,1.19,"",0,0.0,-5,-2.7,204674,2.4,0,0.0,0,0.0,46,5.1,2404,5.1
"55000","1","1027","53","0","2018","A","",1,7,419170,0,0,1180,61342,"",0.35,0.08,0.10,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,50740,13.8,0,0.0,0,0.0,117,11.0,6077,11.0
"55000","1","1028","53","0","2018","A","",424,9061,678913010,0,0,1441,74930,"",1.03,0.30,0.28,0.00,0.00,0.93,0.93,"",-7,-1.6,35,0.4,28970009,4.5,0,0.0,0,0.0,56,4.0,2924,4.1
"55000","1","44-45","54","0","2018","A","",2,18,664079,0,0,730,37947,"",0.17,0.02,0.03,0.00,0.00,1.36,1.36,"",0,0.0,-1,-5.3,-2315,-0.3,0,0.0,0,0.0,67,10.1,3478,10.1
"55000","1","445","55","0","2018","A","",1,16,642902,0,0,769,39973,"",0.29,0.07,0.08,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,25134,4.1,0,0.0,0,0.0,19,2.5,956,2.5
"55000","1","4451","56","0","2018","A","",1,16,642902,0,0,769,39973,"",0.29,0.07,0.08,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,25134,4.1,0,0.0,0,0.0,19,2.5,956,2.5
"55000","1","44511","57","0","2018","A","",1,16,642902,0,0,769,39973,"",0.34,0.07,0.08,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,25134,4.1,0,0.0,0,0.0,19,2.5,956,2.5
"55000","1","445110","58","0","2018","A","",1,16,642902,0,0,769,39973,"",0.34,0.07,0.08,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,25134,4.1,0,0.0,0,0.0,19,2.5,956,2.5
"55000","1","453","55","0","2018","A","",1,1,21177,0,0,287,14948,"",2.72,0.45,0.40,0.00,0.00,0.62,0.62,"",0,0.0,-3,-75.0,-27449,-56.4,0,0.0,0,0.0,20,7.5,1055,7.6
"55000","1","4539","56","0","2018","A","",1,1,21177,0,0,287,14948,"",3.18,0.47,0.43,0.00,0.00,0.63,0.63,"",0,0.0,-3,-75.0,-27449,-56.4,0,0.0,0,0.0,20,7.5,1055,7.6
"55000","1","45399","57","0","2018","A","",1,1,21177,0,0,287,14948,"",3.18,0.47,0.43,0.00,0.00,0.63,0.63,"",0,0.0,-3,-75.0,-27449,-56.4,0,0.0,0,0.0,20,7.5,1055,7.6
"55000","1","453998","58","0","2018","A","",1,1,21177,0,0,287,14948,"",3.18,0.47,0.43,0.00,0.00,0.63,0.63,"",0,0.0,-3,-75.0,-27449,-56.4,0,0.0,0,0.0,20,7.5,1055,7.6
"55000","1","48-49","54","0","2018","A","",726,11403,653768485,0,0,1103,57333,"",1.43,0.93,0.99,0.00,0.00,1.06,1.06,"",-1,-0.1,-148,-1.3,21233328,3.4,0,0.0,0,0.0,50,4.7,2574,4.7
"55000","1","491","55","0","2018","A","",726,11403,653768485,0,0,1103,57333,"",1.44,0.95,1.03,0.00,0.00,1.08,1.08,"",-1,-0.1,-148,-1.3,21233328,3.4,0,0.0,0,0.0,50,4.7,2574,4.7
"55000","1","4911","56","0","2018","A","",726,11403,653768485,0,0,1103,57333,"",1.44,0.95,1.03,0.00,0.00,1.08,1.08,"",-1,-0.1,-148,-1.3,21233328,3.4,0,0.0,0,0.0,50,4.7,2574,4.7
"55000","1","49111","57","0","2018","A","",726,11403,653768485,0,0,1103,57333,"",1.44,0.95,1.03,0.00,0.00,1.08,1.08,"",-1,-0.1,-148,-1.3,21233328,3.4,0,0.0,0,0.0,50,4.7,2574,4.7
"55000","1","491110","58","0","2018","A","",726,11403,653768485,0,0,1103,57333,"",1.44,0.95,1.03,0.00,0.00,1.08,1.08,"",-1,-0.1,-148,-1.3,21233328,3.4,0,0.0,0,0.0,50,4.7,2574,4.7
"55000","1","52","54","0","2018","A","",14,171,16935558,0,0,1905,99038,"",1.01,0.70,0.67,0.00,0.00,0.95,0.95,"",-1,-6.7,-8,-4.5,808038,5.0,0,0.0,0,0.0,176,10.2,9149,10.2
"55000","1","522","55","0","2018","A","",10,79,6102737,0,0,1484,77168,"",0.88,0.70,0.67,0.00,0.00,0.95,0.95,"",-1,-9.1,-6,-7.1,236711,4.0,0,0.0,0,0.0,156,11.7,8088,11.7
"55000","1","5222","56","0","2018","A","",10,79,6102737,0,0,1484,77168,"",0.88,0.70,0.67,0.00,0.00,0.95,0.95,"",-1,-9.1,-6,-7.1,236711,4.0,0,0.0,0,0.0,156,11.7,8088,11.7
"55000","1","52229","57","0","2018","A","",10,79,6102737,0,0,1484,77168,"",0.88,0.70,0.67,0.00,0.00,0.95,0.95,"",-1,-9.1,-6,-7.1,236711,4.0,0,0.0,0,0.0,156,11.7,8088,11.7
