"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"54000","0","10","50","0","2023","A","",59270,686477,38418362917,5600718988,138055085,1076,55964,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3559,6.4,12695,1.9,2601025918,7.3,-71349697,-1.3,-6397609,-4.4,54,5.3,2805,5.3
"54000","1","10","51","0","2023","A","",993,25859,2370369548,0,0,1763,91665,"",3.24,1.97,2.38,0.00,0.00,1.21,1.21,"",12,1.2,646,2.6,212755498,9.9,0,0.0,0,0.0,117,7.1,6089,7.1
"54000","1","101","52","0","2023","A","",2,1,96412,0,0,3178,165278,"",2.67,0.00,0.01,0.00,0.00,2.18,2.18,"",0,0.0,0,0.0,20139,26.4,0,0.0,0,0.0,1222,62.5,63581,62.5
"54000","1","1013","53","0","2023","A","",2,1,96412,0,0,3178,165278,"",5.41,0.00,0.01,0.00,0.00,2.16,2.16,"",0,0.0,0,0.0,20139,26.4,0,0.0,0,0.0,1222,62.5,63581,62.5
"54000","1","102","52","0","2023","A","",992,25858,2370273136,0,0,1763,91664,"",3.25,2.00,2.43,0.00,0.00,1.21,1.21,"",13,1.3,646,2.6,212735359,9.9,0,0.0,0,0.0,117,7.1,6089,7.1
"54000","1","1021","53","0","2023","A","",619,3719,235764429,0,0,1219,63395,"",4.05,1.24,1.43,0.00,0.00,1.16,1.16,"",1,0.2,7,0.2,9611103,4.2,0,0.0,0,0.0,47,4.0,2462,4.0
"54000","1","1022","53","0","2023","A","",1,6,751855,0,0,2345,121922,"",1.34,0.20,0.35,0.00,0.00,1.68,1.68,"",0,0.0,3,100.0,411933,121.2,0,0.0,0,0.0,38,1.6,1950,1.6
"54000","1","1023","53","0","2023","A","",15,87,8181744,0,0,1803,93774,"",3.66,1.53,1.31,0.00,0.00,0.86,0.86,"",1,7.1,8,10.1,1238945,17.8,0,0.0,0,0.0,118,7.0,6168,7.0
"54000","1","1024","53","0","2023","A","",20,896,76549923,0,0,1643,85435,"",2.77,2.83,3.05,0.00,0.00,1.08,1.08,"",0,0.0,60,7.2,10255823,15.5,0,0.0,0,0.0,117,7.7,6096,7.7
"54000","1","1025","53","0","2023","A","",11,5679,556073824,0,0,1883,97913,"",1.54,2.86,3.58,0.00,0.00,1.25,1.25,"",1,10.0,152,2.8,60116141,12.1,0,0.0,0,0.0,157,9.1,8174,9.1
