"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"56000","0","10","50","0","2023","A","",30169,278739,16467878242,5945532979,57218351,1136,59080,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",574,1.9,6505,2.4,1135703520,7.4,391269674,7.0,2986875,5.5,53,4.9,2760,4.9
"56000","1","10","51","0","2023","A","",395,7871,652842494,0,0,1595,82944,"",2.53,1.48,1.53,0.00,0.00,1.04,1.04,"",9,2.3,306,4.0,64710932,11.0,0,0.0,0,0.0,100,6.7,5199,6.7
"56000","1","102","52","0","2023","A","",395,7871,652842494,0,0,1595,82944,"",2.54,1.50,1.56,0.00,0.00,1.04,1.04,"",9,2.3,306,4.0,64710932,11.0,0,0.0,0,0.0,100,6.7,5199,6.7
"56000","1","1021","53","0","2023","A","",138,1069,69255015,0,0,1246,64795,"",1.77,0.88,0.98,0.00,0.00,1.12,1.12,"",-1,-0.7,-1,-0.1,2989565,4.5,0,0.0,0,0.0,55,4.6,2865,4.6
"56000","1","1023","53","0","2023","A","",10,27,2559793,0,0,1858,96596,"",4.80,1.17,0.96,0.00,0.00,0.84,0.83,"",1,11.1,-2,-6.9,71329,2.9,0,0.0,0,0.0,184,11.0,9536,11.0
"56000","1","1024","53","0","2023","A","",12,97,10187618,0,0,2023,105208,"",3.26,0.75,0.95,0.00,0.00,1.26,1.26,"",2,20.0,9,10.2,1188010,13.2,0,0.0,0,0.0,66,3.4,3422,3.4
"56000","1","1025","53","0","2023","A","",12,1732,169558466,0,0,1883,97897,"",3.31,2.15,2.54,0.00,0.00,1.18,1.18,"",0,0.0,124,7.7,26768428,18.7,0,0.0,0,0.0,176,10.3,9120,10.3
"56000","1","1026","53","0","2023","A","",15,922,60825327,0,0,1269,65995,"",4.09,10.67,14.33,0.00,0.00,1.34,1.34,"",-1,-6.2,19,2.1,3265917,5.7,0,0.0,0,0.0,43,3.5,2264,3.6
"56000","1","1027","53","0","2023","A","",1,1,60127,0,0,1388,72152,"",2.38,0.11,0.13,0.00,0.00,1.35,1.34,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"56000","1","1028","53","0","2023","A","",207,4024,340396148,0,0,1627,84586,"",3.24,1.36,1.30,0.00,0.00,0.95,0.95,"",6,3.0,158,4.1,30367556,9.8,0,0.0,0,0.0,85,5.5,4398,5.5
"56000","1","22","54","0","2023","A","",1,13,1851610,0,0,2793,145224,"",1.88,0.60,0.70,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,66330,3.7,0,0.0,0,0.0,152,5.8,7895,5.7
"56000","1","221","55","0","2023","A","",1,13,1851610,0,0,2793,145224,"",1.88,0.60,0.70,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,66330,3.7,0,0.0,0,0.0,152,5.8,7895,5.7
"56000","1","2211","56","0","2023","A","",1,13,1851610,0,0,2793,145224,"",1.93,0.64,0.73,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,66330,3.7,0,0.0,0,0.0,152,5.8,7895,5.7
"56000","1","22112","57","0","2023","A","",1,13,1851610,0,0,2793,145224,"",3.68,2.70,3.25,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,66330,3.7,0,0.0,0,0.0,152,5.8,7895,5.7
"56000","1","221121","58","0","2023","A","",1,13,1851610,0,0,2793,145224,"",7.02,3.76,4.62,0.00,0.00,1.25,1.25,"",0,0.0,0,0.0,66330,3.7,0,0.0,0,0.0,152,5.8,7895,5.7
"56000","1","44-45","54","0","2023","A","",4,45,1842618,0,0,782,40646,"",2.21,0.61,0.80,0.00,0.00,1.29,1.29,"",0,0.0,4,9.8,246409,15.4,0,0.0,0,0.0,26,3.4,1314,3.3
"56000","1","441","55","0","2023","A","",1,3,70286,0,0,477,24807,"",9.83,13.62,10.57,0.00,0.00,0.82,0.82,"",0,0.0,1,50.0,37530,114.6,0,0.0,0,0.0,117,32.5,6089,32.5
"56000","1","4413","56","0","2023","A","",1,3,70286,0,0,477,24807,"",9.83,13.62,10.57,0.00,0.00,0.82,0.82,"",0,0.0,1,50.0,37530,114.6,0,0.0,0,0.0,117,32.5,6089,32.5
"56000","1","44133","57","0","2023","A","",1,3,70286,0,0,477,24807,"",9.83,13.62,10.57,0.00,0.00,0.82,0.82,"",0,0.0,1,50.0,37530,114.6,0,0.0,0,0.0,117,32.5,6089,32.5
"56000","1","441330","58","0","2023","A","",1,3,70286,0,0,477,24807,"",9.83,13.62,10.57,0.00,0.00,0.82,0.82,"",0,0.0,1,50.0,37530,114.6,0,0.0,0,0.0,117,32.5,6089,32.5
"56000","1","445","55","0","2023","A","",1,36,1582079,0,0,847,44049,"",1.93,1.97,2.13,0.00,0.00,1.08,1.08,"",0,0.0,3,9.1,169051,12.0,0,0.0,0,0.0,17,2.0,903,2.1
"56000","1","4451","56","0","2023","A","",1,36,1582079,0,0,847,44049,"",1.93,1.97,2.13,0.00,0.00,1.08,1.08,"",0,0.0,3,9.1,169051,12.0,0,0.0,0,0.0,17,2.0,903,2.1
"56000","1","44511","57","0","2023","A","",1,36,1582079,0,0,847,44049,"",2.23,2.09,2.22,0.00,0.00,1.06,1.06,"",0,0.0,3,9.1,169051,12.0,0,0.0,0,0.0,17,2.0,903,2.1
"56000","1","445110","58","0","2023","A","",1,36,1582079,0,0,847,44049,"",2.23,2.09,2.22,0.00,0.00,1.06,1.06,"",0,0.0,3,9.1,169051,12.0,0,0.0,0,0.0,17,2.0,903,2.1
