state,year,private_establishments,private_employment,source_url
AK,2017,19803.0,246852.0,https://data.bls.gov/cew/data/api/2017/a/area/02000.csv
AK,2018,19889.0,246319.0,https://data.bls.gov/cew/data/api/2018/a/area/02000.csv
AK,2019,20162.0,249300.0,https://data.bls.gov/cew/data/api/2019/a/area/02000.csv
AK,2020,20586.0,225077.0,https://data.bls.gov/cew/data/api/2020/a/area/02000.csv
AK,2021,21446.0,232510.0,https://data.bls.gov/cew/data/api/2021/a/area/02000.csv
AK,2022,22327.0,241031.0,https://data.bls.gov/cew/data/api/2022/a/area/02000.csv
AK,2023,23098.0,248671.0,https://data.bls.gov/cew/data/api/2023/a/area/02000.csv
AK,2024,23333.0,253788.0,https://data.bls.gov/cew/data/api/2024/a/area/02000.csv
AL,2017,118573.0,1574772.0,https://data.bls.gov/cew/data/api/2017/a/area/01000.csv
AL,2018,120979.0,1598129.0,https://data.bls.gov/cew/data/api/2018/a/area/01000.csv
AL,2019,123160.0,1622460.0,https://data.bls.gov/cew/data/api/2019/a/area/01000.csv
AL,2020,125809.0,1547125.0,https://data.bls.gov/cew/data/api/2020/a/area/01000.csv
AL,2021,133320.0,1602985.0,https://data.bls.gov/cew/data/api/2021/a/area/01000.csv
AL,2022,142581.0,1660156.0,https://data.bls.gov/cew/data/api/2022/a/area/01000.csv
AL,2023,150014.0,1700160.0,https://data.bls.gov/cew/data/api/2023/a/area/01000.csv
AL,2024,154400.0,1717475.0,https://data.bls.gov/cew/data/api/2024/a/area/01000.csv
AR,2017,85102.0,1004075.0,https://data.bls.gov/cew/data/api/2017/a/area/05000.csv
AR,2018,86265.0,1014114.0,https://data.bls.gov/cew/data/api/2018/a/area/05000.csv
AR,2019,87680.0,1022053.0,https://data.bls.gov/cew/data/api/2019/a/area/05000.csv
AR,2020,89149.0,982047.0,https://data.bls.gov/cew/data/api/2020/a/area/05000.csv
AR,2021,91571.0,1012377.0,https://data.bls.gov/cew/data/api/2021/a/area/05000.csv
AR,2022,94817.0,1056644.0,https://data.bls.gov/cew/data/api/2022/a/area/05000.csv
AR,2023,98261.0,1082358.0,https://data.bls.gov/cew/data/api/2023/a/area/05000.csv
AR,2024,99464.0,1097701.0,https://data.bls.gov/cew/data/api/2024/a/area/05000.csv
AZ,2017,154868.0,2360211.0,https://data.bls.gov/cew/data/api/2017/a/area/04000.csv
AZ,2018,156748.0,2436592.0,https://data.bls.gov/cew/data/api/2018/a/area/04000.csv
AZ,2019,162113.0,2513038.0,https://data.bls.gov/cew/data/api/2019/a/area/04000.csv
AZ,2020,167158.0,2436814.0,https://data.bls.gov/cew/data/api/2020/a/area/04000.csv
AZ,2021,181475.0,2553627.0,https://data.bls.gov/cew/data/api/2021/a/area/04000.csv
AZ,2022,203253.0,2689673.0,https://data.bls.gov/cew/data/api/2022/a/area/04000.csv
AZ,2023,217884.0,2765676.0,https://data.bls.gov/cew/data/api/2023/a/area/04000.csv
AZ,2024,222682.0,2814912.0,https://data.bls.gov/cew/data/api/2024/a/area/04000.csv
CA,2017,1479872.0,14558652.0,https://data.bls.gov/cew/data/api/2017/a/area/06000.csv
