state,year,size_class,firm_count,establishment_count,source_url
AK,2017,0-4,10302,10331,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,10-19,1737,1885,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,100-499,321,1101,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,20-99,1225,1913,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,5-9,2917,2958,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,500+,645,3091,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2017,all,17147,21279,https://www2.census.gov/programs-surveys/susb/tables/2017/us_state_naics_detailedsizes_2017.xlsx
AK,2018,0-4,10364,10402,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,10-19,1790,1957,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,100-499,317,1086,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,20-99,1222,1829,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,5-9,2897,2942,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,500+,652,3077,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2018,all,17242,21293,https://www2.census.gov/programs-surveys/susb/tables/2018/us_state_naics_detailedsizes_2018.xlsx
AK,2019,0-4,10398,10435,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,10-19,1744,1872,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,100-499,310,1087,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,20-99,1274,1914,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,5-9,2965,3022,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,500+,674,3069,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2019,all,17365,21399,https://www2.census.gov/programs-surveys/susb/tables/2019/us_state_naics_detailedsizes_2019.xlsx
AK,2020,0-4,10228,10263,https://www2.census.gov/programs-surveys/susb/tables/2020/us_state_naics_detailedsizes_2020.xlsx
