metric,value,as_of_date,source_url,notes
Registered_employers,1944,2026-04-13,https://news.delaware.gov/2026/04/14/delaware-earns-savers-reach-10-million-in-retirement-assets/,Delaware Treasurer press release Apr 14 2026
Funded_accounts,9219,2026-04-13,https://news.delaware.gov/2026/04/14/delaware-earns-savers-reach-10-million-in-retirement-assets/,
Total_assets_usd,10500000,2026-04-13,https://news.delaware.gov/2026/04/14/delaware-earns-savers-reach-10-million-in-retirement-assets/,
Average_funded_account_balance_usd,1139.64,2026-04-13,https://news.delaware.gov/2026/04/14/delaware-earns-savers-reach-10-million-in-retirement-assets/,
Average_contribution_rate_pct,5.64,2026-04-13,https://news.delaware.gov/2026/04/14/delaware-earns-savers-reach-10-million-in-retirement-assets/,
Registered_employers_2025_02,1596,2025-02-01,https://news.delaware.gov/2025/02/10/delaware-earns-exceeds-1-million-in-retirement-savings/,
Funded_accounts_2025_02,4590,2025-02-01,https://news.delaware.gov/2025/02/10/delaware-earns-exceeds-1-million-in-retirement-savings/,
Total_assets_usd_2025_02,1400000,2025-02-01,https://news.delaware.gov/2025/02/10/delaware-earns-exceeds-1-million-in-retirement-savings/,Approximately $1.4M
Total_savers_2025_10,7500,2025-10-01,https://news.delaware.gov/2025/10/01/october-15-deadline-approaching-for-employers-to-register-for-delaware-earns/,More than 7500
Total_assets_usd_2025_10,6000000,2025-10-01,https://news.delaware.gov/2025/10/01/october-15-deadline-approaching-for-employers-to-register-for-delaware-earns/,Over $6M
