metric,value,as_of_date,source_url,notes
Total_registered_employers,27303,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_added_employee_data,30712,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_submitting_payroll_since_inception,12512,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_submitting_payroll_last_90_days,8163,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_exempted_employers,72872,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,Cumulative
Total_funded_accounts,169745,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_payroll_contributing_accounts,197607,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Multiple_employer_accounts,27642,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Self_enrolled_funded_accounts,289,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Accounts_full_withdrawal,53377,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Accounts_partial_withdrawal,9124,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Full_withdrawal_rate_pct,27.01,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Effective_optout_rate_pct,37.17,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_assets_usd,316907088,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Total_contributions_usd,361671101,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,Cumulative
Total_withdrawals_usd,121567060,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,Cumulative
Average_monthly_contribution_usd,181.21,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Average_contribution_rate_pct,6.53,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
Average_funded_account_balance_usd,1866.96,2026-03-31,https://illinoistreasurer.gov/wp-content/uploads/2026/04/Secure-Choice-Monthly-Dashboard_March-2026.pdf,
