State,Program,Mandate_Date,Firms_Identified,Avg_Employees,Avg_Employer_Contribution
CA,CalSavers,2019-07-01,72966,17.9,67149.84
CO,SecureSavings,2023-01-01,2787,12.1,34239.18
CT,MyCTSavings,2022-04-01,2408,14.8,55675.04
DE,EARNS,2024-07-01,132,22.1,5885.0
IL,Secure Choice,2018-11-01,14519,26.1,323068.1
MD,MarylandSaves,2022-09-01,3555,12.0,20133.46
ME,Maine Retirement Savings,2024-01-01,143,19.2,0.0
NJ,RetireReady NJ,2024-06-30,603,24.6,15434.5
OR,OregonSaves,2017-11-01,7314,16.8,41595.97
VA,RetirePath,2023-07-01,2150,17.5,11127.03
