search_index,ein,firm_name,normalized_name,state,employee_count,plan_effective_date,search_status,edgar_cik,edgar_company_name,filing_form,filing_accession,filing_date,filing_doc_url,match_text_excerpt,match_formula_summary,has_match,has_safe_harbor,has_profit_sharing,has_discretionary,search_query,searched_at,notes
1,364332567,"LABOR SOLUTIONS, LLC",LABOR SOLUTIONS,IL,10801,2019-01-01,ambiguous,,GREENWAY MEDICAL TECHNOLOGIES INC  (CIK 0001080747),,,,,,,False,False,False,False,LABOR SOLUTIONS,2026-04-29T12:59:14,top FTS hit: GREENWAY MEDICAL TECHNOLOGIES INC  (CIK 0001080747) | filing text not retrievable
2,320212642,MING ENTERTAINMENT GROUP LLC,MING ENTERTAINMENT GROUP,CA,9263,2020-01-01,ambiguous,1956166,MING SHING GROUP HOLDINGS LTD,20-F,0001641172-25-024398,2025-08-15,https://www.sec.gov/Archives/edgar/data/1956166/000164117225024398/form20-f.htm,,,False,False,False,False,MING ENTERTAINMENT GROUP,2026-04-29T12:59:18,low-confidence (1 distinctive token shared); candidate MING SHING GROUP HOLDINGS LTD
3,832018520,"UNITED CALL CENTER SOLUTIONS, LLC",UNITED CALL CENTER SOLUTIONS,IL,6991,2019-03-15,not_found,,,,,,,,,False,False,False,False,UNITED CALL CENTER SOLUTIONS,2026-04-29T12:59:21,
4,911372731,"RB GLOBAL HOLDINGS, INC.",RB GLOBAL HOLDINGS INC,IL,4769,2019-06-28,not_found,,,,,,,,,False,False,False,False,RB GLOBAL HOLDINGS INC,2026-04-29T12:59:24,
5,811287862,"SKILLSET GROUP, INC.",SKILLSET GROUP INC,CA,4459,2020-01-01,not_found,,,,,,,,,False,False,False,False,SKILLSET GROUP INC,2026-04-29T12:59:26,
6,822859783,"ECLIPSE SENIOR LIVING, INC.",ECLIPSE SENIOR LIVING INC,OR,4265,2018-02-01,not_found,,,,,,,,,False,False,False,False,ECLIPSE SENIOR LIVING INC,2026-04-29T12:59:29,
7,832237171,"TRUSTED HEALTH, INC.",TRUSTED HEALTH INC,CA,4229,2022-01-01,not_found,,,,,,,,,False,False,False,False,TRUSTED HEALTH INC,2026-04-29T12:59:30,
8,831030538,IAA HOLDINGS LLC.,IAA HOLDINGS LLC,IL,4066,2019-06-28,not_found,,,,,,,,,False,False,False,False,IAA HOLDINGS LLC,2026-04-29T12:59:32,
9,942967523,"DREYER'S GRAND ICE CREAM, INC.",DREYER'S GRAND ICE CREAM INC,CA,3610,2020-02-24,not_found,,,,,,,,,False,False,False,False,DREYER'S GRAND ICE CREAM INC,2026-04-29T12:59:34,
10,463394205,VXI GLOBAL SOLUTIONS LLC,VXI GLOBAL SOLUTIONS,CA,3490,2020-09-30,ambiguous,,DIRECTV FINANCING CO INC  (CIK 0001234307),,,,,,,False,False,False,False,VXI GLOBAL SOLUTIONS,2026-04-29T12:59:35,top FTS hit: DIRECTV FINANCING CO INC  (CIK 0001234307) | filing text not retrievable
11,261187857,U & F SONS INC. DBA SAHARA ASIAN ELDERLY CARE,U & F SONS INC DBA SAHARA ASIAN ELDERLY CARE,IL,3243,2020-01-01,not_found,,,,,,,,,False,False,False,False,U & F SONS INC DBA SAHARA ASIAN ELDERLY CARE,2026-04-29T12:59:38,
12,275560752,"FERNANDEZ HOLDINGS, INC.",FERNANDEZ HOLDINGS INC,CA,3191,2019-10-01,not_found,,,,,,,,,False,False,False,False,FERNANDEZ HOLDINGS INC,2026-04-29T12:59:41,
