State,Program,Mandate_Date,Firms_Identified,Avg_Employees,Avg_Employer_Contribution
CA,CalSavers,2018-11-01,81526,17.5,66959.3
CO,SecureSavings,2023-01-01,2788,11.9,34239.18
CT,MyCTSavings,2022-04-01,2408,14.8,55675.04
DE,EARNS,2024-01-01,215,16.0,4094.0
IL,Secure Choice,2018-05-01,14790,26.9,298235.17
MD,MarylandSaves,2022-09-01,3555,12.0,20133.46
ME,Maine Retirement Savings,2024-01-01,143,19.2,0.0
NJ,RetireReady NJ,2024-03-01,816,21.6,8310.88
OR,OregonSaves,2017-11-01,7299,17.4,41750.63
VA,RetirePath,2023-07-01,2150,17.8,11127.03
