downloaded_date,state,year,url,raw_path,http_status,n_rows_total,n_rows_total_private_state_agg,annual_avg_estabs,annual_avg_emplvl
2026-05-06,AK,2017,https://data.bls.gov/cew/data/api/2017/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2017.csv,200,2070,1,19803.0,246852.0
2026-05-06,AK,2018,https://data.bls.gov/cew/data/api/2018/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2018.csv,200,2077,1,19889.0,246319.0
2026-05-06,AK,2019,https://data.bls.gov/cew/data/api/2019/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2019.csv,200,2073,1,20162.0,249300.0
2026-05-06,AK,2020,https://data.bls.gov/cew/data/api/2020/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2020.csv,200,2068,1,20586.0,225077.0
2026-05-06,AK,2021,https://data.bls.gov/cew/data/api/2021/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2021.csv,200,2064,1,21446.0,232510.0
2026-05-06,AK,2022,https://data.bls.gov/cew/data/api/2022/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2022.csv,200,2031,1,22327.0,241031.0
2026-05-06,AK,2023,https://data.bls.gov/cew/data/api/2023/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2023.csv,200,2047,1,23098.0,248671.0
2026-05-06,AK,2024,https://data.bls.gov/cew/data/api/2024/a/area/02000.csv,data/bls_qcew/raw/qcew_AK_2024.csv,200,2052,1,23333.0,253788.0
2026-05-06,AL,2017,https://data.bls.gov/cew/data/api/2017/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2017.csv,200,2848,1,118573.0,1574772.0
2026-05-06,AL,2018,https://data.bls.gov/cew/data/api/2018/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2018.csv,200,2870,1,120979.0,1598129.0
2026-05-06,AL,2019,https://data.bls.gov/cew/data/api/2019/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2019.csv,200,2871,1,123160.0,1622460.0
2026-05-06,AL,2020,https://data.bls.gov/cew/data/api/2020/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2020.csv,200,2873,1,125809.0,1547125.0
2026-05-06,AL,2021,https://data.bls.gov/cew/data/api/2021/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2021.csv,200,2886,1,133320.0,1602985.0
2026-05-06,AL,2022,https://data.bls.gov/cew/data/api/2022/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2022.csv,200,2837,1,142581.0,1660156.0
2026-05-06,AL,2023,https://data.bls.gov/cew/data/api/2023/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2023.csv,200,2836,1,150014.0,1700160.0
2026-05-06,AL,2024,https://data.bls.gov/cew/data/api/2024/a/area/01000.csv,data/bls_qcew/raw/qcew_AL_2024.csv,200,2837,1,154400.0,1717475.0
2026-05-06,AR,2017,https://data.bls.gov/cew/data/api/2017/a/area/05000.csv,data/bls_qcew/raw/qcew_AR_2017.csv,200,2650,1,85102.0,1004075.0
2026-05-06,AR,2018,https://data.bls.gov/cew/data/api/2018/a/area/05000.csv,data/bls_qcew/raw/qcew_AR_2018.csv,200,2623,1,86265.0,1014114.0
2026-05-06,AR,2019,https://data.bls.gov/cew/data/api/2019/a/area/05000.csv,data/bls_qcew/raw/qcew_AR_2019.csv,200,2637,1,87680.0,1022053.0
